"acceptable" "affectionate" "awkward" "certain" "civil" "cold" "constant" "determined" "eager" "earnest" "easy" "formal" "free" "fresh" "friendly" "general" "generous" "grateful" "grave" "handsome" "impatient" "indifferent" "intimate" "kind" "lively" "natural" "open" "partial" "particular" "pleasant" "proud" "quick" "reasonable" "second" "sensible" "serious" "severe" "silent" "sincere" "steady" "strong" "sudden" "sure" "true" "unhappy" "vain" "violent" "weak"
"acceptable" 0 1 1 3 1 0 1 0 0 0 1 1 0 0 0 3 0 0 0 1 0 2 0 0 0 2 1 0 2 0 1 0 0 1 3 2 0 1 1 0 0 0 3 3 0 0 0 0
"affectionate" 1 0 1 2 0 0 3 1 1 3 3 0 2 1 1 4 2 2 2 2 1 1 2 3 2 3 1 2 1 1 2 1 4 2 1 2 0 1 4 2 4 1 7 5 1 2 2 1
"awkward" 1 1 0 3 3 1 0 1 0 2 2 3 0 0 1 0 0 2 0 3 0 0 0 1 2 1 0 0 1 3 3 2 1 3 1 1 0 2 1 1 1 0 5 3 1 0 1 0
"certain" 3 2 3 0 2 4 4 5 5 3 5 2 0 3 2 15 1 4 2 6 2 2 2 5 2 6 4 3 7 7 3 1 2 8 6 5 5 6 3 3 4 1 18 7 5 4 3 2
"civil" 1 0 3 2 0 2 0 1 2 0 3 1 4 0 1 6 1 0 1 5 1 2 1 1 1 3 0 0 2 4 5 1 2 2 4 4 0 1 0 1 1 1 10 2 0 1 1 2
"cold" 0 0 1 4 2 0 0 1 2 1 2 1 1 1 1 3 0 0 2 1 1 3 0 3 0 1 1 0 2 3 2 0 2 5 1 2 1 3 1 2 1 0 5 2 2 2 0 1
"constant" 1 3 0 4 0 0 0 2 1 0 1 1 1 3 1 4 1 1 0 1 1 0 0 1 0 3 0 2 0 0 1 0 1 4 2 3 3 0 1 0 1 2 4 5 3 1 2 1
"determined" 0 1 1 5 1 1 2 0 2 1 2 0 0 1 1 5 0 1 0 1 1 1 1 2 1 0 0 0 3 0 1 2 3 2 1 0 1 0 0 0 1 0 4 0 1 1 2 0
"eager" 0 1 0 5 2 2 1 2 0 1 1 0 1 1 1 4 0 2 2 1 1 1 3 4 2 2 1 2 3 0 1 2 1 2 2 2 1 2 2 0 0 0 4 1 1 0 0 1
"earnest" 0 3 2 3 0 1 0 1 1 0 1 0 0 0 0 3 1 3 1 1 1 1 1 4 3 0 1 1 0 0 3 1 1 1 2 0 0 2 2 0 0 2 6 0 2 3 2 0
"easy" 1 3 2 5 3 2 1 2 1 1 0 2 1 0 0 5 0 1 3 4 2 3 2 1 2 4 1 1 4 3 2 0 1 6 5 1 2 3 0 0 2 2 10 1 1 3 1 1
"formal" 1 0 3 2 1 1 1 0 0 0 2 0 0 1 1 1 0 1 2 2 1 1 1 2 1 2 0 1 0 3 0 0 0 5 3 1 0 2 1 0 1 0 3 3 0 0 0 1
"free" 0 2 0 0 4 1 1 0 1 0 1 0 0 0 0 2 1 0 2 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 2 1 0 2 1 1 1 0 5 2 1 0 2 2
"fresh" 0 1 0 3 0 1 3 1 1 0 0 1 0 0 1 2 2 1 0 0 0 0 2 0 0 1 0 2 2 2 1 0 1 4 1 2 2 1 0 0 3 1 4 2 0 0 0 0
"friendly" 0 1 1 2 1 1 1 1 1 0 0 1 0 1 0 2 0 1 0 1 0 0 2 0 1 1 0 1 1 1 2 2 1 3 1 0 0 0 1 1 2 0 3 1 0 1 0 0
"general" 3 4 0 15 6 3 4 5 4 3 5 1 2 2 2 0 4 4 2 11 3 4 1 3 7 7 3 1 14 5 6 2 4 4 10 3 2 3 0 3 6 1 20 7 4 4 4 3
"generous" 0 2 0 1 1 0 1 0 0 1 0 0 1 2 0 4 0 1 0 1 1 2 0 1 0 0 1 1 0 0 2 0 1 1 1 0 2 1 0 0 1 1 5 1 0 1 1 1
"grateful" 0 2 2 4 0 0 1 1 2 3 1 1 0 1 1 4 1 0 0 0 2 1 1 1 0 2 2 0 2 0 1 3 1 0 1 0 0 1 0 1 3 0 5 1 1 2 2 2
"grave" 0 2 0 2 1 2 0 0 2 1 3 2 2 0 0 2 0 0 0 1 3 2 0 3 0 0 1 1 0 0 0 0 1 2 1 1 1 5 1 1 0 0 5 1 1 1 1 2
"handsome" 1 2 3 6 5 1 1 1 1 1 4 2 1 0 1 11 1 0 1 0 1 1 1 2 4 4 1 1 4 6 7 3 0 4 5 1 1 4 1 3 1 2 13 6 0 3 1 1
"impatient" 0 1 0 2 1 1 1 1 1 1 2 1 1 0 0 3 1 2 3 1 0 1 1 2 0 1 1 1 0 0 1 1 1 2 3 0 1 3 0 2 0 0 6 1 0 2 3 2
"indifferent" 2 1 0 2 2 3 0 1 1 1 3 1 1 0 0 4 2 1 2 1 1 0 0 2 0 4 0 0 3 0 1 0 0 2 3 1 0 5 1 3 2 0 7 1 3 2 2 3
"intimate" 0 2 0 2 1 0 0 1 3 1 2 1 0 2 2 1 0 1 0 1 1 0 0 1 0 2 1 2 3 1 2 0 1 4 3 0 0 0 2 0 1 0 5 2 0 3 0 1
"kind" 0 3 1 5 1 3 1 2 4 4 1 2 0 0 0 3 1 1 3 2 2 2 1 0 2 3 2 2 1 1 2 1 2 3 3 4 1 5 2 1 0 1 8 2 2 2 2 0
"lively" 0 2 2 2 1 0 0 1 2 3 2 1 1 0 1 7 0 0 0 4 0 0 0 2 0 1 1 0 4 4 5 1 1 5 3 1 0 1 0 2 1 1 4 2 2 0 3 0
"natural" 2 3 1 6 3 1 3 0 2 0 4 2 0 1 1 7 0 2 0 4 1 4 2 3 1 0 1 2 5 4 3 1 2 3 4 3 1 2 2 2 4 3 10 3 4 3 2 3
"open" 1 1 0 4 0 1 0 0 1 1 1 0 1 0 0 3 1 2 1 1 1 0 1 2 1 1 0 0 0 2 1 0 1 1 1 2 1 1 0 0 0 1 4 2 0 1 0 0
"partial" 0 2 0 3 0 0 2 0 2 1 1 1 0 2 1 1 1 0 1 1 1 0 2 2 0 2 0 0 0 2 2 0 1 3 3 2 1 2 1 1 1 1 5 2 1 0 0 0
"particular" 2 1 1 7 2 2 0 3 3 0 4 0 0 2 1 14 0 2 0 4 0 3 3 1 4 5 0 0 0 4 4 1 3 4 5 1 1 3 0 2 6 1 10 4 2 3 3 1
"pleasant" 0 1 3 7 4 3 0 0 0 0 3 3 0 2 1 5 0 0 0 6 0 0 1 1 4 4 2 2 4 0 2 1 0 7 1 1 2 1 0 2 4 1 8 3 2 1 1 0
"proud" 1 2 3 3 5 2 1 1 1 3 2 0 1 1 2 6 2 1 0 7 1 1 2 2 5 3 1 2 4 2 0 1 3 4 3 3 1 1 1 1 0 1 11 5 1 3 2 0
"quick" 0 1 2 1 1 0 0 2 2 1 0 0 1 0 2 2 0 3 0 3 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 1 0 4 1 1 0 1 0
"reasonable" 0 4 1 2 2 2 1 3 1 1 1 0 1 1 1 4 1 1 1 0 1 0 1 2 1 2 1 1 3 0 3 0 0 2 2 2 0 1 2 0 1 1 8 3 1 1 2 1
"second" 1 2 3 8 2 5 4 2 2 1 6 5 1 4 3 4 1 0 2 4 2 2 4 3 5 3 1 3 4 7 4 0 2 0 7 3 4 4 2 3 2 2 11 5 1 4 2 2
"sensible" 3 1 1 6 4 1 2 1 2 2 5 3 2 1 1 10 1 1 1 5 3 3 3 3 3 4 1 3 5 1 3 0 2 7 0 3 0 7 2 4 2 0 17 6 2 1 1 1
"serious" 2 2 1 5 4 2 3 0 2 0 1 1 1 2 0 3 0 0 1 1 0 1 0 4 1 3 2 2 1 1 3 1 2 3 3 0 2 3 2 0 0 1 8 4 3 1 0 0
"severe" 0 0 0 5 0 1 3 1 1 0 2 0 0 2 0 2 2 0 1 1 1 0 0 1 0 1 1 1 1 2 1 0 0 4 0 2 0 1 0 0 0 2 2 0 2 2 0 0
"silent" 1 1 2 6 1 3 0 0 2 2 3 2 2 1 0 3 1 1 5 4 3 5 0 5 1 2 1 2 3 1 1 1 1 4 7 3 1 0 1 3 0 0 14 5 2 4 2 2
"sincere" 1 4 1 3 0 1 1 0 2 2 0 1 1 0 1 0 0 0 1 1 0 1 2 2 0 2 0 1 0 0 1 0 2 2 2 2 0 1 0 1 1 1 2 1 1 2 1 2
"steady" 0 2 1 3 1 2 0 0 0 0 0 0 1 0 1 3 0 1 1 3 2 3 0 1 2 2 0 1 2 2 1 1 0 3 4 0 0 3 1 0 3 0 5 2 2 1 1 1
"strong" 0 4 1 4 1 1 1 1 0 0 2 1 1 3 2 6 1 3 0 1 0 2 1 0 1 4 0 1 6 4 0 1 1 2 2 0 0 0 1 3 0 2 6 2 2 1 3 1
"sudden" 0 1 0 1 1 0 2 0 0 2 2 0 0 1 0 1 1 0 0 2 0 0 0 1 1 3 1 1 1 1 1 0 1 2 0 1 2 0 1 0 2 0 2 0 1 1 1 0
"sure" 3 7 5 18 10 5 4 4 4 6 10 3 5 4 3 20 5 5 5 13 6 7 5 8 4 10 4 5 10 8 11 4 8 11 17 8 2 14 2 5 6 2 0 12 5 7 4 4
"true" 3 5 3 7 2 2 5 0 1 0 1 3 2 2 1 7 1 1 1 6 1 1 2 2 2 3 2 2 4 3 5 1 3 5 6 4 0 5 1 2 2 0 12 0 3 2 2 1
"unhappy" 0 1 1 5 0 2 3 1 1 2 1 0 1 0 0 4 0 1 1 0 0 3 0 2 2 4 0 1 2 2 1 1 1 1 2 3 2 2 1 2 2 1 5 3 0 3 2 1
"vain" 0 2 0 4 1 2 1 1 0 3 3 0 0 0 1 4 1 2 1 3 2 2 3 2 0 3 1 0 3 1 3 0 1 4 1 1 2 4 2 1 1 1 7 2 3 0 1 2
"violent" 0 2 1 3 1 0 2 2 0 2 1 0 2 0 0 4 1 2 1 1 3 2 0 2 3 2 0 0 3 1 2 1 2 2 1 0 0 2 1 1 3 1 4 2 2 1 0 3
"weak" 0 1 0 2 2 1 1 0 1 0 1 1 2 0 0 3 1 2 2 1 2 3 1 0 0 3 0 0 1 0 0 0 1 2 1 0 0 2 2 1 1 0 4 1 1 2 3 0
