"affectionate" "awkward" "brisk" "busy" "capricious" "certain" "cheerful" "clean" "close" "cold" "confident" "conscientious" "constant" "conversational" "cool" "courageous" "cruel" "curious" "delicate" "earnest" "easy" "exact" "expressive" "familiar" "feminine" "fierce" "firm" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "impatient" "just" "kind" "mild" "moderate" "modest" "musical" "natural" "neat" "noisy" "open" "orderly" "original" "particular" "passionate" "pleasant" "polite" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "reflective" "respectful" "responsible" "restless" "romantic" "rough" "rusty" "scholastic" "scientific" "second" "sensible" "serene" "serious" "shy" "silent" "slow" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "swift" "sympathetic" "true" "ugly" "uncertain" "unhappy" "violent" "weak" "wiser" "wise" "willing"
"affectionate" 0 1 0 0 1 2 0 1 0 1 0 1 0 0 1 1 0 2 0 3 2 1 2 0 0 1 1 1 1 2 2 2 0 2 0 2 1 1 1 2 0 1 0 0 1 0 1 0 0 0 1 2 1 0 3 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 2 0 0 1 0 2 2 1 0 0 0 1 1 1 2 0 1 6 0 0 0 2 0 0 1 0 2 1 0 0
"awkward" 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 1 0 0 1 0 1 0 0 0
"brisk" 0 0 0 1 0 0 0 0 0 2 1 0 1 0 0 1 0 0 1 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0
"busy" 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 1 0 2 2 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 2 1 0 1 0 0 0 1 1 2 1 1 3 1 0 0 2 0 0 0 1 0 0 0 0
"capricious" 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0
"certain" 2 0 0 1 0 0 1 2 1 1 0 1 0 1 1 0 1 2 1 3 4 3 0 2 0 2 1 1 3 3 5 1 2 2 3 2 1 3 2 1 0 5 1 0 2 3 1 0 0 2 0 3 1 1 8 2 1 0 1 0 1 2 1 1 2 1 1 0 0 1 0 0 2 0 1 0 3 1 1 0 1 6 2 2 2 1 1 2 1 2 6 2 3 5 5 1 2 7 2 0 2 0 0 0 2 0
"cheerful" 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 3 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 2 0 0 2 0 2 1 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 1 1 2 3 0 2 0 3 3 1 2 0 1 0 2 0 0 1 1 1 0 0 0
"clean" 1 0 0 0 0 2 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 1 0 2 1 0 0 0 3 0 0 0 0 1 0 1 0
"close" 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 2 0 0 3 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 2 1 0 2 0 0 0 2 2 0 0 0 1 1 0 1
"cold" 1 0 2 1 1 1 1 1 1 0 1 1 0 0 0 1 0 1 3 1 1 0 0 0 1 2 1 1 1 3 2 1 0 0 0 0 0 1 1 2 0 3 1 2 0 1 1 2 2 2 2 1 1 2 7 1 1 1 1 1 1 1 3 0 2 1 0 0 0 0 2 0 3 1 0 0 2 2 1 0 1 2 3 1 1 1 0 1 1 0 3 1 0 3 1 0 0 4 1 3 1 2 0 1 0 0
