"hee::time";"hee::two"
"corinthian::lie";"dionisius::lie"
"cornelius::fat";"cornelius::mother"
"peter::first";"peter::hot"
"peter::familiar";"peter::little"
"peter::familiar";"peter::thought"
"peter::little";"peter::thought"
"jesus::scale";"jesus::thought"
"diogenes::first";"diogenes::little"
"wolsey::first";"wolsey::religion"
"christ::time";"muncers::time"
"adams::bee";"destinie::bee"
"deare::first";"geraldine::first"
"deare::first";"wilton::first"
"geraldine::first";"wilton::first"
"countrieman::can";"countrieman::little"
"countrieman::can";"countrieman::talk"
"countrieman::can";"erasmus::can"
"countrieman::can";"erasmus::little"
"countrieman::can";"erasmus::talk"
"countrieman::can";"roterdam::can"
"countrieman::can";"roterdam::little"
"countrieman::can";"roterdam::talk"
"countrieman::can";"thomas_moore::can"
"countrieman::can";"thomas_moore::little"
"countrieman::can";"thomas_moore::talk"
"countrieman::little";"countrieman::talk"
"countrieman::little";"erasmus::can"
"countrieman::little";"erasmus::little"
"countrieman::little";"erasmus::talk"
"countrieman::little";"roterdam::can"
"countrieman::little";"roterdam::little"
"countrieman::little";"roterdam::talk"
"countrieman::little";"thomas_moore::can"
"countrieman::little";"thomas_moore::little"
"countrieman::little";"thomas_moore::talk"
"countrieman::talk";"erasmus::can"
"countrieman::talk";"erasmus::little"
"countrieman::talk";"erasmus::talk"
"countrieman::talk";"roterdam::can"
"countrieman::talk";"roterdam::little"
"countrieman::talk";"roterdam::talk"
"countrieman::talk";"thomas_moore::can"
"countrieman::talk";"thomas_moore::little"
"countrieman::talk";"thomas_moore::talk"
"erasmus::can";"erasmus::little"
"erasmus::can";"erasmus::talk"
"erasmus::can";"roterdam::can"
"erasmus::can";"roterdam::little"
"erasmus::can";"roterdam::talk"
"erasmus::can";"thomas_moore::can"
"erasmus::can";"thomas_moore::little"
"erasmus::can";"thomas_moore::talk"
"erasmus::little";"erasmus::talk"
"erasmus::little";"roterdam::can"
"erasmus::little";"roterdam::little"
"erasmus::little";"roterdam::talk"
"erasmus::little";"thomas_moore::can"
"erasmus::little";"thomas_moore::little"
"erasmus::little";"thomas_moore::talk"
"erasmus::talk";"roterdam::can"
"erasmus::talk";"roterdam::little"
"erasmus::talk";"roterdam::talk"
"erasmus::talk";"thomas_moore::can"
"erasmus::talk";"thomas_moore::little"
"erasmus::talk";"thomas_moore::talk"
"roterdam::can";"roterdam::little"
"roterdam::can";"roterdam::talk"
"roterdam::can";"thomas_moore::can"
"roterdam::can";"thomas_moore::little"
"roterdam::can";"thomas_moore::talk"
"roterdam::little";"roterdam::talk"
"roterdam::little";"thomas_moore::can"
"roterdam::little";"thomas_moore::little"
"roterdam::little";"thomas_moore::talk"
"roterdam::talk";"thomas_moore::can"
"roterdam::talk";"thomas_moore::little"
"roterdam::talk";"thomas_moore::talk"
"thomas_moore::can";"thomas_moore::little"
"thomas_moore::can";"thomas_moore::talk"
"thomas_moore::little";"thomas_moore::talk"
"thomas_moore::name";"thomas_moore::plot"
"esse::first";"tully::first"
"jesus::end";"jesus::hot"
"duke::bee";"wittenberg::bee"
"mary::finger";"mary::thought"
"erasmus::meeting";"roscio_amerino::meeting"
"erasmus::meeting";"tully::meeting"
"roscio_amerino::meeting";"tully::meeting"
"erasmus::person";"roscio_amerino::person"
"erasmus::person";"tully::person"
"roscio_amerino::person";"tully::person"
"erasmus::time";"tully::time"
"cornelius_agrippa::destruction";"cornelius_agrippa::time"
"cornelius_agrippa::destruction";"thomas_moore::destruction"
"cornelius_agrippa::destruction";"thomas_moore::time"
"cornelius_agrippa::time";"thomas_moore::destruction"
"cornelius_agrippa::time";"thomas_moore::time"
"thomas_moore::destruction";"thomas_moore::time"
"cromwell::line";"cromwell::two"
"cromwell::line";"henrie::line"
"cromwell::line";"henrie::two"
"cromwell::line";"lorde::line"
"cromwell::line";"lorde::two"
"cromwell::two";"henrie::line"
"cromwell::two";"henrie::two"
"cromwell::two";"lorde::line"
"cromwell::two";"lorde::two"
"henrie::line";"henrie::two"
"henrie::line";"lorde::line"
"henrie::line";"lorde::two"
"henrie::two";"lorde::line"
"henrie::two";"lorde::two"
"lorde::line";"lorde::two"
"charles::request";"emperour::request"
"charles::request";"gedeon::request"
"emperour::request";"gedeon::request"
"geraldine::religion";"lorde::religion"
"geraldine::condition";"geraldine::frame"
"geraldine::condition";"lorde::condition"
"geraldine::condition";"lorde::frame"
"geraldine::frame";"lorde::condition"
"geraldine::frame";"lorde::frame"
"lorde::condition";"lorde::frame"
"phoebe::fresh";"phoebe::red"
"cornelius_agrippa::curious";"cornelius_agrippa::little"
"cornelius_agrippa::curious";"cornelius_agrippa::thought"
"cornelius_agrippa::little";"cornelius_agrippa::thought"
"lucrecia::first";"tabitha::first"
"frego::#-name";"tabitha::#-name"
"tabitha::gold";"tabitha::little"
"s._markes::beg";"s._markes::gold"
"castaldo::#-end";"isaac_medicus::#-end"
"henrie::two";"iohn_russell::two"
"castaldo::bee";"diamante_castaldos::bee"
"castaldo::bee";"saint_anne::bee"
"diamante_castaldos::bee";"saint_anne::bee"
"anthonie::wine";"cleopatra::wine"
"geraldine::daughter";"geraldine::first"
"geraldine::daughter";"moone::daughter"
"geraldine::daughter";"moone::first"
"geraldine::first";"moone::daughter"
"geraldine::first";"moone::first"
"moone::daughter";"moone::first"
"diamondes::name";"diamondes::thought"
"henrie_howard::order";"lorde::order"
"henrie_howard::round";"lorde::round"
"moone::round";"mooneshine::round"
"esdras::time";"granado::time"
"leno::hang";"leno::stamp"
"esdras::determined";"granado::determined"
"danaus::dinner";"dane::dinner"
"zacharie::bee";"zadoch::bee"
"zacharie::hand";"zacharie::time"
"zacharie::hand";"zadoch::hand"
"zacharie::hand";"zadoch::time"
"zacharie::time";"zadoch::hand"
"zacharie::time";"zadoch::time"
"zadoch::hand";"zadoch::time"
"doctour::open";"doctour::window"
"doctour::open";"zacharie::open"
"doctour::open";"zacharie::window"
"doctour::window";"zacharie::open"
"doctour::window";"zacharie::window"
"zacharie::open";"zacharie::window"
"doctour::first";"zacharie::first"
"jewes::bee";"zacharie::bee"
"iuliana::found";"iuliana::thought"
"marques::little";"zacharie::little"
"marques::little";"zadoch::little"
"zacharie::little";"zadoch::little"
"marques::hope";"zacharie::hope"
"marques::hope";"zadoch::hope"
"zacharie::hope";"zadoch::hope"
"marques::bee";"marques::money"
"marques::bee";"zacharie::bee"
"marques::bee";"zacharie::money"
"marques::bee";"zadoch::bee"
"marques::bee";"zadoch::money"
"marques::money";"zacharie::bee"
"marques::money";"zacharie::money"
"marques::money";"zadoch::bee"
"marques::money";"zadoch::money"
"zacharie::bee";"zacharie::money"
"zacharie::bee";"zadoch::money"
"zacharie::money";"zadoch::bee"
"zacharie::money";"zadoch::money"
"zadoch::bee";"zadoch::money"
"gedeons::bee";"juda::bee"
"gedeons::bee";"rabisacks::bee"
"gedeons::bee";"zedechiahs::bee"
"juda::bee";"rabisacks::bee"
"juda::bee";"zedechiahs::bee"
"rabisacks::bee";"zedechiahs::bee"
"zacharie::earth";"zadoch::earth"
"zacharie::present";"zadoch::present"
"ile::charge";"zacharie::charge"
"zadoch::found";"zadoch::hand"
"sharpe::hang";"sharpe::little"
"sharpe::hang";"sharpe::open"
"sharpe::little";"sharpe::open"
"peters::full";"peters::yard"
"peters::full";"saint::full"
"peters::full";"saint::yard"
"peters::yard";"saint::full"
"peters::yard";"saint::yard"
"saint::full";"saint::yard"
"bartoll::bee";"bartoll::time"
"bartoll::bee";"esdras::bee"
"bartoll::bee";"esdras::time"
"bartoll::bee";"granado::bee"
"bartoll::bee";"granado::time"
"bartoll::time";"esdras::bee"
"bartoll::time";"esdras::time"
"bartoll::time";"granado::bee"
"bartoll::time";"granado::time"
"esdras::bee";"esdras::time"
"esdras::bee";"granado::bee"
"esdras::bee";"granado::time"
"esdras::time";"granado::bee"
"granado::bee";"granado::time"
"bartoll::person";"esdras::person"
"bartoll::person";"granado::person"
"esdras::person";"granado::person"
"esdras::present";"granado::present"
"esdras::name";"granado::name"
"esdras::name";"marrie::name"
"granado::name";"marrie::name"
"emperour::earth";"pope::earth"
"emperour::earth";"turke::earth"
"pope::earth";"turke::earth"
"iulian::bee";"iulian::religion"
