"nell::#-found";"nell::back"
"nell::love";"nell::loved"
"nelly::chin";"nelly::hand"
"nell::little";"nell::neck"
"kit::boy";"kit::room"
"fred::idea";"swiveller::idea"
"swiveller::observe";"swiveller::vast"
"swiveller::hand";"swiveller::prevent"
"swiveller::hand";"swiveller::waves"
"swiveller::prevent";"swiveller::waves"
"swiveller::dirty";"swiveller::yellow"
"nell::little";"nell::wonder"
"daniel_quilp::scale";"quilp::scale"
"daniel_quilp::boy";"daniel_quilp::present"
"daniel_quilp::boy";"quilp::boy"
"daniel_quilp::boy";"quilp::present"
"daniel_quilp::present";"quilp::boy"
"daniel_quilp::present";"quilp::present"
"quilp::boy";"quilp::present"
"daniel::mother";"daniel::perpetual"
"daniel::mother";"mrs_quilp::mother"
"daniel::mother";"mrs_quilp::perpetual"
"daniel::perpetual";"mrs_quilp::mother"
"daniel::perpetual";"mrs_quilp::perpetual"
"mrs_quilp::mother";"mrs_quilp::perpetual"
"daniel::anger";"daniel::fear"
"daniel::anger";"daniel::impress"
"daniel::anger";"daniel::natural"
"daniel::anger";"mrs_quilp::anger"
"daniel::anger";"mrs_quilp::fear"
"daniel::anger";"mrs_quilp::impress"
"daniel::anger";"mrs_quilp::natural"
"daniel::fear";"daniel::impress"
"daniel::fear";"daniel::natural"
"daniel::fear";"mrs_quilp::anger"
"daniel::fear";"mrs_quilp::fear"
"daniel::fear";"mrs_quilp::impress"
"daniel::fear";"mrs_quilp::natural"
"daniel::impress";"daniel::natural"
"daniel::impress";"mrs_quilp::anger"
"daniel::impress";"mrs_quilp::fear"
"daniel::impress";"mrs_quilp::impress"
"daniel::impress";"mrs_quilp::natural"
"daniel::natural";"mrs_quilp::anger"
"daniel::natural";"mrs_quilp::fear"
"daniel::natural";"mrs_quilp::impress"
"daniel::natural";"mrs_quilp::natural"
"mrs_quilp::anger";"mrs_quilp::fear"
"mrs_quilp::anger";"mrs_quilp::impress"
"mrs_quilp::anger";"mrs_quilp::natural"
"mrs_quilp::fear";"mrs_quilp::impress"
"mrs_quilp::fear";"mrs_quilp::natural"
"mrs_quilp::impress";"mrs_quilp::natural"
"daniel::little";"daniel::strange"
"daniel::little";"mrs_quilp::little"
"daniel::little";"mrs_quilp::strange"
"daniel::strange";"mrs_quilp::little"
"daniel::strange";"mrs_quilp::strange"
"mrs_quilp::little";"mrs_quilp::strange"
"jiniwin::little";"mrs_jiniwin::little"
"jiniwin::little";"mrs_quilp::little"
"mrs_jiniwin::little";"mrs_quilp::little"
"mrs_quilp::time";"mrs_quilp::wrong"
"mrs_quilp::love";"mrs_quilp::talk"
"mrs_quilp::love";"quilp::love"
"mrs_quilp::love";"quilp::talk"
"mrs_quilp::talk";"quilp::love"
"mrs_quilp::talk";"quilp::talk"
"quilp::love";"quilp::talk"
"betsy::first";"betsy::orders"
"betsy::first";"mrs_george::first"
"betsy::first";"mrs_george::orders"
"betsy::first";"quilp::first"
"betsy::first";"quilp::orders"
"betsy::orders";"mrs_george::first"
"betsy::orders";"mrs_george::orders"
"betsy::orders";"quilp::first"
"betsy::orders";"quilp::orders"
"mrs_george::first";"mrs_george::orders"
"mrs_george::first";"quilp::first"
"mrs_george::first";"quilp::orders"
"mrs_george::orders";"quilp::first"
"mrs_george::orders";"quilp::orders"
"quilp::first";"quilp::orders"
"mrs_jiniwin::mother";"mrs_quilp::mother"
"mrs_jiniwin::mother";"quilp::mother"
"mrs_quilp::mother";"quilp::mother"
"mrs_jiniwin::back";"mrs_jiniwin::talk"
"mrs_jiniwin::back";"mrs_quilp::back"
"mrs_jiniwin::back";"mrs_quilp::talk"
"mrs_jiniwin::back";"quilp::back"
"mrs_jiniwin::back";"quilp::talk"
"mrs_jiniwin::talk";"mrs_quilp::back"
"mrs_jiniwin::talk";"mrs_quilp::talk"
"mrs_jiniwin::talk";"quilp::back"
"mrs_jiniwin::talk";"quilp::talk"
"mrs_quilp::back";"mrs_quilp::talk"
"mrs_quilp::back";"quilp::back"
"mrs_quilp::back";"quilp::talk"
"mrs_quilp::talk";"quilp::back"
"quilp::back";"quilp::talk"
"daniel::daughter";"quilp::daughter"
"mrs_jiniwin::known";"quilp::known"
"mrs_quilp::cold";"mrs_quilp::mute"
"mrs_quilp::mother";"mrs_quilp::obedient"
"quilp::name";"quilp::obedient"
"daniel_quilp::trouble";"daniel_quilp::umbrella"
"daniel_quilp::boy";"daniel_quilp::first"
"daniel_quilp::boy";"daniel_quilp::natural"
"daniel_quilp::boy";"daniel_quilp::object"
"daniel_quilp::first";"daniel_quilp::natural"
"daniel_quilp::first";"daniel_quilp::object"
"daniel_quilp::natural";"daniel_quilp::object"
"quilp::back";"quilp::boy"
"quilp::back";"quilp::ready"
"quilp::boy";"quilp::ready"
"quilp::chin";"quilp::hand"
"quilp::chin";"quilp::little"
"quilp::chin";"quilp::position"
"quilp::chin";"quilp::rest"
"quilp::hand";"quilp::little"
"quilp::hand";"quilp::position"
"quilp::hand";"quilp::rest"
"quilp::little";"quilp::position"
"quilp::little";"quilp::rest"
"quilp::position";"quilp::rest"
"nell::painful";"nell::reply"
"nell::painful";"quilp::painful"
"nell::painful";"quilp::reply"
"nell::reply";"quilp::painful"
"nell::reply";"quilp::reply"
"quilp::painful";"quilp::reply"
"nell::back";"nell::little"
"nell::back";"quilp::back"
"nell::back";"quilp::little"
"nell::little";"quilp::back"
"nell::little";"quilp::little"
"quilp::back";"quilp::little"
"mrs_quilp::two";"nelly::two"
"mrs_quilp::first";"mrs_quilp::little"
"mrs_quilp::first";"nell::first"
"mrs_quilp::first";"nell::little"
"mrs_quilp::first";"quilp::first"
"mrs_quilp::first";"quilp::little"
"mrs_quilp::little";"nell::first"
"mrs_quilp::little";"nell::little"
"mrs_quilp::little";"quilp::first"
"mrs_quilp::little";"quilp::little"
"nell::first";"nell::little"
"nell::first";"quilp::first"
"nell::first";"quilp::little"
"nell::little";"quilp::first"
"quilp::first";"quilp::little"
"mrs_quilp::delightful";"nelly::delightful"
"quilp::boy";"quilp::first"
"quilp::boy";"quilp::legs"
"quilp::first";"quilp::legs"
"quilp::boy";"quilp::guard"
"quilp::boy";"quilp::little"
"quilp::guard";"quilp::little"
"quilp::boy";"quilp::time"
"mrs_quilp::wine";"nelly_trent::wine"
"mrs_quilp::obedient";"mrs_quilp::room"
"mrs_quilp::obedient";"mrs_quilp::unusual"
"mrs_quilp::room";"mrs_quilp::unusual"
"nell::back";"nell::time"
"nelly::finger";"nelly::lip"
"nelly::finger";"nelly::rest"
"nelly::finger";"nelly::round"
"nelly::lip";"nelly::rest"
"nelly::lip";"nelly::round"
"nelly::rest";"nelly::round"
"quilp::condition";"quilp::familiar"
"nell::hand";"nell::ready"
"nell::hand";"nell::touch"
"nell::hand";"quilp::hand"
"nell::hand";"quilp::ready"
"nell::hand";"quilp::touch"
"nell::ready";"nell::touch"
"nell::ready";"quilp::hand"
"nell::ready";"quilp::ready"
"nell::ready";"quilp::touch"
"nell::touch";"quilp::hand"
"nell::touch";"quilp::ready"
"nell::touch";"quilp::touch"
"quilp::hand";"quilp::ready"
"quilp::hand";"quilp::touch"
"quilp::ready";"quilp::touch"
"mrs_quilp::#-reply";"mrs_quilp::mere"
"mrs_quilp::#-reply";"mrs_quilp::time"
"mrs_quilp::#-reply";"nelly::#-reply"
"mrs_quilp::#-reply";"nelly::mere"
"mrs_quilp::#-reply";"nelly::time"
"mrs_quilp::#-reply";"quilp::#-reply"
"mrs_quilp::#-reply";"quilp::mere"
"mrs_quilp::#-reply";"quilp::time"
"mrs_quilp::mere";"mrs_quilp::time"
"mrs_quilp::mere";"nelly::#-reply"
"mrs_quilp::mere";"nelly::mere"
"mrs_quilp::mere";"nelly::time"
"mrs_quilp::mere";"quilp::#-reply"
"mrs_quilp::mere";"quilp::mere"
"mrs_quilp::mere";"quilp::time"
"mrs_quilp::time";"nelly::#-reply"
"mrs_quilp::time";"nelly::mere"
"mrs_quilp::time";"nelly::time"
"mrs_quilp::time";"quilp::#-reply"
"mrs_quilp::time";"quilp::mere"
"mrs_quilp::time";"quilp::time"
"nelly::#-reply";"nelly::mere"
"nelly::#-reply";"nelly::time"
"nelly::#-reply";"quilp::#-reply"
"nelly::#-reply";"quilp::mere"
"nelly::#-reply";"quilp::time"
"nelly::mere";"nelly::time"
"nelly::mere";"quilp::#-reply"
"nelly::mere";"quilp::mere"
"nelly::mere";"quilp::time"
"nelly::time";"quilp::#-reply"
"nelly::time";"quilp::mere"
"nelly::time";"quilp::time"
"quilp::#-reply";"quilp::mere"
"quilp::#-reply";"quilp::time"
"quilp::mere";"quilp::time"
"fred::time";"fred::trouble"
"fred::time";"richard_swiveller::time"
"fred::time";"richard_swiveller::trouble"
"fred::time";"swiveller::time"
"fred::time";"swiveller::trouble"
"fred::trouble";"richard_swiveller::time"
"fred::trouble";"richard_swiveller::trouble"
"fred::trouble";"swiveller::time"
"fred::trouble";"swiveller::trouble"
"richard_swiveller::time";"richard_swiveller::trouble"
"richard_swiveller::time";"swiveller::time"
"richard_swiveller::time";"swiveller::trouble"
"richard_swiveller::trouble";"swiveller::time"
"richard_swiveller::trouble";"swiveller::trouble"
"swiveller::time";"swiveller::trouble"
"swiveller::challenge";"swiveller::fancy"
"richard_swiveller::point";"richard_swiveller::temper"
"dick::money";"richard::money"
"dick::secret";"nell::secret"
"dick::scale";"richard_swiveller::scale"
"dick::direction";"dick::talk"
"dick::fancy";"dick::pull"
"dick::fancy";"sophy_wackles::fancy"
"dick::fancy";"sophy_wackles::pull"
"dick::fancy";"swiveller::fancy"
"dick::fancy";"swiveller::pull"
"dick::pull";"sophy_wackles::fancy"
"dick::pull";"sophy_wackles::pull"
"dick::pull";"swiveller::fancy"
"dick::pull";"swiveller::pull"
"sophy_wackles::fancy";"sophy_wackles::pull"
"sophy_wackles::fancy";"swiveller::fancy"
"sophy_wackles::fancy";"swiveller::pull"
"sophy_wackles::pull";"swiveller::fancy"
"sophy_wackles::pull";"swiveller::pull"
"swiveller::fancy";"swiveller::pull"
"dick::lovely";"sophy_wackles::lovely"
