"anne_page::first";"hugh_evans::first"
"joe::back";"warren::back"
"joe::back";"warren::green"
"joe::green";"warren::back"
"joe::green";"warren::green"
"warren::back";"warren::green"
"dolly::sad";"emma::sad"
"dolly::strange";"emma::strange"
"dolly::little";"dolly::point"
"dolly::joyous";"emma::joyous"
"dolly_varden::back";"dolly::back"
"dolly_varden::back";"edward::back"
"dolly_varden::back";"joe::back"
"edward::back";"joe::back"
"dolly::room";"dolly::time"
"dolly::room";"haredale::room"
"dolly::room";"haredale::time"
"dolly::time";"haredale::room"
"dolly::time";"haredale::time"
"haredale::room";"haredale::time"
"emma::near";"haredale::near"
"dolly::back";"dolly::laugh"
"dolly::name";"dolly::person"
"dolly::name";"hugh_of_the_maypole::name"
"dolly::name";"hugh_of_the_maypole::person"
"dolly::person";"hugh_of_the_maypole::name"
"dolly::person";"hugh_of_the_maypole::person"
"hugh_of_the_maypole::name";"hugh_of_the_maypole::person"
"dolly::hand";"dolly::little"
"dolly::open";"joe_willet::open"
"joe::deeply";"joe::full"
"dolly::hand";"dolly::near"
"dolly::hand";"joe::hand"
"dolly::hand";"joe::near"
"dolly::near";"joe::hand"
"dolly::near";"joe::near"
"joe::hand";"joe::near"
"dolly::dress";"joe::dress"
"dolly::trouble";"willet::trouble"
"dolly::guess";"dolly::guide"
"hugh::rest";"hugh::train"
"mr_willet::back";"mr_willet::meat"
"mr_willet::back";"mr_willet::open"
"mr_willet::back";"mr_willet::sigh"
"mr_willet::back";"mr_willet::steady"
"mr_willet::back";"mr_willet::suggest"
"mr_willet::back";"mr_willet::time"
"mr_willet::back";"mrs_varden::back"
"mr_willet::back";"mrs_varden::meat"
"mr_willet::back";"mrs_varden::open"
"mr_willet::back";"mrs_varden::sigh"
"mr_willet::back";"mrs_varden::steady"
"mr_willet::back";"mrs_varden::suggest"
"mr_willet::back";"mrs_varden::time"
"mr_willet::back";"willet::back"
"mr_willet::back";"willet::meat"
"mr_willet::back";"willet::open"
"mr_willet::back";"willet::sigh"
"mr_willet::back";"willet::steady"
"mr_willet::back";"willet::suggest"
"mr_willet::back";"willet::time"
"mr_willet::meat";"mr_willet::open"
"mr_willet::meat";"mr_willet::sigh"
"mr_willet::meat";"mr_willet::steady"
"mr_willet::meat";"mr_willet::suggest"
"mr_willet::meat";"mr_willet::time"
"mr_willet::meat";"mrs_varden::back"
"mr_willet::meat";"mrs_varden::meat"
"mr_willet::meat";"mrs_varden::open"
"mr_willet::meat";"mrs_varden::sigh"
"mr_willet::meat";"mrs_varden::steady"
"mr_willet::meat";"mrs_varden::suggest"
"mr_willet::meat";"mrs_varden::time"
"mr_willet::meat";"willet::back"
"mr_willet::meat";"willet::meat"
"mr_willet::meat";"willet::open"
"mr_willet::meat";"willet::sigh"
"mr_willet::meat";"willet::steady"
"mr_willet::meat";"willet::suggest"
"mr_willet::meat";"willet::time"
"mr_willet::open";"mr_willet::sigh"
"mr_willet::open";"mr_willet::steady"
"mr_willet::open";"mr_willet::suggest"
"mr_willet::open";"mr_willet::time"
"mr_willet::open";"mrs_varden::back"
"mr_willet::open";"mrs_varden::meat"
"mr_willet::open";"mrs_varden::open"
"mr_willet::open";"mrs_varden::sigh"
"mr_willet::open";"mrs_varden::steady"
"mr_willet::open";"mrs_varden::suggest"
"mr_willet::open";"mrs_varden::time"
"mr_willet::open";"willet::back"
"mr_willet::open";"willet::meat"
"mr_willet::open";"willet::open"
"mr_willet::open";"willet::sigh"
"mr_willet::open";"willet::steady"
"mr_willet::open";"willet::suggest"
"mr_willet::open";"willet::time"
"mr_willet::sigh";"mr_willet::steady"
"mr_willet::sigh";"mr_willet::suggest"
"mr_willet::sigh";"mr_willet::time"
"mr_willet::sigh";"mrs_varden::back"
"mr_willet::sigh";"mrs_varden::meat"
"mr_willet::sigh";"mrs_varden::open"
"mr_willet::sigh";"mrs_varden::sigh"
"mr_willet::sigh";"mrs_varden::steady"
"mr_willet::sigh";"mrs_varden::suggest"
"mr_willet::sigh";"mrs_varden::time"
"mr_willet::sigh";"willet::back"
"mr_willet::sigh";"willet::meat"
"mr_willet::sigh";"willet::open"
"mr_willet::sigh";"willet::sigh"
"mr_willet::sigh";"willet::steady"
"mr_willet::sigh";"willet::suggest"
"mr_willet::sigh";"willet::time"
"mr_willet::steady";"mr_willet::suggest"
"mr_willet::steady";"mr_willet::time"
"mr_willet::steady";"mrs_varden::back"
"mr_willet::steady";"mrs_varden::meat"
"mr_willet::steady";"mrs_varden::open"
"mr_willet::steady";"mrs_varden::sigh"
"mr_willet::steady";"mrs_varden::steady"
"mr_willet::steady";"mrs_varden::suggest"
"mr_willet::steady";"mrs_varden::time"
"mr_willet::steady";"willet::back"
"mr_willet::steady";"willet::meat"
"mr_willet::steady";"willet::open"
"mr_willet::steady";"willet::sigh"
"mr_willet::steady";"willet::steady"
"mr_willet::steady";"willet::suggest"
"mr_willet::steady";"willet::time"
"mr_willet::suggest";"mr_willet::time"
"mr_willet::suggest";"mrs_varden::back"
"mr_willet::suggest";"mrs_varden::meat"
"mr_willet::suggest";"mrs_varden::open"
"mr_willet::suggest";"mrs_varden::sigh"
"mr_willet::suggest";"mrs_varden::steady"
"mr_willet::suggest";"mrs_varden::suggest"
"mr_willet::suggest";"mrs_varden::time"
"mr_willet::suggest";"willet::back"
"mr_willet::suggest";"willet::meat"
"mr_willet::suggest";"willet::open"
"mr_willet::suggest";"willet::sigh"
"mr_willet::suggest";"willet::steady"
"mr_willet::suggest";"willet::suggest"
"mr_willet::suggest";"willet::time"
"mr_willet::time";"mrs_varden::back"
"mr_willet::time";"mrs_varden::meat"
"mr_willet::time";"mrs_varden::open"
"mr_willet::time";"mrs_varden::sigh"
"mr_willet::time";"mrs_varden::steady"
"mr_willet::time";"mrs_varden::suggest"
"mr_willet::time";"mrs_varden::time"
"mr_willet::time";"willet::back"
"mr_willet::time";"willet::meat"
"mr_willet::time";"willet::open"
"mr_willet::time";"willet::sigh"
"mr_willet::time";"willet::steady"
"mr_willet::time";"willet::suggest"
"mr_willet::time";"willet::time"
"mrs_varden::back";"mrs_varden::meat"
"mrs_varden::back";"mrs_varden::open"
"mrs_varden::back";"mrs_varden::sigh"
"mrs_varden::back";"mrs_varden::steady"
"mrs_varden::back";"mrs_varden::suggest"
"mrs_varden::back";"mrs_varden::time"
"mrs_varden::back";"willet::back"
