"maria_ward::large";"thomas_bertram::large"
"maria_ward::match";"thomas_bertram::match"
"maria::thought";"maria::two"
"maria::thought";"ward::thought"
"maria::thought";"ward::two"
"maria::two";"ward::thought"
"maria::two";"ward::two"
"ward::thought";"ward::two"
"frances::private";"norris::private"
"lady_bertram::time";"thomas_bertram::time"
"norris::end";"thomas::end"
"fanny::distinct";"norris::distinct"
"fanny::distinct";"thomas::distinct"
"norris::distinct";"thomas::distinct"
"fanny::end";"norris::end"
"fanny::end";"thomas::end"
"lady_bertram::letters";"lady_bertram::money"
"lady_bertram::letters";"norris::letters"
"lady_bertram::letters";"norris::money"
"lady_bertram::letters";"thomas::letters"
"lady_bertram::letters";"thomas::money"
"lady_bertram::money";"norris::letters"
"lady_bertram::money";"norris::money"
"lady_bertram::money";"thomas::letters"
"lady_bertram::money";"thomas::money"
"norris::letters";"norris::money"
"norris::letters";"thomas::letters"
"norris::letters";"thomas::money"
"norris::money";"thomas::letters"
"norris::money";"thomas::money"
"thomas::letters";"thomas::money"
"norris::charge";"norris::relieved"
"norris::daughter";"norris::mother"
"edmund::time";"tom::time"
"lady_bertram::calm";"lady_bertram::charge"
"lady_bertram::calm";"lady_bertram::first"
"lady_bertram::calm";"lady_bertram::reply"
"lady_bertram::calm";"norris::calm"
"lady_bertram::calm";"norris::charge"
"lady_bertram::calm";"norris::first"
"lady_bertram::calm";"norris::reply"
"lady_bertram::calm";"thomas::calm"
"lady_bertram::calm";"thomas::charge"
"lady_bertram::calm";"thomas::first"
"lady_bertram::calm";"thomas::reply"
"lady_bertram::charge";"lady_bertram::first"
"lady_bertram::charge";"lady_bertram::reply"
"lady_bertram::charge";"norris::calm"
"lady_bertram::charge";"norris::charge"
"lady_bertram::charge";"norris::first"
"lady_bertram::charge";"norris::reply"
"lady_bertram::charge";"thomas::calm"
"lady_bertram::charge";"thomas::charge"
"lady_bertram::charge";"thomas::first"
"lady_bertram::charge";"thomas::reply"
"lady_bertram::first";"lady_bertram::reply"
"lady_bertram::first";"norris::calm"
"lady_bertram::first";"norris::charge"
"lady_bertram::first";"norris::first"
"lady_bertram::first";"norris::reply"
"lady_bertram::first";"thomas::calm"
"lady_bertram::first";"thomas::charge"
"lady_bertram::first";"thomas::first"
"lady_bertram::first";"thomas::reply"
"lady_bertram::reply";"norris::calm"
"lady_bertram::reply";"norris::charge"
"lady_bertram::reply";"norris::first"
"lady_bertram::reply";"norris::reply"
"lady_bertram::reply";"thomas::calm"
"lady_bertram::reply";"thomas::charge"
"lady_bertram::reply";"thomas::first"
"lady_bertram::reply";"thomas::reply"
"norris::calm";"norris::charge"
"norris::calm";"norris::first"
"norris::calm";"norris::reply"
"norris::calm";"thomas::calm"
"norris::calm";"thomas::charge"
"norris::calm";"thomas::first"
"norris::calm";"thomas::reply"
"norris::charge";"norris::first"
"norris::charge";"norris::reply"
"norris::charge";"thomas::calm"
"norris::charge";"thomas::charge"
"norris::charge";"thomas::first"
"norris::charge";"thomas::reply"
"norris::first";"norris::reply"
"norris::first";"thomas::calm"
"norris::first";"thomas::charge"
"norris::first";"thomas::first"
"norris::first";"thomas::reply"
"norris::reply";"thomas::calm"
"norris::reply";"thomas::charge"
"norris::reply";"thomas::first"
"norris::reply";"thomas::reply"
"thomas::calm";"thomas::charge"
"thomas::calm";"thomas::first"
"thomas::calm";"thomas::reply"
"thomas::charge";"thomas::first"
"thomas::charge";"thomas::reply"
"thomas::first";"thomas::reply"
"lady_bertram::found";"norris::found"
"lady_bertram::found";"thomas::found"
"norris::found";"thomas::found"
"ellis::dress";"ellis::near"
"ellis::dress";"lee::dress"
"ellis::dress";"lee::near"
"ellis::near";"lee::dress"
"ellis::near";"lee::near"
"lee::dress";"lee::near"
"lady_bertram::two";"norris::two"
"lady_bertram::two";"thomas::two"
"norris::two";"thomas::two"
"fanny::room";"norris::room"
"fanny::depend";"fanny::first"
"fanny::depend";"fanny::thought"
"fanny::depend";"norris::depend"
"fanny::depend";"norris::first"
"fanny::depend";"norris::thought"
"fanny::first";"fanny::thought"
"fanny::first";"norris::depend"
"fanny::first";"norris::first"
"fanny::first";"norris::thought"
"fanny::thought";"norris::depend"
"fanny::thought";"norris::first"
"fanny::thought";"norris::thought"
"norris::depend";"norris::first"
"norris::depend";"norris::thought"
"norris::first";"norris::thought"
"fanny::little";"fanny::mother"
"fanny::little";"norris::little"
"fanny::little";"norris::mother"
"fanny::mother";"norris::little"
"fanny::mother";"norris::mother"
"norris::little";"norris::mother"
"julia::little";"maria::little"
"julia::gold";"julia::little"
"julia::gold";"julia::present"
"julia::gold";"julia::toys"
"julia::gold";"julia::two"
"julia::gold";"maria::gold"
"julia::gold";"maria::little"
"julia::gold";"maria::present"
"julia::gold";"maria::toys"
"julia::gold";"maria::two"
"julia::little";"julia::present"
"julia::little";"julia::toys"
"julia::little";"julia::two"
"julia::little";"maria::gold"
"julia::little";"maria::present"
"julia::little";"maria::toys"
"julia::little";"maria::two"
"julia::present";"julia::toys"
"julia::present";"julia::two"
"julia::present";"maria::gold"
"julia::present";"maria::little"
"julia::present";"maria::present"
"julia::present";"maria::toys"
"julia::present";"maria::two"
"julia::toys";"julia::two"
"julia::toys";"maria::gold"
"julia::toys";"maria::little"
"julia::toys";"maria::present"
"julia::toys";"maria::toys"
"julia::toys";"maria::two"
"julia::two";"maria::gold"
"julia::two";"maria::little"
"julia::two";"maria::present"
"julia::two";"maria::toys"
"julia::two";"maria::two"
"maria::gold";"maria::little"
"maria::gold";"maria::present"
"maria::gold";"maria::toys"
"maria::gold";"maria::two"
"maria::little";"maria::present"
"maria::little";"maria::toys"
"maria::little";"maria::two"
"maria::present";"maria::toys"
"maria::present";"maria::two"
"maria::toys";"maria::two"
"edmund::found";"edmund::week"
"frances::little";"frances::love"
"william::depend";"william::letters"
"edmund::thought";"fanny::thought"
"julia::first";"maria::first"
"norris::first";"norris::little"
"edmund::full";"tom::full"
"edmund::little";"tom::little"
"thomas::important";"thomas::little"
"thomas::important";"thomas::use"
"thomas::little";"thomas::use"
"lady_bertram::little";"lady_bertram::time"
"lady_bertram::little";"thomas::little"
"lady_bertram::little";"thomas::time"
"lady_bertram::time";"thomas::little"
"lady_bertram::time";"thomas::time"
"thomas::little";"thomas::time"
"lady_bertram::person";"thomas::person"
"william::boy";"william::meeting"
"edmund::admit";"edmund::use"
"edmund::admit";"william::admit"
"edmund::admit";"william::use"
"edmund::use";"william::admit"
"edmund::use";"william::use"
"william::admit";"william::use"
"norris::natural";"norris::temper"
"thomas::room";"thomas::spare"
"lady_bertram::object";"lady_bertram::use"
