"affectionate" "agreeable" "amiable" "awkward" "bright" "brisk" "capricious" "certain" "cheerful" "childish" "cold" "confident" "confused" "conscientious" "cool" "courageous" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "feminine" "fierce" "firm" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "kind" "live" "moderate" "modest" "moral" "musical" "narrow" "natural" "noisy" "orderly" "original" "particular" "passionate" "pleasant" "polite" "precise" "proud" "quick" "quiet" "respectful" "responsible" "restless" "rough" "serious" "silent" "slow" "social" "solemn" "steady" "sympathetic" "unreasonable" "violent" "warm" "wild" "wise"
"affectionate" 0 0 0 1 2 0 1 2 0 2 1 0 0 1 1 1 0 2 0 0 0 3 2 0 1 1 1 2 2 0 2 0 1 1 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 1 2 2 1 0 1 0 1 0 1 0 0
"agreeable" 0 0 1 0 2 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0
"amiable" 0 1 0 0 3 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
"awkward" 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"bright" 2 2 3 1 0 0 1 5 3 4 5 0 2 1 1 1 2 2 3 1 0 3 1 0 2 0 2 2 1 0 1 4 4 4 1 1 0 0 2 0 3 0 2 2 2 0 1 0 2 3 1 4 0 0 2 1 2 2 1 2 1 2 1 0 1 3 1 2
"brisk" 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 1 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0
"capricious" 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0
"certain" 2 2 1 0 5 0 0 0 1 2 1 0 1 1 1 0 1 2 1 0 1 3 0 0 2 1 1 3 1 2 2 3 1 1 3 0 2 3 0 1 3 1 2 1 0 1 0 1 2 1 1 2 0 1 0 2 0 6 2 2 1 1 2 0 0 2 3 2
"cheerful" 0 1 1 0 3 0 0 1 0 0 1 0 1 0 0 0 0 0 2 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 2 0 0 2 0 2 0 0 0 0 0 1 0 1 2 2 0 0 1 0 0 0
"childish" 2 0 1 1 4 0 1 2 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 1 1 1
"cold" 1 0 0 0 5 2 1 1 1 0 0 1 2 1 0 1 0 1 4 0 0 1 0 1 2 1 0 3 1 0 0 0 0 1 1 2 2 0 2 1 1 2 1 1 1 1 1 1 1 3 0 2 0 0 2 3 0 2 3 1 1 1 0 0 2 2 1 0
"confident" 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 2 0 0 1 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0
"confused" 0 0 0 1 2 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 3 0 0 2 0 2 0
"conscientious" 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 3 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2
"cool" 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 2 2 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1
"courageous" 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
"cruel" 0 0 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0
"curious" 2 0 0 0 2 0 1 2 0 1 1 1 0 0 1 1 0 0 2 0 0 2 2 1 0 0 0 0 1 0 1 0 1 2 2 0 1 1 1 2 1 0 0 0 1 1 1 1 0 1 1 4 0 1 1 0 1 1 2 0 1 1 1 0 1 2 0 0
"deep" 0 0 1 0 3 1 0 1 2 1 4 2 0 0 2 1 0 2 0 1 0 0 0 2 1 1 0 0 1 0 0 1 0 1 1 1 0 0 3 2 0 2 1 1 1 1 2 0 0 2 0 4 0 0 0 2 0 2 0 1 1 1 0 0 0 1 2 1
"distant" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1
"dull" 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 2 1 0 1 0 0 0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 0 3 1 2 2 0 0 0 0 2 0 0 1 1 1 2 0 0 2 2
"earnest" 3 1 1 0 3 0 1 3 1 1 1 0 1 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 3 0 1 0 1 0 0 0 0 0 0 3 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0
"expressive" 2 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1 2 0 0 1 2 0 0 0 1 1 0 1 0 2 0 1 1 1 0 0 1 1 1 0 2 0 0 0 1 0 1 0
"feminine" 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
