"affectionate" "agreeable" "anxious" "bold" "bright" "certain" "chaste" "cheerful" "cold" "compassionate" "complimentary" "cool" "cruel" "curious" "deep" "determined" "devilish" "distant" "earnest" "exact" "explosive" "expressive" "faithful" "fanciful" "friendly" "gentle" "graceful" "honest" "humble" "ignorant" "impatient" "independent" "indifferent" "kind" "loud" "moral" "narrow" "natural" "particular" "patient" "pleasant" "polite" "political" "practical" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reliant" "reserved" "rough" "sentimental" "serene" "silent" "simple" "slow" "social" "steady" "stern" "submissive" "suspicious" "tender" "thoughtful" "tight" "unkind" "vague" "violent" "wild" "vain" "warm" "womanly"
"fanciful" 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"friendly" 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0
"gentle" 0 0 1 0 1 3 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 2 0 0 0 0 2 2 0 1 0 1 0 0 2 2 1 0 3 1 0 0 0 0 3 0 0 5 0 0 0 2 0 0 0 0 4 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1
"graceful" 1 1 1 0 0 0 2 1 2 0 1 0 1 2 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 1 1 2 2 0 0 0 1 2 1 2 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1
"honest" 1 0 0 1 0 2 0 1 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 2 2 0 0 1 0 1 1 1 4 1 1 2 1 0 1 1 0 0 0 0 0 0 4 5 0 1 0 2 0 0 1 1 2 0 2 0 0 0 0 1 0 1 1 2 1 0 1 0
"humble" 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 2 0 1 0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 2 1 0 2 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0
"ignorant" 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0
"impatient" 1 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1
"independent" 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"indifferent" 0 1 0 0 0 1 1 0 3 0 1 0 2 1 1 1 0 0 0 1 0 0 1 1 0 1 2 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 2 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 3 0 0 1
