"affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "benevolent" "bright" "calm" "careful" "certain" "cheerful" "cold" "complicated" "constant" "cool" "cunning" "curious" "deep" "dignified" "distant" "dull" "earnest" "eloquent" "emphatic" "enthusiastic" "excessive" "expressive" "faithful" "fearful" "fierce" "foolish" "friendly" "gentle" "gloomy" "hearty" "honest" "humble" "ingenious" "intense" "intimate" "kind" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "particular" "pleasant" "precise" "profound" "proper" "proud" "quiet" "reasonable" "restless" "serious" "silent" "slow" "smart" "solemn" "stern" "thoughtful" "violent" "warm" "wild" "wise"
"affected" 0 1 2 0 2 0 0 0 0 1 3 0 1 1 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 1 2 2 0 0 0 1 0 1 0 0 1 1 1 2 0 2 0 0 0 1 1 0 0 1 0 2 1 0 0 0 1 1 0 1 1 1 0 2 0
"affectionate" 1 0 1 1 2 1 1 1 0 0 4 2 3 1 1 0 1 0 1 0 2 0 0 1 0 0 0 1 2 0 1 3 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 3 0 2 3 1 1 0 2 1 2 0 0 1 2 1 2 0 1 2 0 0 0
"agreeable" 2 1 0 4 0 1 1 5 2 2 7 5 5 2 1 1 0 3 5 1 2 0 2 0 0 2 2 2 0 1 2 0 3 1 0 1 3 2 3 1 1 3 4 7 0 1 4 3 1 7 8 1 2 0 2 8 2 1 3 1 1 0 1 2 1 3 3 2 0
"amiable" 0 1 4 0 1 2 0 1 2 3 4 2 3 0 1 0 0 0 4 1 1 1 0 1 0 3 1 4 0 1 0 0 1 2 0 1 1 2 1 2 1 3 1 2 1 1 1 5 1 3 2 0 2 1 3 3 1 1 1 0 0 0 3 0 1 1 1 0 1
"anxious" 2 2 0 1 0 2 0 3 1 3 3 2 6 1 0 0 2 2 4 2 2 1 3 0 1 0 2 2 0 1 1 1 1 3 2 1 3 1 3 1 2 0 1 4 1 2 1 4 3 5 5 3 4 4 1 4 1 2 1 8 1 4 1 2 1 3 5 1 4
"awkward" 0 1 1 2 2 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 2 1 0 1 0 2 0 1 0 1 0 1 1 1 0 0 1 1 0 1 1 2 3 0 0 0 1 0 2 2 0 0 1 2 0 0 0 1 0 0 0 1 0 0 1 0 0 0
"benevolent" 0 1 1 0 0 1 0 1 0 0 2 1 2 0 3 0 0 1 2 1 1 0 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 2 2 1 0 1 0 3 2 1 4 1 0 2 0 1 1 2 0 0 3 0 0 0 2 0 0
"bright" 0 1 5 1 3 1 1 0 3 1 3 4 12 1 3 1 2 2 5 0 4 2 1 0 1 3 3 1 1 0 3 0 3 5 3 3 0 1 0 1 0 2 4 5 2 0 1 2 2 4 6 1 3 3 4 4 1 3 3 1 1 2 2 0 0 2 5 5 1
"calm" 0 0 2 2 1 0 0 3 0 2 1 1 1 1 1 2 0 1 3 1 1 0 1 1 0 0 1 1 2 0 1 0 1 2 1 0 1 1 1 1 0 0 2 2 1 1 2 1 0 3 3 0 3 1 2 0 0 1 1 1 0 1 1 1 0 3 0 3 0
"careful" 1 0 2 3 3 0 0 1 2 0 4 2 2 0 0 0 0 1 2 1 0 1 0 1 0 0 1 1 1 0 0 1 2 1 0 1 2 1 1 0 2 2 5 2 0 2 0 8 1 6 5 1 2 2 1 4 0 0 1 1 1 1 2 1 1 0 1 0 2
"certain" 3 4 7 4 3 0 2 3 1 4 0 4 6 0 1 1 1 8 8 1 1 0 2 1 2 4 1 0 1 1 1 1 0 2 2 3 1 0 2 1 0 2 2 6 0 4 3 5 2 11 7 1 6 1 4 8 2 2 4 3 4 1 4 1 1 6 4 2 1
"cheerful" 0 2 5 2 2 0 1 4 1 2 4 0 5 0 2 0 0 3 4 0 2 2 1 1 0 0 2 1 1 0 2 1 2 3 1 1 0 1 0 1 1 1 4 6 4 1 1 2 2 4 7 1 0 4 0 7 2 0 4 2 0 3 4 1 1 3 4 3 2
