"affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "certain" "cheerful" "civil" "clever" "cold" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "friendly" "gallant" "gentle" "humble" "ignorant" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "musical" "natural" "nervous" "obliging" "particular" "pleasant" "proper" "quick" "quiet" "rational" "reasonable" "serious" "severe" "silent" "simple" "steady" "thorough" "vain" "warm"
"affectionate" 0 1 3 2 2 1 1 1 1 4 0 1 0 0 0 1 0 2 0 0 3 0 0 0 0 0 0 2 0 0 3 2 1 0 1 0 3 1 2 1 0 2 0 0 0 1 0 1
"agreeable" 1 0 10 6 2 1 4 7 2 3 9 0 3 1 2 2 2 6 5 5 3 2 5 2 1 1 2 7 3 3 10 2 4 4 12 9 8 5 6 6 7 8 4 3 3 2 1 5
"amiable" 3 10 0 6 0 2 3 4 4 4 4 0 4 2 0 1 1 6 3 3 3 2 3 1 2 1 1 13 2 3 11 1 7 8 6 5 7 1 5 2 3 6 3 2 1 0 3 3
"anxious" 2 6 6 0 2 4 7 4 3 2 3 1 2 2 1 3 3 1 2 2 1 1 0 1 0 1 3 6 2 4 5 2 5 6 4 10 4 3 1 4 2 2 2 0 1 2 1 4
"awkward" 2 2 0 2 0 0 1 2 2 2 1 0 1 0 1 0 1 2 3 0 2 1 2 1 0 0 0 3 1 0 1 1 1 1 2 1 2 0 1 0 3 1 3 1 0 3 1 2
"capable" 1 1 2 4 0 0 2 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 2 0 2 3 1 2 4 0 3 2 2 1 0 0 1 0 0 0 0 0 0
"certain" 1 4 3 7 1 2 0 1 1 3 3 4 2 1 1 2 1 3 4 2 0 1 1 1 2 4 1 5 2 1 5 1 2 6 4 5 3 4 1 2 1 2 5 1 1 2 2 4
"cheerful" 1 7 4 4 2 0 1 0 3 3 6 2 2 1 4 1 1 1 6 2 5 2 0 2 1 1 3 5 5 1 8 2 0 2 8 8 1 3 5 3 3 2 5 2 0 0 3 9
"civil" 1 2 4 3 2 0 1 3 0 2 2 0 1 0 0 0 0 1 2 0 2 3 1 1 0 4 1 6 1 1 5 1 3 4 6 3 2 1 2 2 2 3 0 1 0 2 0 2
"clever" 4 3 4 2 2 1 3 3 2 0 2 2 1 1 2 0 0 4 1 1 3 2 1 1 1 3 0 4 0 1 9 2 2 5 5 2 4 1 2 1 0 1 1 2 1 4 2 3
"cold" 0 9 4 3 1 0 3 6 2 2 0 2 5 3 2 4 1 4 3 4 2 2 2 5 1 3 2 8 1 1 6 4 5 5 6 5 4 4 3 6 5 2 6 3 2 3 1 3
"deep" 1 0 0 1 0 0 4 2 0 2 2 0 0 0 0 4 0 1 1 0 0 0 0 0 0 1 1 2 0 0 0 1 0 1 3 1 1 1 0 1 0 0 3 1 1 0 0 2
"determined" 0 3 4 2 1 0 2 2 1 1 5 0 0 0 2 0 1 1 2 1 0 3 0 0 2 2 1 5 1 2 2 0 2 4 5 2 2 0 2 1 4 1 4 0 1 1 1 1
"distant" 0 1 2 2 0 0 1 1 0 1 3 0 0 0 0 2 0 2 0 1 1 0 1 0 1 0 2 1 0 0 3 1 1 1 2 1 1 1 1 2 1 0 1 0 1 1 1 1
"dull" 0 2 0 1 1 0 1 4 0 2 2 0 2 0 0 1 1 0 3 2 0 1 0 0 0 1 0 1 1 1 2 1 0 1 3 2 0 0 0 0 1 1 2 1 0 0 2 2
"eager" 1 2 1 3 0 0 2 1 0 0 4 4 0 2 1 0 2 2 1 2 2 0 0 1 2 0 0 3 0 0 0 3 1 2 3 1 2 2 2 0 1 1 3 2 2 1 2 3
"earnest" 0 2 1 3 1 1 1 1 0 0 1 0 1 0 1 2 0 1 2 1 2 0 1 0 0 0 2 6 1 0 3 0 1 2 3 4 1 2 0 0 1 1 1 1 1 0 0 1
"elegant" 2 6 6 1 2 2 3 1 1 4 4 1 1 2 0 2 1 0 0 2 4 0 1 3 3 0 2 8 0 0 6 1 3 7 3 4 6 7 2 3 0 4 1 1 2 0 3 4
"friendly" 0 5 3 2 3 0 4 6 2 1 3 1 2 0 3 1 2 0 0 1 0 4 3 0 0 3 0 5 3 1 2 1 0 1 5 5 1 1 1 1 2 4 5 1 0 1 2 4
"gallant" 0 5 3 2 0 0 2 2 0 1 4 0 1 1 2 2 1 2 1 0 0 1 1 1 2 0 0 4 1 0 5 0 0 0 1 3 3 1 0 1 1 0 2 2 0 0 3 1
"gentle" 3 3 3 1 2 1 0 5 2 3 2 0 0 1 0 2 2 4 0 0 0 0 1 0 1 0 2 4 1 0 5 1 3 0 4 3 2 3 2 1 1 2 1 0 1 1 2 2
"humble" 0 2 2 1 1 0 1 2 3 2 2 0 3 0 1 0 0 0 4 1 0 0 1 0 0 4 0 3 1 1 3 0 2 2 2 1 0 0 1 1 1 2 2 2 0 2 2 1
"ignorant" 0 5 3 0 2 0 1 0 1 1 2 0 0 1 0 0 1 1 3 1 1 1 0 0 0 1 0 2 0 0 3 0 0 1 2 1 1 1 1 2 1 3 3 1 1 1 1 0
"impatient" 0 2 1 1 1 1 1 2 1 1 5 0 0 0 0 1 0 3 0 1 0 0 0 0 1 0 0 1 0 1 5 1 3 5 1 2 2 2 1 0 1 0 2 1 0 1 0 2
"independent" 0 1 2 0 0 0 2 1 0 1 1 0 2 1 0 2 0 3 0 2 1 0 0 1 0 0 0 3 0 1 1 1 1 2 3 1 2 1 1 0 1 1 0 1 1 1 3 1
"indifferent" 0 1 1 1 0 0 4 1 4 3 3 1 2 0 1 0 0 0 3 0 0 4 1 0 0 0 0 3 0 2 4 0 3 4 1 2 1 0 0 3 1 2 3 2 0 2 1 3
"intimate" 0 2 1 3 0 0 1 3 1 0 2 1 1 2 0 0 2 2 0 0 2 0 0 0 0 0 0 3 0 0 2 0 0 2 4 1 0 2 2 2 1 2 0 2 1 0 0 0
"kind" 2 7 13 6 3 2 5 5 6 4 8 2 5 1 1 3 6 8 5 4 4 3 2 1 3 3 3 0 2 1 14 0 7 11 6 8 7 5 2 5 4 6 4 5 2 2 3 6
"lively" 0 3 2 2 1 0 2 5 1 0 1 0 1 0 1 0 1 0 3 1 1 1 0 0 0 0 0 2 0 0 2 0 0 1 4 4 0 3 0 1 0 0 3 0 0 0 1 5
"musical" 0 3 3 4 0 2 1 1 1 1 1 0 2 0 1 0 0 0 1 0 0 1 0 1 1 2 0 1 0 0 3 1 2 5 2 2 2 0 0 0 1 0 1 1 0 0 1 3
"natural" 3 10 11 5 1 3 5 8 5 9 6 0 2 3 2 0 3 6 2 5 5 3 3 5 1 4 2 14 2 3 0 3 2 15 6 12 7 9 5 7 5 5 7 6 2 2 2 6
"nervous" 2 2 1 2 1 1 1 2 1 2 4 1 0 1 1 3 0 1 1 0 1 0 0 1 1 0 0 0 0 1 3 0 1 1 2 2 2 3 2 1 1 2 0 0 3 1 1 1
"obliging" 1 4 7 5 1 2 2 0 3 2 5 0 2 1 0 1 1 3 0 0 3 2 0 3 1 3 0 7 0 2 2 1 0 6 2 2 4 1 0 1 2 0 2 2 1 1 2 2
"particular" 0 4 8 6 1 4 6 2 4 5 5 1 4 1 1 2 2 7 1 0 0 2 1 5 2 4 2 11 1 5 15 1 6 0 5 10 2 4 4 5 2 4 1 6 1 4 2 4
"pleasant" 1 12 6 4 2 0 4 8 6 5 6 3 5 2 3 3 3 3 5 1 4 2 2 1 3 1 4 6 4 2 6 2 2 5 0 9 4 4 2 4 6 5 4 1 1 1 3 3
"proper" 0 9 5 10 1 3 5 8 3 2 5 1 2 1 2 1 4 4 5 3 3 1 1 2 1 2 1 8 4 2 12 2 2 10 9 0 4 9 3 3 3 1 4 0 0 2 2 6
"quick" 3 8 7 4 2 2 3 1 2 4 4 1 2 1 0 2 1 6 1 3 2 0 1 2 2 1 0 7 0 2 7 2 4 2 4 4 0 4 2 3 1 2 3 1 1 0 2 2
"quiet" 1 5 1 3 0 2 4 3 1 1 4 1 0 1 0 2 2 7 1 1 3 0 1 2 1 0 2 5 3 0 9 3 1 4 4 9 4 0 2 4 1 3 2 0 2 1 3 3
"rational" 2 6 5 1 1 1 1 5 2 2 3 0 2 1 0 2 0 2 1 0 2 1 1 1 1 0 2 2 0 0 5 2 0 4 2 3 2 2 0 3 2 6 1 1 2 0 1 1
"reasonable" 1 6 2 4 0 0 2 3 2 1 6 1 1 2 0 0 0 3 1 1 1 1 2 0 0 3 2 5 1 0 7 1 1 5 4 3 3 4 3 0 2 4 2 3 1 1 1 2
"serious" 0 7 3 2 3 0 1 3 2 0 5 0 4 1 1 1 1 0 2 1 1 1 1 1 1 1 1 4 0 1 5 1 2 2 6 3 1 1 2 2 0 2 5 3 1 3 3 2
"severe" 2 8 6 2 1 1 2 2 3 1 2 0 1 0 1 1 1 4 4 0 2 2 3 0 1 2 2 6 0 0 5 2 0 4 5 1 2 3 6 4 2 0 1 2 3 1 2 1
"silent" 0 4 3 2 3 0 5 5 0 1 6 3 4 1 2 3 1 1 5 2 1 2 3 2 0 3 0 4 3 1 7 0 2 1 4 4 3 2 1 2 5 1 0 3 0 0 3 6
"simple" 0 3 2 0 1 0 1 2 1 2 3 1 0 0 1 2 1 1 1 2 0 2 1 1 1 2 2 5 0 1 6 0 2 6 1 0 1 0 1 3 3 2 3 0 1 3 1 1
"steady" 0 3 1 1 0 0 1 0 0 1 2 1 1 1 0 2 1 2 0 0 1 0 1 0 1 0 1 2 0 0 2 3 1 1 1 0 1 2 2 1 1 3 0 1 0 0 2 0
"thorough" 1 2 0 2 3 0 2 0 2 4 3 0 1 1 0 1 0 0 1 0 1 2 1 1 1 2 0 2 0 0 2 1 1 4 1 2 0 1 0 1 3 1 0 3 0 0 0 1
"vain" 0 1 3 1 1 0 2 3 0 2 1 0 1 1 2 2 0 3 2 3 2 2 1 0 3 1 0 3 1 1 2 1 2 2 3 2 2 3 1 1 3 2 3 1 2 0 0 1
"warm" 1 5 3 4 2 0 4 9 2 3 3 2 1 1 2 3 1 4 4 1 2 1 0 2 1 3 0 6 5 3 6 1 2 4 3 6 2 3 1 2 2 1 6 1 0 1 1 0
