"affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bright" "calm" "capable" "certain" "cheerful" "childish" "coarse" "cold" "confused" "constant" "deep" "distant" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "generous" "gentle" "gloomy" "harsh" "heroic" "ignorant" "intense" "kind" "lifeless" "lively" "loud" "mild" "moral" "narrow" "natural" "nervous" "peaceful" "placid" "pleasant" "profound" "quick" "rough" "rude" "rugged" "saintly" "selfish" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "vain" "violent" "warm" "wild" "vivid"
"affectionate" 0 0 2 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 2 2 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 2 1 2 0 0 0 0 1 2 0
"agreeable" 0 0 0 0 1 0 1 1 1 0 0 0 1 2 0 0 2 0 0 0 0 1 0 0 0 2 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 2 1 1
"amiable" 2 0 0 1 4 2 0 1 1 0 3 0 2 3 1 1 1 0 0 0 0 0 1 0 2 5 1 3 0 1 0 1 0 1 1 2 0 1 1 1 2 1 1 1 2 0 3 0 0 0 1 0 1 3 1 0 0 1 0 0 0 0
"anxious" 1 0 1 0 1 1 0 2 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 2 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0
"benevolent" 1 1 4 1 0 1 0 2 0 0 3 1 1 5 0 2 2 1 0 0 0 1 3 0 1 3 1 4 1 1 1 1 1 1 1 3 1 0 2 1 1 1 1 0 3 1 2 0 0 0 2 0 1 1 1 1 0 1 1 0 1 0
"bitter" 0 0 2 1 1 0 0 1 5 0 0 0 0 5 1 0 2 2 0 0 1 0 1 0 3 4 1 1 0 2 0 2 2 0 1 1 0 0 2 0 1 1 0 1 0 0 1 1 1 2 0 0 0 3 1 1 1 1 0 2 2 0
"bright" 0 1 0 0 0 0 0 2 1 0 2 1 0 1 1 0 1 0 1 2 0 0 0 1 0 3 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 2 2 0 1 0 0 1 1 2 1 0 1
"calm" 1 1 1 2 2 1 2 0 1 0 0 1 1 5 1 3 3 1 1 1 0 0 2 2 0 1 2 0 1 1 1 1 2 1 2 2 1 1 2 2 2 1 2 0 2 1 0 0 1 1 2 1 0 3 3 1 1 4 3 1 0 2
"capable" 0 1 1 0 0 5 1 1 0 0 2 1 1 5 2 0 1 1 2 1 0 0 0 1 0 3 2 1 1 0 1 2 3 0 1 0 1 2 2 1 1 0 2 0 1 1 1 0 2 0 0 2 0 3 3 3 1 1 1 1 0 0
"certain" 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 1 0 0 0 2 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 2 1 1 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 1
