"active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bold" "bright" "calm" "careful" "careless" "certain" "cheerful" "clever" "coarse" "cold" "constant" "cool" "cruel" "cunning" "curious" "deep" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "foolish" "friendly" "gallant" "genteel" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "hearty" "honest" "humble" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "pleasant" "profound" "proper" "proud" "quick" "quiet" "respectful" "restless" "rough" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "slow" "smart" "solemn" "spirited" "steady" "stern" "thoughtful" "thoughtless" "tight" "uncouth" "vague" "vain" "violent" "warm" "worldly" "wild" "wise"
"active" 0 1 2 1 3 0 0 1 2 1 0 0 3 3 0 0 4 2 1 0 1 0 1 0 3 0 1 1 0 0 0 0 1 1 2 1 0 0 1 1 3 0 1 1 1 0 0 0 1 2 2 1 0 0 1 0 1 0 2 0 0 0 1 2 0 2 3 2 0 1 0 0 1 3 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 4 0 0 2
"affectionate" 1 0 3 1 3 1 0 1 2 0 1 0 4 2 1 0 4 0 1 1 0 2 1 4 2 1 0 1 1 0 0 0 0 2 2 3 1 1 0 0 2 2 3 0 3 1 1 1 2 1 2 1 1 2 4 1 1 5 4 0 0 3 3 2 2 0 3 0 1 2 1 1 1 0 3 0 0 1 1 0 0 3 1 0 0 2 1 1 2 5 1 2 0
"agreeable" 2 3 0 2 3 0 1 2 2 0 1 0 5 1 1 1 3 2 1 0 0 1 3 1 2 0 1 1 2 0 3 1 1 1 3 1 1 1 1 2 1 1 3 1 1 0 2 2 2 2 1 1 1 0 5 0 0 1 5 0 0 9 1 3 3 2 4 2 0 1 2 0 1 1 4 0 2 3 2 4 1 2 0 0 0 0 0 1 3 3 1 1 0
"amiable" 1 1 2 0 1 0 1 0 2 1 0 0 5 1 2 0 2 2 0 1 0 1 2 0 3 1 1 2 3 0 0 2 0 2 0 4 2 0 3 1 1 1 0 0 0 0 1 0 1 1 2 1 0 0 5 0 1 1 4 1 0 0 0 3 1 3 2 1 0 4 1 0 1 2 2 1 1 0 1 1 0 3 0 0 0 0 0 0 2 1 1 2 0
"anxious" 3 3 3 1 0 4 3 2 3 1 5 3 10 2 0 1 9 3 2 1 2 4 7 0 7 4 2 0 2 2 7 4 1 3 4 1 0 3 3 4 3 2 5 3 6 3 1 5 7 0 7 2 4 0 9 2 3 3 10 2 0 8 4 3 7 4 7 0 2 1 1 5 6 2 3 0 6 2 1 0 2 2 2 3 2 2 1 1 5 7 1 2 0
"awkward" 0 1 0 0 4 0 1 0 2 0 3 0 6 2 1 0 3 2 2 1 1 0 1 0 2 1 0 0 1 1 3 1 0 1 0 1 0 0 0 2 0 2 1 0 1 1 0 4 1 1 4 0 3 2 1 1 1 2 4 1 0 2 0 2 3 0 4 1 0 0 0 0 1 0 2 0 2 0 0 0 1 0 0 0 1 1 0 0 2 0 1 2 0
"bitter" 0 0 1 1 3 1 0 1 4 1 1 0 2 1 0 0 5 1 0 1 0 0 2 0 2 3 3 0 0 2 1 0 1 1 2 0 0 1 0 1 0 2 2 0 0 0 0 1 3 0 2 0 1 1 1 0 0 0 3 2 0 4 0 2 1 0 3 0 0 1 1 1 2 0 2 1 2 0 0 1 0 0 0 1 1 1 0 2 4 1 0 2 1
"bold" 1 1 2 0 2 0 1 0 2 0 0 2 1 0 0 1 1 0 0 1 0 0 2 0 1 0 0 1 1 1 0 0 2 1 2 0 1 1 0 0 3 0 0 1 0 1 3 2 1 2 2 1 1 0 2 1 2 2 1 0 0 3 1 2 0 0 3 0 0 1 0 0 2 0 1 0 0 3 1 1 0 0 1 0 0 0 0 1 1 1 0 1 1
"bright" 2 2 2 2 3 2 4 2 0 1 1 0 6 4 2 1 8 0 2 0 2 1 4 1 9 2 3 4 1 1 1 2 2 2 5 2 4 0 1 3 2 4 4 2 1 1 1 1 4 3 3 2 2 2 6 2 1 5 8 2 2 5 1 2 2 3 7 0 0 2 2 0 4 2 7 1 3 0 1 0 2 6 1 2 1 2 1 2 2 6 1 4 0
"calm" 1 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 4 1 1 0 0 1 5 0 0 0 0 1 0 1 0 1 1 0 3 0 1 0 1 2 0 4 0 1 1 1 0 0 0 0 3 0 0 0 3 0 0 3 1 1 0 1 0 0 1 1 2 0 3 3 0 0 0 2 3 0 0 0 2 1 1 0 0 0 1 0 1 1 3 1 1 2 0
"careful" 0 1 1 0 5 3 1 0 1 0 0 0 2 0 3 1 4 2 0 0 0 0 3 1 1 3 2 1 0 0 2 1 1 0 2 2 0 0 1 1 1 0 0 1 1 0 1 4 0 0 2 0 1 0 1 2 0 1 2 0 0 2 0 1 1 2 2 0 1 0 2 1 1 1 1 0 0 0 1 0 1 1 1 0 2 3 0 0 3 1 1 1 2
"careless" 0 0 0 0 3 0 0 2 0 1 0 0 0 1 0 0 2 0 2 1 1 1 1 0 2 0 1 0 0 0 1 1 0 0 0 2 0 1 1 1 0 2 0 0 2 4 0 0 1 1 1 1 0 0 1 0 0 1 2 0 0 0 0 3 0 0 2 1 1 1 0 0 2 0 4 0 1 0 0 0 1 0 1 0 0 0 1 0 3 0 0 2 0
"certain" 3 4 5 5 10 6 2 1 6 0 2 0 0 6 2 1 6 4 2 4 4 3 4 2 6 3 4 2 1 3 5 3 1 6 3 2 3 3 2 6 2 3 2 1 1 2 0 2 8 3 5 2 5 2 12 3 1 6 9 3 2 8 8 8 5 2 12 2 2 3 1 3 11 4 5 2 6 3 6 2 2 1 2 2 5 1 3 2 8 4 2 2 2
"cheerful" 3 2 1 1 2 2 1 0 4 1 0 1 6 0 1 0 5 0 2 0 0 1 2 1 2 4 1 3 1 3 0 2 0 2 2 0 0 0 0 1 3 5 2 0 1 2 1 1 3 2 2 0 1 0 2 0 1 3 6 0 0 5 4 3 3 2 7 2 1 0 1 1 1 1 6 1 2 1 0 1 2 0 0 1 1 0 2 1 1 7 0 2 1
"clever" 0 1 1 2 0 1 0 0 2 0 3 0 2 1 0 0 3 0 0 0 0 0 0 0 1 0 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 3 0 2 0 0 1 0 1 1 3 0 0 0 0 1 0 2 2 0 0 0 0 3 1 1 0 0 0 1 2 0 2 1 1 1 0 0 2 2 1 0 0 0 0 0 0 0 1 0 0 0 1
"coarse" 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 3 1 0 0 0 2 2 0 1 1 0 2 1 1 2 1 1 1 2 1 1 0 4 1 1 3 0 0 0 0 0 0 1 0 8 1 1 1 0 2 1 2 3 0 1 2 1 0 1 2 1 1 1 1 0 1 0 2 4 1 2 0 2 1 0 1 0 0 0 1 0 0 2 1 0 1 0
"cold" 4 4 3 2 9 3 5 1 8 4 4 2 6 5 3 3 0 1 1 1 3 5 4 1 9 4 5 4 4 0 3 2 1 3 8 7 5 1 4 2 5 11 5 1 3 1 0 1 7 4 7 1 4 0 3 4 2 6 10 1 1 6 0 6 1 5 10 2 2 4 0 4 2 6 8 2 3 2 4 2 1 6 2 2 2 1 2 4 8 8 2 4 1
