"affectionate" "agreeable" "amiable" "anxious" "awkward" "bold" "capable" "certain" "cheerful" "civil" "confused" "cruel" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "faithful" "flighty" "foolish" "generous" "gentle" "hasty" "hearty" "humble" "ignorant" "impatient" "impertinent" "indifferent" "kind" "lively" "loud" "modest" "natural" "obliging" "particular" "polite" "productive" "profound" "proper" "proud" "quick" "quiet" "respectful" "rude" "serious" "severe" "silent" "simple" "smart" "vain" "violent"
"affectionate" 0 1 1 0 1 1 0 2 1 0 0 2 2 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 3 1 1 2 0 0 2 0 1 0 0 0 1 1 0 1 0 0 0 0 2 1 0 0 1
"agreeable" 1 0 1 0 1 1 1 0 0 1 1 0 0 1 2 0 0 0 1 0 1 1 1 3 0 0 1 3 0 3 1 2 2 0 0 0 0 4 0 0 2 0 0 1 0 2 2 0 0 2 0 1 1 3
"amiable" 1 1 0 1 0 0 1 1 2 0 1 4 3 0 2 0 2 2 0 3 1 1 2 3 1 2 3 1 0 1 4 1 1 0 0 4 1 3 1 1 0 4 3 1 0 2 1 2 1 3 1 0 1 1
"anxious" 0 0 1 0 0 0 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 2 1 0 0 0 1 1 0 0 0 1 1 2 0 0 1 1 2 0 0 2 0 2 0 0 0 1
"awkward" 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 1 1 2 0 0 0 3 0 0 0 0 1 3 0 2 1 2 1 2 1 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 1
"bold" 1 1 0 0 1 0 1 0 0 1 1 2 1 1 0 1 0 0 2 0 1 2 1 1 1 1 1 2 2 4 1 2 1 3 2 2 0 2 1 1 1 0 0 0 2 1 0 1 1 2 1 0 2 3
"capable" 0 1 1 0 1 1 0 2 0 0 1 3 1 1 0 0 3 0 0 1 0 1 3 0 1 1 2 2 0 1 1 2 1 0 1 2 1 2 2 0 2 1 0 1 0 2 0 2 0 3 0 0 2 1
"certain" 2 0 1 1 0 0 2 0 0 2 0 5 0 2 3 2 5 2 1 1 0 2 2 1 0 1 2 3 0 5 3 1 1 2 2 4 2 3 1 0 1 1 1 0 2 0 1 2 2 3 1 1 0 3
"cheerful" 1 0 2 0 1 0 0 0 0 1 0 2 2 0 1 0 2 0 0 0 1 1 1 1 1 0 0 0 0 0 2 2 1 0 2 0 1 2 0 2 0 1 1 0 0 0 1 1 0 5 1 0 2 0
"civil" 0 1 0 0 0 1 0 2 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 2 1 3 0 0 1 0 2 1 0 1 1 0 0 0 1 1 1 1 2 1 2 1 0 2 2 0
"confused" 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 2 1 1 1 0 0 2 1 0 1 1 0 4 0 0 0 3 0 0 1 2 0 0 1 0 0 3 0 4 1 1 1 0
"cruel" 2 0 4 3 2 2 3 5 2 1 1 0 4 2 2 2 4 3 1 1 1 2 4 1 0 1 1 2 2 7 3 2 1 1 4 1 2 3 3 3 1 6 4 2 4 2 3 3 0 8 1 1 3 5
"deep" 2 0 3 1 0 1 1 0 2 0 0 4 0 0 0 2 1 1 0 0 0 0 0 0 1 1 0 1 0 0 2 0 0 1 1 1 1 1 0 0 1 2 3 2 0 1 0 1 1 4 2 0 4 2
"determined" 0 1 0 0 0 1 1 2 0 1 0 2 0 0 0 1 2 0 0 0 0 0 3 0 0 0 3 2 0 2 0 1 0 2 0 2 1 1 1 1 1 0 2 2 0 0 1 0 1 3 0 1 1 2
"distant" 0 2 2 0 0 0 0 3 1 1 1 2 0 0 0 0 1 0 0 1 1 1 1 3 1 1 2 2 0 1 0 1 0 0 1 1 2 1 0 0 0 0 0 0 2 0 1 1 0 4 1 0 0 0
