"agreeable" "anxious" "bright" "certain" "cheerful" "cold" "curious" "deep" "dull" "expressive" "friendly" "generous" "gloomy" "gracious" "honest" "kind" "modest" "narrow" "natural" "original" "particular" "pleasant" "proud" "quick" "quiet" "silent" "slow" "wild" "wise"
"agreeable" 0 1 6 10 1 3 0 3 7 2 5 4 1 4 0 4 1 3 8 5 4 2 2 1 2 3 1 1 1
"anxious" 1 0 4 7 1 2 1 1 1 0 3 3 1 3 2 1 1 0 3 2 2 1 3 2 3 1 0 0 1
"bright" 6 4 0 14 5 4 3 4 2 1 2 3 3 4 6 6 2 3 5 5 4 3 8 5 7 3 1 1 4
"certain" 10 7 14 0 5 7 6 9 7 8 9 6 5 6 10 10 6 4 13 7 14 7 10 6 14 9 5 1 5
"cheerful" 1 1 5 5 0 2 1 3 3 2 0 0 0 3 1 1 1 2 4 0 3 4 1 4 2 1 1 0 1
"cold" 3 2 4 7 2 0 2 6 3 1 1 1 2 2 5 5 1 0 6 3 5 3 3 2 5 4 2 3 3
"curious" 0 1 3 6 1 2 0 3 3 0 0 2 2 1 4 2 1 1 3 3 2 0 4 2 1 3 0 0 2
"deep" 3 1 4 9 3 6 3 0 1 1 2 3 0 4 5 1 4 4 3 3 3 3 3 2 7 5 1 2 1
"dull" 7 1 2 7 3 3 3 1 0 2 1 1 2 3 3 0 1 2 5 3 3 2 1 0 2 2 1 2 0
"expressive" 2 0 1 8 2 1 0 1 2 0 3 0 0 2 1 2 1 2 3 3 1 3 1 1 2 1 1 1 0
"friendly" 5 3 2 9 0 1 0 2 1 3 0 1 1 0 2 1 1 1 1 0 1 2 2 0 2 2 2 0 1
"generous" 4 3 3 6 0 1 2 3 1 0 1 0 0 2 1 4 0 1 4 0 1 1 2 1 1 2 1 0 0
"gloomy" 1 1 3 5 0 2 2 0 2 0 1 0 0 1 1 0 1 1 6 1 1 0 2 3 2 3 1 1 3
"gracious" 4 3 4 6 3 2 1 4 3 2 0 2 1 0 2 1 1 2 5 2 2 1 4 1 4 2 1 0 1
"honest" 0 2 6 10 1 5 4 5 3 1 2 1 1 2 0 3 6 2 2 5 2 2 4 3 4 6 3 6 2
"kind" 4 1 6 10 1 5 2 1 0 2 1 4 0 1 3 0 0 0 5 3 3 3 4 3 5 3 2 0 4
"modest" 1 1 2 6 1 1 1 4 1 1 1 0 1 1 6 0 0 0 1 3 3 2 3 2 2 2 0 1 1
"narrow" 3 0 3 4 2 0 1 4 2 2 1 1 1 2 2 0 0 0 4 1 2 2 2 1 6 1 1 1 0
"natural" 8 3 5 13 4 6 3 3 5 3 1 4 6 5 2 5 1 4 0 4 5 3 7 3 9 3 3 0 2
"original" 5 2 5 7 0 3 3 3 3 3 0 0 1 2 5 3 3 1 4 0 1 3 3 0 2 4 2 1 0
"particular" 4 2 4 14 3 5 2 3 3 1 1 1 1 2 2 3 3 2 5 1 0 2 3 2 7 3 2 2 0
"pleasant" 2 1 3 7 4 3 0 3 2 3 2 1 0 1 2 3 2 2 3 3 2 0 3 2 8 1 1 1 1
"proud" 2 3 8 10 1 3 4 3 1 1 2 2 2 4 4 4 3 2 7 3 3 3 0 5 5 2 1 0 0
"quick" 1 2 5 6 4 2 2 2 0 1 0 1 3 1 3 3 2 1 3 0 2 2 5 0 6 6 1 2 2
"quiet" 2 3 7 14 2 5 1 7 2 2 2 1 2 4 4 5 2 6 9 2 7 8 5 6 0 5 4 1 0
"silent" 3 1 3 9 1 4 3 5 2 1 2 2 3 2 6 3 2 1 3 4 3 1 2 6 5 0 1 4 2
"slow" 1 0 1 5 1 2 0 1 1 1 2 1 1 1 3 2 0 1 3 2 2 1 1 1 4 1 0 3 0
"wild" 1 0 1 1 0 3 0 2 2 1 0 0 1 0 6 0 1 1 0 1 2 1 0 2 1 4 3 0 1
"wise" 1 1 4 5 1 3 2 1 0 0 1 0 3 1 2 4 1 0 2 0 0 1 0 2 0 2 0 1 0
