"active" "affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "certain" "cheerful" "civil" "cold" "constant" "cruel" "determined" "distant" "dull" "eager" "earnest" "excessive" "friendly" "gentle" "honest" "impatient" "impertinent" "independent" "indifferent" "intimate" "kind" "lively" "natural" "particular" "pleasant" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "selfish" "serious" "silent" "simple" "sincere" "smart" "vain" "violent" "warm"
"natural" 2 5 4 5 6 2 6 6 0 2 4 3 3 1 4 3 2 8 2 3 3 2 2 2 3 2 1 4 3 0 7 2 5 1 1 2 3 2 3 5 11 8 3 2 3 3 4
"particular" 1 6 6 4 10 2 8 8 4 3 8 8 2 3 3 3 4 5 0 3 2 4 4 2 2 5 5 6 2 7 0 6 5 3 2 2 4 6 3 6 6 6 3 4 2 5 7
"pleasant" 0 1 3 1 3 1 1 4 0 2 2 1 1 3 2 1 2 1 0 2 0 1 0 1 0 0 1 2 0 2 6 0 0 0 0 1 0 0 0 0 2 1 0 0 2 2 1
"proper" 2 4 0 3 2 0 2 4 2 0 0 2 1 1 1 2 3 3 1 0 0 2 0 0 1 2 3 2 1 5 5 0 0 0 3 2 1 1 2 1 5 1 5 1 0 1 2
"proud" 0 0 0 0 1 1 2 1 0 0 0 2 1 1 0 0 1 2 0 0 0 0 0 0 1 0 2 0 1 1 3 0 0 0 1 1 1 2 1 0 3 3 0 0 0 0 0
"prudent" 0 3 0 1 2 2 1 2 0 0 1 3 0 2 1 0 1 0 1 1 0 0 0 0 1 0 1 1 2 1 2 0 3 1 0 0 1 1 0 0 2 1 1 0 0 0 0
"quick" 2 1 1 0 2 1 2 2 1 1 3 3 0 0 2 1 0 1 1 1 1 0 0 1 0 1 1 1 1 2 2 1 2 1 0 0 0 1 1 1 3 1 2 2 0 3 0
"quiet" 0 3 2 2 1 2 3 3 3 2 2 1 2 0 0 1 1 1 2 1 2 0 2 0 2 0 1 1 1 3 4 0 1 1 1 0 0 1 0 2 7 1 1 1 0 3 3
"reasonable" 2 2 0 1 4 4 2 1 1 0 2 2 1 1 1 1 1 2 0 2 0 1 2 0 1 2 3 1 1 2 6 0 1 2 1 1 1 0 1 2 3 3 2 0 0 1 1
"selfish" 0 1 0 3 1 0 2 2 2 0 2 1 1 2 1 1 5 2 0 0 1 1 0 0 1 0 1 0 0 3 3 0 2 1 0 1 0 1 0 2 3 1 0 0 1 1 1
"serious" 2 3 5 2 4 1 2 3 5 2 3 4 1 1 0 1 3 6 2 1 1 0 2 1 0 2 3 4 2 5 6 0 1 0 0 1 2 2 2 0 8 2 1 1 1 3 1
"silent" 2 5 6 3 6 4 5 6 6 3 4 5 3 5 2 6 5 6 3 2 3 3 3 1 3 3 1 9 3 11 6 2 5 3 2 3 7 3 3 8 0 4 4 2 3 3 4
"simple" 2 1 1 3 6 2 3 8 1 1 2 4 1 1 2 1 2 3 1 4 1 0 3 1 1 1 3 3 1 8 6 1 1 3 1 1 1 3 1 2 4 0 1 1 1 4 1
"sincere" 2 2 0 2 3 2 2 2 2 0 1 3 1 2 1 2 0 3 0 0 0 1 0 0 0 0 2 1 1 3 3 0 5 0 1 2 1 2 0 1 4 1 0 0 0 1 2
"smart" 2 0 4 0 2 1 0 1 1 2 1 1 0 0 0 2 0 0 2 1 2 0 0 1 1 1 1 0 0 2 4 0 1 0 0 2 1 0 0 1 2 1 0 0 1 1 0
"vain" 0 2 0 0 2 1 1 2 0 0 1 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 3 2 2 0 0 0 0 0 0 1 1 3 1 0 1 0 0 0
"violent" 1 2 2 3 5 1 2 2 3 3 4 2 0 1 1 1 2 2 2 2 1 0 3 1 0 1 1 2 0 3 5 2 1 0 0 3 3 1 1 3 3 4 1 1 0 0 2
"warm" 2 1 0 2 2 0 1 3 2 1 2 2 1 1 2 1 1 1 0 1 0 1 3 0 0 0 1 3 0 4 7 1 2 0 0 0 3 1 1 1 4 1 2 0 0 2 0
