"agreeable" "anxious" "bright" "calm" "certain" "cheerful" "cold" "confused" "constant" "contrary" "deep" "eager" "faithful" "firm" "foolish" "hardened" "honest" "ignorant" "impatient" "just" "merciless" "merry" "natural" "particular" "pensive" "pleasant" "proper" "quiet" "rational" "religious" "serious" "tame" "violent" "wild" "wise" "sincere"
"agreeable" 0 3 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 2 2 0 3 1 1 0 0 1 3 0 5 1 0
"anxious" 3 0 0 0 0 0 2 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 2 1 2 0 0
"bright" 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"calm" 0 0 0 0 1 1 0 0 0 3 0 2 1 1 1 1 0 1 1 0 1 1 0 1 2 2 2 3 2 1 2 1 2 2 2 0
"certain" 0 0 1 1 0 2 2 1 3 0 1 2 2 0 1 1 2 1 0 2 1 0 1 5 2 1 3 1 0 2 3 1 1 1 3 1
"cheerful" 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 1 1 0
"cold" 1 2 1 0 2 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 1 1 1 0 0
"confused" 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 2 0 1 0 0 0 1 0 0 2 0 0 0 0 1 2 3 0 0
"constant" 1 1 1 0 3 0 1 1 0 0 2 0 0 1 1 1 0 1 0 2 1 0 1 2 1 1 1 0 1 1 2 1 1 3 1 0
"contrary" 1 0 0 3 0 1 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 2 0 1 0 0 1 0 1 3 1 0
"deep" 1 1 0 0 1 0 1 0 2 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"eager" 0 0 0 2 2 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 1 1 1 0 1 0 1 0 0 0
"faithful" 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 1 0 1 0 1 3 3 0 1 0 0 0 0 0 2
"firm" 1 2 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 3 2 0 2 2 2 1 4 0 0
"foolish" 0 0 0 1 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 2 2 0 0 1 0 0 0 0 1
"hardened" 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1
"honest" 0 0 0 0 2 1 0 0 0 1 0 0 3 0 1 0 0 0 0 2 1 1 0 2 0 0 3 3 0 2 1 0 1 2 0 2
