"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "capable" "careless" "certain" "cheerful" "civil" "clever" "cold" "constant" "deep" "determined" "distant" "dull" "eager" "earnest" "faithful" "fearful" "foolish" "friendly" "gallant" "generous" "gentle" "gloomy" "heroic" "honest" "humble" "ignorant" "impatient" "independent" "indifferent" "intelligent" "intimate" "jealous" "judicious" "kind" "literary" "lively" "loud" "maternal" "mild" "narrow" "natural" "negligent" "particular" "patient" "pleasant" "polite" "proper" "quick" "quiet" "rational" "reasonable" "resentful" "rude" "selfish" "serious" "severe" "silent" "simple" "sincere" "smart" "solemn" "speedy" "steady" "unaffected" "ungenerous" "unkind" "unsuspicious" "vain" "violent" "warm" "wild" "wise" "worldly"
"affected" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"affectionate" 0 0 0 0 2 0 0 1 1 1 2 2 0 1 2 1 0 1 0 0 3 1 0 1 1 1 0 0 0 1 0 1 0 2 0 1 1 1 1 1 0 2 0 0 0 1 0 1 2 0 0 0 1 1 0 1 1 1 2 0 0 1 0 2 3 0 0 0 0 1 1 0 1 1 2 2 0 2 1 1 0
"agreeable" 2 0 0 1 3 1 0 0 0 1 1 0 1 1 0 2 0 0 0 3 0 0 0 1 0 0 0 1 2 0 1 0 0 1 2 0 0 1 1 1 1 1 0 2 1 0 0 1 2 1 3 1 3 0 1 0 1 1 0 0 0 0 0 0 0 2 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1
"amiable" 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1
"anxious" 1 2 3 1 0 1 1 1 2 0 1 0 1 1 2 0 1 2 1 0 2 0 1 3 1 0 1 2 2 0 0 0 2 0 2 0 1 0 0 1 1 3 0 0 0 0 0 0 2 0 2 1 2 0 1 4 3 0 2 1 0 1 1 2 0 3 0 0 0 0 0 1 1 1 0 1 3 0 0 1 0
"bold" 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"bright" 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"calm" 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1
"capable" 0 1 0 1 2 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 4 0 1 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0
"careless" 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0
