"affectionate" "agreeable" "anxious" "bitter" "bold" "brave" "bright" "calm" "capable" "careful" "careless" "certain" "cheerful" "coarse" "cold" "compassionate" "confident" "confused" "congenial" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "fearful" "fervent" "fierce" "friendly" "gentle" "gloomy" "gracious" "honest" "ignorant" "indifferent" "intimate" "kind" "loud" "moral" "murderous" "narrow" "natural" "observant" "original" "particular" "passionate" "peaceful" "pleasant" "polite" "profound" "quick" "quiet" "restless" "rough" "shrewd" "silent" "simple" "slow" "solemn" "stable" "steady" "studious" "submissive" "sunny" "timid" "vain" "violent" "warm" "wild"
"affectionate" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0
"agreeable" 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 2 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 2 1 1 0 0 0 2 0 0 1 1 0 0 1 2 2 0 0 0 1 0 1 1 0 0 0 0 2
"anxious" 1 0 0 0 0 0 4 0 2 0 2 3 0 1 4 0 2 0 0 1 0 3 3 0 0 0 2 0 2 0 0 0 0 1 1 1 1 1 2 1 0 0 0 5 1 2 0 1 4 1 2 2 1 0 4 0 1 2 1 1 1 3 3 1 0 0 0 1 2 1 0 0 0 2 0 2
"bitter" 0 0 0 0 1 0 2 1 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 2 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 2
"bold" 0 0 0 1 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 1 0 2 0 0 0 0 0 1
"brave" 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 1 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 3
"bright" 0 0 4 2 2 1 0 2 1 1 1 4 0 1 5 0 1 1 1 1 0 2 4 1 2 2 2 1 2 0 3 2 0 0 0 1 4 1 2 1 2 0 0 2 1 0 2 3 3 0 2 0 0 1 2 1 1 3 6 0 2 2 3 1 1 5 1 5 0 1 0 1 0 0 1 4
"calm" 0 0 0 1 0 0 2 0 0 1 0 2 1 0 1 0 0 0 1 0 0 0 2 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 3 0 0 0 1 0 1 2 0 1 0 0 0 1 1 0 1 0
"capable" 0 0 2 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"careful" 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0
"careless" 0 1 2 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 2
"certain" 1 1 3 0 0 0 4 2 1 1 1 0 3 4 2 2 1 0 2 2 1 2 3 1 2 4 1 1 3 2 3 0 1 1 1 0 1 1 2 1 1 1 2 1 2 2 1 0 6 1 1 1 0 0 4 0 0 0 6 0 3 2 4 1 0 5 1 1 1 1 1 1 1 1 1 3
"cheerful" 0 1 0 1 0 0 0 1 0 0 0 3 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 2 2 0 0 0 4 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2
"coarse" 0 0 1 1 1 1 1 0 1 0 1 4 0 0 2 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 2 1 0 1 0 0 0 2 0 0 1 0 1 1 0 0 0 0 0 0 1 0 2 1 1 0 1 1 1 1 0 1 0 0 1 0 0 4
"cold" 0 0 4 2 1 1 5 1 1 0 1 2 1 2 0 2 0 1 0 1 2 1 3 0 1 0 2 1 2 0 0 1 0 0 1 0 3 2 0 4 1 1 0 1 1 1 1 3 4 1 1 3 1 1 3 1 1 2 6 3 3 1 2 1 2 1 1 1 0 0 0 0 1 1 0 4
"compassionate" 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"confident" 1 0 2 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1
"confused" 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 2 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 2 0 0 0 2 0 1 1 0 1 0 1 0 0 0 0 0 2
"congenial" 0 1 0 0 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1
"cool" 0 1 1 0 1 2 1 0 0 1 0 2 1 0 1 0 0 0 1 0 3 2 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 1 0 1 0 0 2 1 0 2 4 0 0 2 0 2 0 0 1 0 0 1 2 0 0 0 0 1
"cruel" 1 0 0 1 2 1 0 0 0 1 1 1 0 2 2 1 0 0 0 3 0 1 3 0 1 2 1 0 0 0 0 1 0 1 2 2 1 3 0 1 2 1 1 0 3 0 0 2 0 1 0 0 1 1 0 2 1 3 4 0 2 0 1 1 0 0 1 3 1 2 1 0 1 0 0 2
"curious" 1 1 3 0 0 1 2 0 1 0 0 2 0 0 1 0 1 0 0 2 1 0 2 0 0 1 1 0 2 0 0 0 1 0 0 1 1 0 1 0 0 1 1 1 2 0 0 0 2 0 0 1 0 0 3 1 0 0 2 0 2 2 0 1 0 0 0 2 1 0 1 0 1 0 0 2
