"agreeable" "anxious" "bright" "certain" "cheerful" "coarse" "cold" "confused" "constant" "curious" "deep" "determined" "distant" "dull" "fierce" "friendly" "gentle" "gloomy" "honest" "humble" "ignorant" "impatient" "indifferent" "lively" "natural" "particular" "pleasant" "polite" "profound" "proud" "quick" "quiet" "serious" "silent" "slow" "steady" "suspicious" "vain" "violent" "wild" "warm"
"agreeable" 0 2 4 4 1 1 3 1 1 1 0 1 0 2 1 0 0 1 1 0 1 0 0 3 1 1 3 1 1 3 1 2 2 2 0 2 2 0 0 1 1
"anxious" 2 0 4 3 2 0 5 0 1 2 2 1 2 2 1 0 1 2 1 0 0 1 3 1 3 1 4 0 0 1 0 7 1 1 0 2 0 0 1 0 1
"bright" 4 4 0 5 2 4 6 2 2 2 1 3 2 4 1 0 1 5 3 1 1 0 2 1 2 4 2 1 2 5 1 8 3 4 1 3 1 1 2 3 3
"certain" 4 3 5 0 6 4 8 2 1 3 3 5 3 4 0 3 3 3 7 0 4 2 2 2 3 7 6 3 3 5 2 6 6 5 1 3 4 0 2 1 1
"cheerful" 1 2 2 6 0 2 0 1 0 1 2 0 0 3 0 0 2 2 1 1 1 0 0 0 2 2 3 1 0 0 1 3 1 2 0 1 0 0 1 0 2
"coarse" 1 0 4 4 2 0 2 1 0 3 0 0 1 1 1 0 0 2 1 1 2 3 1 1 1 5 1 1 1 2 3 2 0 0 0 0 1 0 3 3 1
"cold" 3 5 6 8 0 2 0 0 4 2 3 2 3 4 5 1 1 2 2 0 1 1 1 1 5 5 3 2 0 5 0 8 3 3 0 5 2 0 4 4 3
"confused" 1 0 2 2 1 1 0 0 0 0 0 1 0 0 1 0 0 2 1 1 1 0 0 0 1 2 0 0 2 0 2 3 1 1 0 0 1 0 1 3 1
"constant" 1 1 2 1 0 0 4 0 0 2 0 1 0 0 0 0 0 2 0 3 0 0 2 0 2 1 2 0 0 1 1 2 1 0 0 2 0 2 0 0 0
"curious" 1 2 2 3 1 3 2 0 2 0 0 2 1 1 0 2 2 2 0 1 0 1 1 0 1 2 3 0 0 0 1 4 2 2 1 0 0 2 3 1 1
