"affectionate" "agreeable" "amiable" "anxious" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "constant" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "gentle" "gloomy" "graceful" "gracious" "honest" "humble" "ignorant" "impatient" "indifferent" "ingenious" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "patient" "pleasant" "practical" "proper" "proud" "quick" "quiet" "rough" "serious" "silent" "simple" "slow" "social" "steady" "stern" "tender" "tight" "timid" "vague" "violent" "warm" "wild" "wise"
"cold" 1 1 2 3 4 2 5 11 4 4 0 3 1 3 5 3 1 3 2 1 2 2 0 3 2 0 2 3 3 2 0 0 2 8 0 3 2 2 4 5 3 2 0 5 1 3 2 4 8 2 0 3 1 3 1 1 3 1 0 4 0 1 2 4 1
"constant" 2 3 2 4 3 1 0 5 0 2 3 0 0 1 0 0 2 0 0 1 0 0 0 2 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 2 4 1 1 1 0 1 0 4 2 1 3 2 1 0 0 0 0 0 3 0 0 1 1 3
"cool" 1 0 0 0 1 0 0 3 1 2 1 0 0 3 0 0 0 1 0 1 0 1 1 2 3 1 0 0 1 0 1 1 0 2 1 0 0 3 0 3 0 1 0 1 0 0 2 2 0 0 1 2 2 0 1 0 1 4 0 0 0 1 0 0 0
"cruel" 2 1 2 3 2 1 0 4 0 1 3 1 3 0 1 1 1 1 2 2 3 2 1 1 2 2 1 4 2 0 1 2 0 5 0 1 0 0 1 5 1 2 3 0 1 2 3 5 3 1 2 5 1 1 1 1 1 4 1 3 1 1 1 3 1
"curious" 2 3 0 2 6 0 0 13 2 2 5 0 0 1 0 1 2 5 2 1 4 2 1 1 3 1 1 3 0 2 1 0 2 2 1 2 0 0 2 4 2 0 1 6 2 0 2 3 7 2 0 1 1 1 4 1 0 1 1 0 2 0 2 1 0
"deep" 1 1 0 0 6 1 0 3 3 2 3 0 0 1 1 0 3 3 0 2 1 2 2 1 5 0 0 2 1 0 1 0 1 1 0 1 1 0 4 3 2 3 0 3 2 3 3 3 11 3 1 3 1 0 2 3 2 2 1 2 2 2 3 3 1
"distant" 0 2 2 4 4 2 0 8 0 0 1 2 0 1 2 3 0 3 0 2 0 0 4 4 2 0 5 1 0 1 2 0 0 2 0 0 1 0 2 3 1 4 0 1 0 0 2 0 6 3 0 4 2 0 2 1 1 0 0 1 0 1 2 6 0
"dull" 1 3 1 2 5 1 0 6 3 3 3 0 1 1 5 3 3 0 1 1 1 0 0 0 4 1 1 1 1 0 0 0 1 4 1 0 0 1 4 4 1 5 0 4 0 2 3 3 4 1 1 2 0 2 0 0 1 2 0 0 0 3 1 2 1
"earnest" 0 3 0 2 1 1 3 2 0 2 2 0 0 2 2 0 0 1 0 0 2 0 0 1 0 2 1 1 0 0 1 0 1 2 0 1 1 1 1 5 1 2 2 2 0 0 2 3 3 0 0 0 1 2 0 1 0 2 1 2 1 1 1 0 1
"expressive" 0 4 1 5 2 1 3 8 0 3 1 1 1 2 1 2 2 1 0 0 2 2 4 1 1 2 0 1 0 1 2 2 0 5 0 1 0 1 0 0 0 2 1 4 0 3 3 0 6 1 0 4 0 0 1 1 1 0 0 0 1 1 1 1 1
"faithful" 1 2 0 3 3 2 2 5 0 3 2 0 0 3 4 1 0 1 2 2 0 2 1 1 0 3 2 3 1 2 0 0 0 2 1 0 2 0 0 5 2 2 3 1 0 2 3 1 4 0 0 3 1 3 3 1 1 1 0 2 0 2 0 0 1
"friendly" 3 6 1 1 5 1 1 7 1 1 2 0 1 2 2 2 0 0 0 2 2 0 1 1 1 1 1 3 1 0 1 1 1 2 2 1 2 3 0 2 0 1 1 2 2 3 3 8 4 1 2 4 0 4 3 3 2 1 2 1 1 2 0 1 2
"generous" 2 2 2 2 2 0 0 5 1 0 0 0 1 1 1 2 4 0 0 4 1 1 0 3 1 0 3 2 0 0 1 1 0 3 1 0 0 0 2 2 1 1 0 2 0 1 3 2 6 3 1 1 2 1 0 1 1 1 1 1 0 0 2 1 2
"gentle" 2 2 2 4 1 0 2 6 0 0 3 2 2 1 1 1 4 0 1 1 1 1 3 0 3 1 1 2 1 1 2 1 0 4 1 2 0 2 0 2 2 1 0 0 2 0 4 2 4 0 1 2 2 4 2 1 2 1 2 1 0 0 1 2 4
"gloomy" 0 2 0 1 10 2 0 2 2 4 2 1 3 2 3 5 2 4 0 1 0 1 1 3 0 1 1 1 1 0 2 1 0 2 4 2 0 1 3 2 2 2 0 2 1 2 3 2 4 2 1 3 0 4 0 3 5 2 1 0 1 1 2 5 0
"graceful" 1 1 1 2 2 0 1 0 1 1 0 0 1 2 1 0 0 1 2 2 3 1 0 1 1 0 1 0 0 1 0 2 1 1 0 0 0 0 0 4 0 0 1 1 1 1 1 1 1 0 1 2 1 3 0 1 1 1 0 1 0 0 0 0 0
"gracious" 1 3 1 2 5 0 2 6 0 1 2 0 0 1 1 0 5 1 1 0 2 1 3 1 1 1 0 1 1 2 3 2 0 8 1 1 3 0 3 3 6 5 2 2 1 6 3 2 4 0 0 2 0 2 0 0 1 2 2 0 0 3 0 0 1
"honest" 1 3 1 5 4 1 1 3 1 0 3 1 0 4 3 2 1 1 1 1 3 3 2 2 1 0 1 0 2 0 1 0 1 3 0 2 0 0 1 3 1 3 3 2 1 2 2 1 6 0 0 6 0 1 1 1 0 0 2 0 1 2 0 1 0
