"affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "certain" "cheerful" "childish" "cold" "constant" "cruel" "curious" "deep" "devilish" "distant" "dull" "earnest" "expressive" "faithful" "fierce" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "haughty" "honest" "humble" "indifferent" "jealous" "kind" "lively" "mild" "modest" "moral" "natural" "original" "particular" "patient" "pleasant" "profound" "proud" "quick" "quiet" "rough" "serious" "severe" "silent" "simple" "slow" "social" "solemn" "steady" "stern" "tender" "thoughtful" "tight" "timid" "tough" "vague" "violent" "warm" "wild"
"affectionate" 0 0 0 0 0 5 2 3 0 0 3 2 0 0 2 1 2 0 4 0 0 0 0 0 0 5 0 0 1 2 3 0 2 1 3 1 1 0 0 3 0 2 0 0 2 3 0 5 1 0 2 5 0 0 0 2 1 2 1 1 0 0 2 1 1 1 3
"agreeable" 0 0 0 2 1 6 1 7 2 0 4 1 0 2 3 1 2 2 1 4 2 0 4 1 2 2 1 1 1 2 4 0 3 0 3 1 0 1 1 4 0 4 0 2 3 7 1 1 1 0 1 4 2 1 1 2 2 3 1 2 0 2 1 2 3 1 0
"amiable" 0 0 0 0 0 3 1 4 2 0 3 0 1 0 3 4 0 1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 3 2 3 0 1 1 1 3 0 1 0 5 3 1 1 2 0 4 1 0 3 1 1 0 0 3 2 1 0 0 0 2 0
"anxious" 0 2 0 0 3 4 1 3 2 2 5 1 2 3 2 1 6 2 2 1 0 1 2 1 1 1 2 3 3 2 3 1 0 0 3 1 2 1 1 5 2 5 1 2 0 6 4 3 0 0 2 5 1 3 0 4 5 0 0 0 0 2 1 2 0 3 2
"bold" 0 1 0 3 0 5 1 2 1 0 5 2 2 3 9 2 2 0 2 3 2 1 1 1 0 4 3 0 1 2 2 3 1 2 2 2 3 3 1 3 2 1 4 5 3 9 5 1 1 1 1 6 0 2 0 1 0 1 3 2 2 3 0 0 3 1 4
"bright" 5 6 3 4 5 0 4 15 8 4 12 4 4 1 11 1 8 7 7 4 3 4 3 2 2 13 5 2 3 3 8 4 0 2 11 3 2 2 2 5 1 9 4 7 6 13 7 16 4 1 2 16 6 5 3 10 4 2 6 4 2 7 0 5 2 8 10
"calm" 2 1 1 1 1 4 0 5 3 1 5 1 3 1 6 2 2 4 1 0 2 3 0 0 0 3 1 1 1 1 3 0 3 0 2 1 1 2 2 1 0 2 2 4 0 3 0 6 0 2 2 2 1 2 0 4 0 0 1 2 2 0 0 2 2 0 3
"certain" 3 7 4 3 2 15 5 0 5 2 13 2 1 1 8 4 3 5 6 7 3 5 4 3 2 8 1 0 6 3 5 4 2 1 6 3 6 2 3 9 0 10 4 9 3 13 6 8 2 2 3 14 2 6 4 4 3 1 2 8 2 3 1 3 4 3 7
"cheerful" 0 2 2 2 1 8 3 5 0 2 7 0 2 0 5 1 0 4 2 1 3 1 0 1 0 4 1 1 0 0 2 0 0 0 4 2 3 2 1 4 1 0 0 2 1 4 3 4 3 3 1 1 2 1 1 6 0 2 1 2 2 1 0 1 1 4 2
"childish" 0 0 0 2 0 4 1 2 2 0 4 2 2 1 6 0 0 1 3 0 1 2 0 0 1 2 0 0 0 1 0 1 1 2 3 2 2 2 0 2 0 3 2 1 0 2 0 4 0 0 0 1 0 1 0 5 0 0 0 3 1 1 0 0 0 2 3
"cold" 3 4 3 5 5 12 5 13 7 4 0 3 6 4 13 1 8 6 3 4 2 5 4 2 2 12 5 4 3 9 2 2 2 0 6 3 5 3 3 10 4 7 3 3 0 16 9 13 6 2 5 11 6 4 6 10 4 3 3 6 5 5 5 4 2 11 7
"constant" 2 1 0 1 2 4 1 2 0 2 3 0 2 0 3 3 3 5 1 0 3 1 1 1 1 7 4 1 2 4 3 1 2 5 2 0 0 0 2 6 1 1 1 2 0 6 1 4 5 0 1 1 2 1 1 2 1 0 0 2 0 2 4 1 0 2 2
"cruel" 0 0 1 2 2 4 3 1 2 2 6 2 0 0 5 1 3 3 4 0 0 3 1 0 0 2 0 1 0 0 1 1 1 1 4 0 1 1 1 5 2 2 2 1 0 6 5 5 0 2 0 1 2 1 1 3 3 1 0 3 1 2 1 0 0 2 8
"curious" 0 2 0 3 3 1 1 1 0 1 4 0 0 0 6 1 3 1 2 2 0 0 0 0 3 2 0 1 4 1 1 1 0 0 6 0 1 4 1 4 1 4 0 2 0 6 0 5 1 0 1 5 0 1 0 2 1 1 3 1 1 1 0 2 2 3 2
"deep" 2 3 3 2 9 11 6 8 5 6 13 3 5 6 0 1 9 5 7 3 2 3 4 3 0 9 3 3 2 4 5 2 3 5 7 1 3 2 3 10 4 7 6 10 2 17 4 12 6 2 1 7 3 3 1 7 6 2 3 3 4 5 1 3 3 4 7
"devilish" 1 1 4 1 2 1 2 4 1 0 1 3 1 1 1 0 0 1 3 0 2 0 1 1 1 1 3 2 1 2 0 0 1 2 2 4 2 1 1 1 1 3 0 2 1 9 0 2 1 2 1 6 1 1 1 1 0 0 0 2 3 1 2 1 1 1 1
"distant" 2 2 0 6 2 8 2 3 0 0 8 3 3 3 9 0 0 8 2 1 0 5 0 1 3 5 3 3 0 8 2 1 0 1 0 0 3 1 1 4 2 1 2 0 1 9 5 10 3 1 0 6 2 2 3 5 4 1 3 1 1 2 1 4 1 4 8
