"affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "certain" "cheerful" "civil" "clever" "cold" "constant" "deep" "determined" "eager" "earnest" "elegant" "fearful" "foolish" "formal" "friendly" "generous" "gentle" "ignorant" "impatient" "imprudent" "indifferent" "intimate" "kind" "lively" "natural" "original" "particular" "pleasant" "proper" "proud" "quick" "quiet" "rational" "reasonable" "serious" "severe" "silent" "sincere" "steady" "unaffected" "uncivil" "unguarded" "unreasonable" "vain" "violent" "warm" "wild"
"affectionate" 0 2 3 3 1 1 2 0 0 1 0 3 0 1 1 3 1 1 0 0 1 2 0 4 1 3 1 2 3 2 3 0 1 1 3 2 1 2 1 4 2 0 1 4 2 0 0 1 2 2 2 1 3
"agreeable" 2 0 7 6 4 3 11 0 4 2 9 2 4 3 3 2 6 2 2 0 6 0 3 0 2 2 4 3 3 5 3 2 8 6 4 6 3 0 1 1 4 2 5 1 5 3 3 2 1 4 2 1 2
"amiable" 3 7 0 6 3 6 6 3 4 1 2 1 0 1 3 6 4 2 3 3 2 3 2 2 1 1 5 3 3 6 3 1 6 3 5 8 0 1 2 4 5 1 7 4 1 1 2 1 1 3 4 1 1
"anxious" 3 6 6 0 3 2 5 2 3 1 3 1 0 3 3 3 1 1 2 1 1 3 2 2 2 0 3 1 3 4 1 0 1 0 0 5 2 3 0 3 3 1 5 1 1 2 2 1 1 0 2 1 1
"awkward" 1 4 3 3 0 1 3 0 3 1 1 0 0 1 0 2 1 0 0 3 1 0 0 0 0 0 0 0 1 2 1 0 1 3 1 3 2 1 1 1 1 0 2 1 1 1 0 0 0 0 1 1 1
"capable" 1 3 6 2 1 0 6 1 3 1 2 1 0 1 4 0 0 1 0 0 0 2 0 1 1 0 2 2 2 2 1 0 6 2 1 4 0 1 0 0 2 1 1 0 1 0 0 0 2 2 1 0 0
"certain" 2 11 6 5 3 6 0 1 2 0 4 4 2 5 5 3 3 1 0 2 2 1 2 1 2 0 2 2 5 2 6 1 7 7 3 3 1 2 2 2 5 5 6 3 3 3 0 2 3 4 3 1 4
"cheerful" 0 0 3 2 0 1 1 0 0 0 1 2 0 1 0 0 0 1 1 2 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 1 0 0
"civil" 0 4 4 3 3 3 2 0 0 1 2 0 1 1 2 0 1 1 0 1 1 1 0 0 1 0 2 1 1 1 3 1 2 4 1 5 1 0 0 2 4 0 1 0 1 0 0 0 1 1 1 1 2
"clever" 1 2 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 1 1 2 0 2 0 1 1 1 0 1 0 0 0 2 0 3 0 0 0 0 1 2 0 0
"cold" 0 9 2 3 1 2 4 1 2 0 0 0 2 1 2 1 3 1 2 1 1 0 0 0 1 1 3 0 3 0 1 1 2 3 0 2 0 0 1 2 2 1 3 1 2 0 3 0 1 2 0 0 1
"constant" 3 2 1 1 0 1 4 2 0 0 0 0 1 2 1 0 0 0 0 1 1 1 1 2 1 2 0 0 1 0 3 1 0 0 3 1 0 0 0 1 3 3 0 1 0 0 0 1 2 1 2 1 3
"deep" 0 4 0 0 0 0 2 0 1 0 2 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 2
"determined" 1 3 1 3 1 1 5 1 1 0 1 2 1 0 2 1 0 0 0 0 1 0 1 2 1 1 1 1 2 1 0 0 3 0 0 1 2 1 0 3 0 1 0 0 0 0 0 2 3 1 2 1 1
"eager" 1 3 3 3 0 4 5 0 2 0 2 1 0 2 0 1 0 2 0 0 1 0 1 0 1 0 1 3 4 2 2 0 3 0 2 1 2 0 1 1 2 1 2 2 0 1 0 0 2 0 0 0 0
"earnest" 3 2 6 3 2 0 3 0 0 0 1 0 0 1 1 0 1 0 1 0 0 1 2 1 1 0 1 1 4 3 0 1 0 0 2 3 1 3 1 1 0 0 2 2 0 0 1 1 0 3 2 0 1
"elegant" 1 6 4 1 1 0 3 0 1 0 3 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 2 2 3 1 2 1 2 1 3 1 0 3 0 0 0 0 0 0 1 0 1
"fearful" 1 2 2 1 0 1 1 1 1 0 1 0 1 0 2 0 0 0 0 0 1 0 1 0 1 1 0 0 1 2 1 1 1 0 0 1 1 0 0 0 2 0 0 0 1 1 1 0 1 0 0 0 0
