"agreeable" "anxious" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "cruel" "curious" "deep" "distant" "dull" "eager" "earnest" "expressive" "fearful" "fierce" "gentle" "gloomy" "hasty" "hearty" "honest" "impatient" "ingenious" "intense" "kind" "lively" "loud" "merry" "narrow" "natural" "particular" "pleasant" "profound" "proper" "proud" "quick" "quiet" "rough" "serious" "silent" "simple" "slow" "solemn" "violent" "warm" "wild" "wise"
"agreeable" 0 0 1 0 1 1 1 2 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 2 1 0 3 1 0 1 1 0 0 0 1 0 0 0 1 0 2 0 0 0
"anxious" 0 0 1 3 3 7 1 1 7 1 1 5 2 1 2 3 0 2 0 4 3 2 2 0 2 0 2 5 0 1 0 5 1 2 2 2 1 1 4 7 2 1 5 1 1 2 1 4 2 1
"bright" 1 1 0 1 0 5 2 2 7 2 1 3 1 1 2 2 1 1 1 1 1 1 0 2 1 0 0 2 0 3 0 1 1 2 1 0 1 1 2 4 1 0 3 0 0 2 3 0 1 0
"calm" 0 3 1 0 0 2 2 0 4 1 0 6 0 2 1 1 1 2 0 3 1 0 0 1 0 0 0 2 1 1 1 1 0 0 1 0 0 1 1 3 1 0 2 2 0 3 0 2 1 0
"careful" 1 3 0 0 0 1 1 3 3 0 1 2 2 1 0 3 0 1 0 2 0 0 0 2 1 0 0 1 0 1 0 0 1 2 0 3 1 0 0 1 1 1 1 1 1 0 1 3 1 1
"certain" 1 7 5 2 1 0 2 2 12 2 1 6 1 2 1 1 0 0 2 3 3 3 0 2 1 1 0 3 1 3 0 2 1 4 2 4 4 1 1 8 2 0 3 2 0 1 4 2 0 2
"cheerful" 1 1 2 2 1 2 0 1 3 1 2 7 0 1 0 3 0 1 0 2 1 0 0 3 1 1 0 1 0 0 0 0 0 0 2 0 1 0 1 1 3 1 4 1 1 2 1 1 0 0
"clever" 2 1 2 0 3 2 1 0 2 0 2 1 0 1 0 2 0 0 1 1 0 1 1 1 2 0 0 1 1 2 0 0 2 2 1 0 0 0 1 2 1 1 1 0 1 2 2 1 0 1
"cold" 1 7 7 4 3 12 3 2 0 3 0 8 3 5 4 4 1 3 2 8 6 2 2 0 2 1 2 5 1 10 1 4 1 7 1 5 5 1 4 8 3 2 7 0 4 0 6 6 3 1
"cruel" 0 1 2 1 0 2 1 0 3 0 0 3 1 1 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 1 0 2 0
"curious" 1 1 1 0 1 1 2 2 0 0 0 4 0 0 0 1 1 0 1 1 0 2 2 2 1 2 0 0 2 0 2 0 1 1 1 0 1 0 1 2 2 1 1 0 1 0 3 0 0 1
"deep" 1 5 3 6 2 6 7 1 8 3 4 0 3 2 0 5 3 3 0 9 4 1 1 5 3 0 1 3 2 5 4 5 2 1 4 2 3 4 6 4 5 3 10 5 2 4 1 5 3 1
"distant" 1 2 1 0 2 1 0 0 3 1 0 3 0 1 1 1 0 0 0 3 1 0 0 1 0 0 1 2 0 2 1 1 0 1 1 2 0 1 1 1 0 0 4 1 1 1 4 2 0 0
"dull" 1 1 1 2 1 2 1 1 5 1 0 2 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 3 1 0 0 0 0 1 2 1 1 0
"eager" 0 2 2 1 0 1 0 0 4 0 0 0 1 1 0 0 1 1 1 3 0 0 1 0 2 1 1 3 0 2 0 0 0 1 1 0 1 0 1 2 0 0 2 0 2 2 4 2 1 0
"earnest" 1 3 2 1 3 1 3 2 4 2 1 5 1 1 0 0 0 2 0 3 1 0 0 2 1 0 1 1 0 1 0 1 1 0 2 1 0 1 1 1 2 1 4 1 0 0 2 1 4 0
"expressive" 0 0 1 1 0 0 0 0 1 0 1 3 0 0 1 0 0 1 1 0 3 0 1 0 1 1 1 0 1 3 2 2 0 1 0 1 0 0 0 3 1 0 1 0 0 1 0 1 1 0
"fearful" 0 2 1 2 1 0 1 0 3 2 0 3 0 0 1 2 1 0 1 2 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 4 0 0 1 0 0 2 0
"fierce" 0 0 1 0 0 2 0 1 2 1 1 0 0 0 1 0 1 1 0 2 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 2 0 0 2 0 0 0 2 0 2 0
"gentle" 1 4 1 3 2 3 2 1 8 0 1 9 3 0 3 3 0 2 2 0 1 0 2 1 2 0 0 8 3 1 0 1 2 3 6 1 1 4 3 5 1 1 4 2 3 4 3 7 2 1
"gloomy" 1 3 1 1 0 3 1 0 6 0 0 4 1 2 0 1 3 0 1 1 0 0 1 0 0 0 2 1 2 4 0 3 0 1 2 3 2 0 3 3 1 0 1 0 0 0 2 1 3 0
"hasty" 0 2 1 0 0 3 0 1 2 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 5 0 0 1 0 0 4 1 0 1 0 2 0 0 0 1 2
"hearty" 1 2 0 0 0 0 0 1 2 0 2 1 0 0 1 0 1 0 1 2 1 0 0 0 1 2 1 2 1 1 1 0 1 0 0 0 1 1 1 4 1 1 1 0 1 0 2 1 2 0
"honest" 0 0 2 1 2 2 3 1 0 0 2 5 1 0 0 2 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 2 1 0 2 2 2 3 1 0 1 0 1 0 0
"impatient" 0 2 1 0 1 1 1 2 2 0 1 3 0 0 2 1 1 1 0 2 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 2 2 0 0 2 1 2 0 0
"ingenious" 1 0 0 0 0 1 1 0 1 0 2 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 1 3 2 0 0 0 0 1 1 1 0 0 0 0 1 0 0 2
"intense" 0 2 0 0 0 0 0 0 2 0 0 1 1 0 1 1 1 0 1 0 2 1 1 0 0 0 0 1 0 0 1 1 1 2 0 0 1 0 1 3 0 1 1 1 1 0 2 0 2 0
"kind" 0 5 2 2 1 3 1 1 5 0 0 3 2 0 3 1 0 1 0 8 1 0 2 1 1 0 1 0 1 1 0 1 1 0 1 0 1 3 1 6 0 0 3 0 2 1 2 4 0 1
"lively" 0 0 0 1 0 1 0 1 1 0 2 2 0 0 0 0 1 0 1 3 2 0 1 0 0 0 0 1 0 2 0 2 0 1 0 0 1 0 1 0 1 0 1 1 0 1 2 1 1 1
"loud" 2 1 3 1 1 3 0 2 10 2 0 5 2 1 2 1 3 1 0 1 4 0 1 0 1 1 0 1 2 0 2 2 1 2 0 1 4 1 3 3 0 0 5 0 3 1 6 2 0 0
"merry" 1 0 0 1 0 0 0 0 1 1 2 4 1 1 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 2 0 0 1 0 0 0 0 1 0 2 1 1 1 0 0 0 1 1 1 0
"narrow" 0 5 1 1 0 2 0 0 4 0 0 5 1 0 0 1 2 0 1 1 3 1 0 1 0 0 1 1 2 2 0 0 0 2 1 4 2 0 3 3 2 0 6 1 0 1 0 2 2 0
"natural" 3 1 1 0 1 1 0 2 1 0 1 2 0 0 0 1 0 0 0 2 0 0 1 0 0 1 1 1 0 1 1 0 0 2 0 0 1 0 0 1 0 0 0 1 1 0 1 2 0 1
"particular" 1 2 2 0 2 4 0 2 7 0 1 1 1 0 1 0 1 0 1 3 1 5 0 0 0 3 2 0 1 2 0 2 2 0 1 2 3 0 2 3 0 0 3 1 2 0 0 1 3 3
"pleasant" 0 2 1 1 0 2 2 1 1 0 1 4 1 0 1 2 0 0 1 6 2 0 0 1 0 2 0 1 0 0 0 1 0 1 0 1 0 0 2 4 2 1 2 1 0 2 1 3 3 0
"profound" 1 2 0 0 3 4 0 0 5 0 0 2 2 2 0 1 1 0 1 1 3 0 0 1 0 0 0 0 0 1 0 4 0 2 1 0 1 0 1 2 1 0 1 2 0 0 1 3 1 0
"proper" 1 1 1 0 1 4 1 0 5 0 1 3 0 0 1 0 0 0 0 1 2 1 1 2 0 0 1 1 1 4 0 2 1 3 0 1 0 0 2 3 0 0 3 0 1 0 1 1 1 0
"proud" 0 1 1 1 0 1 0 0 1 0 0 4 1 0 0 1 0 1 0 4 0 0 1 1 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0
"quick" 0 4 2 1 0 1 1 1 4 0 1 6 1 1 1 1 0 0 1 3 3 0 1 0 1 0 1 1 1 3 0 3 0 2 2 1 2 0 0 1 2 0 6 1 0 1 2 2 1 1
"quiet" 0 7 4 3 1 8 1 2 8 2 2 4 1 3 2 1 3 0 2 5 3 4 4 2 0 1 3 6 0 3 2 3 1 3 4 2 3 0 1 0 3 2 4 3 3 4 3 5 3 2
"rough" 1 2 1 1 1 2 3 1 3 1 2 5 0 1 0 2 1 1 0 1 1 1 1 2 1 1 0 0 1 0 1 2 0 0 2 1 0 0 2 3 0 2 3 1 1 0 0 0 0 1
"serious" 0 1 0 0 1 0 1 1 2 0 1 3 0 0 0 1 0 0 0 1 0 0 1 2 2 1 1 0 0 0 1 0 0 0 1 0 0 1 0 2 2 0 1 0 0 0 1 1 0 0
"silent" 0 5 3 2 1 3 4 1 7 2 1 10 4 0 2 4 1 4 2 4 1 1 1 3 2 0 1 3 1 5 1 6 0 3 2 1 3 1 6 4 3 1 0 1 2 2 3 1 1 0
"simple" 0 1 0 2 1 2 1 0 0 0 0 5 1 0 0 1 0 0 0 2 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 2 0 0 1 3 1 0 1 0 1 3 1 2 1 2
"slow" 1 1 0 0 1 0 1 1 4 0 1 2 1 0 2 0 0 0 0 3 0 2 1 0 0 0 1 2 0 3 0 0 1 2 0 0 1 0 0 3 1 0 2 1 0 2 4 1 2 3
"solemn" 0 2 2 3 0 1 2 2 0 0 0 4 1 1 2 0 1 1 0 4 0 0 0 1 2 0 0 1 1 1 0 1 0 0 2 0 0 0 1 4 0 0 2 3 2 0 2 2 1 1
"violent" 2 1 3 0 1 4 1 2 6 1 3 1 4 2 4 2 0 0 2 3 2 0 2 0 1 1 2 2 2 6 1 0 1 0 1 1 1 1 2 3 0 1 3 1 4 2 0 1 1 1
"warm" 0 4 0 2 3 2 1 1 6 0 0 5 2 1 2 1 1 0 0 7 1 0 1 1 2 0 0 4 1 2 1 2 2 1 3 3 1 0 2 5 0 1 1 2 1 2 1 0 1 1
"wild" 0 2 1 1 1 0 0 0 3 2 0 3 0 1 1 4 1 2 2 2 3 1 2 0 0 0 2 0 1 0 1 2 0 3 3 1 1 1 1 3 0 0 1 1 2 1 1 1 0 0
"wise" 0 1 0 0 1 2 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 1 1 0 0 0 1 3 0 0 0 0 1 2 1 0 0 2 3 1 1 1 0 0
