"affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "careful" "certain" "cheerful" "cold" "constant" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "friendly" "gentle" "gloomy" "gracious" "honest" "humble" "indifferent" "kind" "lively" "loud" "mild" "moral" "narrow" "natural" "particular" "pleasant" "proper" "proud" "quick" "quiet" "selfish" "serious" "silent" "simple" "slow" "solemn" "thoughtful" "tight" "warm" "wild"
"affectionate" 0 0 0 0 1 1 1 7 1 0 2 0 1 2 3 2 0 1 2 3 0 2 0 0 0 3 0 1 2 1 0 2 3 2 1 2 0 2 0 1 5 2 1 3 0 2 1 1
"agreeable" 0 0 1 5 3 7 1 7 4 7 1 3 0 4 5 3 3 1 4 5 1 2 5 1 2 7 2 4 6 4 1 6 12 8 3 4 1 8 3 4 6 5 2 2 1 2 3 0
"amiable" 0 1 0 1 0 3 0 4 0 2 1 2 2 3 3 1 0 0 3 2 0 1 3 1 0 0 0 2 1 2 1 3 3 0 0 0 0 3 2 2 1 2 0 2 2 0 2 0
"anxious" 0 5 1 0 2 4 1 10 5 0 1 1 3 3 5 3 4 7 2 8 1 3 5 1 1 3 2 3 1 0 0 1 5 9 4 3 3 7 1 3 7 3 2 1 3 1 3 3
"bold" 1 3 0 2 0 3 2 10 4 3 3 1 1 1 2 1 2 0 1 2 0 3 0 0 2 1 3 2 0 0 2 3 5 7 1 4 2 6 0 2 3 1 3 1 2 2 1 2
"bright" 1 7 3 4 3 0 3 18 9 12 1 4 3 4 10 7 8 5 2 10 4 6 4 4 4 3 8 7 2 6 2 7 10 16 5 5 5 12 1 6 9 5 4 2 5 1 4 6
"careful" 1 1 0 1 2 3 0 7 3 2 1 1 0 1 2 2 1 0 3 3 1 2 1 1 2 0 4 2 0 0 1 4 2 3 2 2 1 1 1 2 2 2 0 0 2 1 0 1
"certain" 7 7 4 10 10 18 7 0 17 12 6 6 5 6 15 8 5 6 8 11 7 8 10 2 7 11 8 10 4 6 5 16 26 21 5 11 9 15 2 10 11 8 8 11 9 6 8 8
"cheerful" 1 4 0 5 4 9 3 17 0 4 2 1 2 4 8 6 4 1 4 8 3 0 4 1 1 1 7 4 2 3 2 4 6 13 3 4 6 7 1 5 6 2 7 3 4 0 1 2
"cold" 0 7 2 0 3 12 2 12 4 0 1 2 0 7 12 4 8 4 4 6 4 3 3 5 1 9 3 5 3 8 2 7 7 7 7 0 8 12 3 3 11 7 6 4 3 2 8 2
"constant" 2 1 1 1 3 1 1 6 2 1 0 2 0 1 2 4 0 1 1 3 0 3 0 4 0 0 2 1 0 2 2 5 4 2 1 4 0 0 0 0 2 1 1 3 2 2 0 0
"cool" 0 3 2 1 1 4 1 6 1 2 2 0 0 0 2 2 2 2 1 2 0 1 2 1 2 2 2 0 2 3 2 5 5 4 1 2 0 3 1 1 4 2 2 1 3 0 3 2
"cruel" 1 0 2 3 1 3 0 5 2 0 0 0 0 3 4 3 1 1 0 2 0 3 2 4 0 1 2 2 2 0 1 4 3 4 1 1 2 3 0 2 2 2 0 1 1 1 0 1
"curious" 2 4 3 3 1 4 1 6 4 7 1 0 3 0 3 5 3 1 2 3 1 2 5 1 1 3 2 2 3 4 2 3 5 6 1 2 3 3 2 3 7 2 1 3 1 2 3 0
"deep" 3 5 3 5 2 10 2 15 8 12 2 2 4 3 0 7 5 5 8 6 2 2 4 4 3 5 7 3 3 3 3 10 12 7 3 8 5 11 3 3 8 3 4 4 4 2 4 6
"distant" 2 3 1 3 1 7 2 8 6 4 4 2 3 5 7 0 5 0 3 8 3 2 2 4 1 1 3 3 2 1 2 3 4 6 1 6 5 7 0 0 10 2 3 3 3 2 2 1
"dull" 0 3 0 4 2 8 1 5 4 8 0 2 1 3 5 5 0 3 2 7 3 0 4 1 2 5 3 2 1 2 1 2 2 5 3 0 2 11 1 1 9 3 2 3 1 0 3 2
"earnest" 1 1 0 7 0 5 0 6 1 4 1 2 1 1 5 0 3 0 0 6 2 3 1 0 1 6 2 1 0 0 0 1 0 3 1 1 0 3 1 1 4 1 0 0 1 1 0 1
"friendly" 2 4 3 2 1 2 3 8 4 4 1 1 0 2 8 3 2 0 0 3 0 3 6 3 2 3 2 2 0 1 0 3 6 3 1 2 3 6 2 2 3 1 0 2 1 0 4 2
"gentle" 3 5 2 8 2 10 3 11 8 6 3 2 2 3 6 8 7 6 3 0 6 3 4 5 0 5 6 5 2 1 2 5 6 10 2 6 2 13 2 2 11 3 5 4 3 0 2 1
"gloomy" 0 1 0 1 0 4 1 7 3 4 0 0 0 1 2 3 3 2 0 6 0 1 1 0 1 2 1 2 1 1 4 2 3 5 1 1 2 8 2 0 5 1 2 2 2 1 2 1
"gracious" 2 2 1 3 3 6 2 8 0 3 3 1 3 2 2 2 0 3 3 3 1 0 2 3 2 6 7 1 1 1 0 2 5 8 3 1 0 5 0 2 1 1 0 2 2 2 2 2
