"active" "affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "careless" "certain" "cheerful" "civil" "clever" "cold" "consistent" "constant" "deep" "determined" "direct" "distant" "eager" "earnest" "elegant" "excessive" "foolish" "friendly" "gentle" "hasty" "honest" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "loud" "mild" "modest" "moral" "natural" "noisy" "particular" "playful" "pleasant" "proper" "quick" "quiet" "reasonable" "scrupulous" "selfish" "serious" "silent" "simple" "solemn" "steady" "tender" "unkind" "unreasonable" "vain" "warm"
"active" 0 0 3 1 3 0 1 0 2 2 2 1 0 1 2 0 1 0 1 2 0 0 1 0 2 1 0 0 3 0 1 1 2 1 0 0 2 2 3 0 1 0 2 4 0 4 0 0 1 0 0 1 0 3 1 1 1 0 0
"affectionate" 0 0 3 0 4 1 0 0 1 1 0 1 1 1 1 0 4 0 1 1 0 1 0 0 0 0 2 0 1 1 0 0 3 1 0 0 3 0 3 0 1 0 1 4 2 1 1 2 0 1 3 1 0 0 0 1 1 1 4
"agreeable" 3 3 0 2 5 3 5 2 7 4 2 6 2 0 2 2 3 0 2 3 2 8 1 2 3 5 3 2 1 3 3 3 8 6 2 2 4 0 12 1 6 2 15 5 5 7 3 3 2 5 3 3 0 2 3 0 2 2 6
"amiable" 1 0 2 0 3 0 2 1 4 1 0 2 3 2 1 1 1 1 2 2 0 1 0 0 0 3 0 0 0 0 1 1 3 3 2 0 1 2 3 2 1 1 2 2 1 2 2 1 2 1 1 2 1 2 0 1 1 0 2
"anxious" 3 4 5 3 0 1 1 3 4 3 2 1 2 4 1 0 4 0 0 3 3 2 1 0 3 3 1 2 4 2 2 1 4 3 2 1 2 1 6 0 2 1 3 7 4 3 0 1 1 5 3 1 2 4 1 3 1 2 4
"calm" 0 1 3 0 1 0 1 0 2 0 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 1 2 1 1 1 0 1 2 0 3 1 1 0 2 2 1 0 0 0 0 3 3 1 0 1 0 0 0 0 0
"capable" 1 0 5 2 1 1 0 1 3 1 0 0 4 2 2 1 4 1 0 3 1 2 0 1 2 3 1 1 0 3 0 1 2 2 0 2 4 1 5 0 2 1 3 5 3 2 3 0 1 4 1 1 0 3 2 2 1 2 5
"careless" 0 0 2 1 3 0 1 0 0 1 0 1 2 1 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 2 2 0 1 1 0 1 0 1 2 1 0 3 0 0 0 0 3 0 0 1 1 1 0 0 1 0
"certain" 2 1 7 4 4 2 3 0 0 2 0 1 5 1 3 0 1 0 1 1 0 2 0 1 0 2 1 1 0 1 2 4 2 2 0 1 2 0 7 0 4 1 4 4 3 6 2 2 2 3 2 2 2 2 3 1 1 0 0
"cheerful" 2 1 4 1 3 0 1 1 2 0 1 1 2 0 1 0 2 0 1 1 1 1 1 0 0 1 2 1 3 1 0 0 1 2 1 2 1 1 4 1 1 0 4 2 1 3 2 0 0 0 1 0 0 3 1 0 0 0 1
"civil" 2 0 2 0 2 0 0 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 4 1 0 0 4 1 0 0 1 0 3 0 1 0 3 3 1 1 0 0 0 0 0 1 1 2 0 0 0 0 2
"clever" 1 1 6 2 1 1 0 1 1 1 0 0 0 1 2 0 0 0 1 1 0 2 0 1 0 3 1 1 0 0 1 1 3 1 3 0 2 0 2 1 2 0 4 4 3 0 1 0 2 5 0 2 0 0 1 0 0 0 1
"cold" 0 1 2 3 2 0 4 2 5 2 1 0 0 1 0 2 3 0 0 1 1 2 1 0 0 1 2 1 0 2 0 1 4 4 0 2 0 0 5 0 1 2 5 2 2 2 2 0 2 1 2 2 3 1 2 0 0 2 2
"consistent" 1 1 0 2 4 0 2 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 1 0 0 0 0 2 1 0 0 0 0 2 0 0 1 1 0 2 0 0 1
"constant" 2 1 2 1 1 1 2 0 3 1 1 2 0 0 0 0 1 1 1 1 0 2 0 1 1 3 0 1 1 2 1 1 2 2 1 0 2 1 4 1 3 0 3 2 0 2 1 0 0 2 1 2 1 1 0 0 0 0 1
"deep" 0 0 2 1 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 2 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 2 0 0 1 0 2 1 0 2 4 1 1 0 0 0 0 2
"determined" 1 4 3 1 4 1 4 0 1 2 1 0 3 0 1 0 0 0 1 4 1 1 3 1 2 2 3 2 1 5 1 1 3 2 0 1 0 1 6 1 1 2 5 6 2 1 3 1 2 1 2 0 2 3 0 0 0 2 1
"direct" 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 3 0 0 0 2 3 1 0 0 1 2 0 0 0 1 1 1 1 1 1 1 0 0 1 0 3
"distant" 1 1 2 2 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 3 2 1 0 0 0 0 0 0 1 1 0 0 0 2 2 0 0 2 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0
"eager" 2 1 3 2 3 1 3 1 1 1 1 1 1 0 1 2 4 1 1 0 1 2 1 0 2 1 0 0 3 0 1 1 3 2 1 1 2 1 5 1 2 0 4 1 3 0 0 1 1 4 2 3 1 1 1 0 0 1 2
"earnest" 0 0 2 0 3 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 2 0 1 0 0 0 1 0 2 1 0 0 0 1 1 0 1 2 2 0 1 0 1 0 1 1 2 1 0 1 0 0 0 1 1
"elegant" 0 1 8 1 2 2 2 1 2 1 0 2 2 0 2 0 1 0 0 2 1 0 0 1 0 2 0 1 0 2 0 1 1 4 1 2 3 0 4 0 3 1 5 3 4 1 1 1 0 3 1 1 0 1 2 0 0 1 2
"excessive" 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 3 0 0 1 0 0 0 0 1 1 0 1 2 1 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 2 0 0 1 1 0 0 0 1 1
"foolish" 0 0 2 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 3 0 0 1 2 0 3 1 2 3 0 0 0 1 0 0 1 0 0 0 1 0 0
"friendly" 2 0 3 0 3 0 2 1 0 0 0 0 0 0 1 1 2 1 3 2 2 0 1 1 0 2 0 2 0 1 2 0 2 1 1 0 1 3 4 1 2 1 3 3 2 2 3 0 1 3 2 1 0 1 1 0 0 0 1
"gentle" 1 0 5 3 3 0 3 1 2 1 1 3 1 0 3 1 2 1 2 1 0 2 1 1 2 0 0 0 0 1 1 1 2 1 1 0 2 1 2 1 2 1 2 3 1 2 1 0 0 3 3 0 1 3 2 0 3 0 3
"hasty" 0 2 3 0 1 0 1 0 1 2 0 1 2 0 0 0 3 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 1 2 1 0 0 0 2 0 1 0 2 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 2
"honest" 0 0 2 0 2 0 1 1 1 1 0 1 1 0 1 0 2 0 0 0 0 1 1 0 2 0 0 0 0 1 1 1 0 2 0 1 0 0 2 0 1 1 2 1 0 0 2 0 0 2 0 1 0 0 0 0 0 1 0
"impatient" 3 1 1 0 4 0 0 0 0 3 4 0 0 1 1 0 1 0 0 3 0 0 2 1 0 0 0 0 0 0 0 1 4 0 0 0 2 1 3 0 2 0 2 2 1 3 1 0 0 1 0 1 0 2 0 1 0 1 0
"independent" 0 1 3 0 2 1 3 0 1 1 1 0 2 0 2 0 5 0 0 0 0 2 1 0 1 1 2 1 0 0 0 0 2 2 0 0 1 0 3 0 0 0 4 2 0 0 1 0 0 2 1 0 0 0 0 0 0 1 1
"indifferent" 1 0 3 1 2 2 0 0 2 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 2 1 0 1 0 0 0 1 1 1 0 0 0 2 1 0 2 1 2 4 0 2 1 0 2 2 2 1 0 0 0 0 0 0 0
"intimate" 1 0 3 1 1 1 1 0 4 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 1 0 0 2 0 0 1 0 1 0 5 1 0 1 1 3 0 0 1 1 1 1 0 2 0 0 1 0 0
"kind" 2 3 8 3 4 1 2 2 2 1 4 3 4 1 2 1 3 1 0 3 2 1 2 0 2 2 1 0 4 2 1 0 0 5 0 2 3 1 7 0 4 1 8 4 2 1 5 1 3 6 3 3 1 1 1 1 0 2 5
"lively" 1 1 6 3 3 1 2 2 2 2 1 1 4 1 2 1 2 3 1 2 1 4 0 0 1 1 2 2 0 2 1 2 5 0 1 1 0 2 7 1 3 2 7 4 2 1 1 1 1 5 3 2 1 2 0 1 0 3 7
"loud" 0 0 2 2 2 0 0 0 0 1 0 3 0 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 2 1 2 0 2 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1
"mild" 0 0 2 0 1 1 2 1 1 2 0 0 2 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 2 0 2 0 3 1 2 1 0 0 1 1 3 0 0 1 1 0 0 0 1
"modest" 2 3 4 1 2 2 4 1 2 1 1 2 0 2 2 0 0 0 0 2 0 3 0 3 1 2 0 0 2 1 0 1 3 0 0 0 0 0 2 0 1 0 4 5 4 2 1 0 0 4 1 2 0 1 2 1 0 0 2
"moral" 2 0 0 2 1 0 1 0 0 1 0 0 0 0 1 1 1 2 0 1 1 0 1 0 3 1 0 0 1 0 2 0 1 2 0 0 0 0 1 1 1 1 0 3 0 2 1 1 2 1 1 1 0 2 0 0 0 0 2
"natural" 3 3 12 3 6 3 5 1 7 4 3 2 5 1 4 1 6 3 2 5 1 4 1 0 4 2 2 2 3 3 1 1 7 7 2 2 2 1 0 0 4 1 10 8 3 5 3 1 1 5 5 4 2 2 2 1 1 1 5
"noisy" 0 0 1 2 0 1 0 0 0 1 0 1 0 0 1 1 1 1 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 2 0 0 1 1 1 1 1 1 1 0 2 0 0 0 0 1
"particular" 1 1 6 1 2 1 2 1 4 1 1 2 1 0 3 1 1 0 0 2 1 3 0 2 2 2 1 1 2 0 2 5 4 3 2 2 1 1 4 0 0 2 2 1 3 4 2 1 2 2 3 0 1 3 1 0 2 1 1
"playful" 0 0 2 1 1 0 1 2 1 0 0 0 2 0 0 0 2 0 0 0 2 1 0 0 1 1 0 1 0 0 1 1 1 2 0 0 0 1 1 0 2 0 1 0 1 1 2 0 1 0 1 0 0 2 0 0 0 2 0
"pleasant" 2 1 15 2 3 2 3 1 4 4 3 4 5 0 3 2 5 1 2 4 2 5 1 3 3 2 2 2 2 4 2 0 8 7 2 3 4 0 10 2 2 1 0 6 5 6 2 1 3 5 5 4 0 3 4 1 2 2 6
"proper" 4 4 5 2 7 2 5 0 4 2 3 4 2 2 2 0 6 2 0 1 0 3 1 1 3 3 1 1 2 2 4 1 4 4 0 1 5 3 8 0 1 0 6 0 4 4 1 2 1 5 2 0 2 4 0 1 0 0 3
"quick" 0 2 5 1 4 1 3 3 3 1 1 3 2 1 0 0 2 0 0 3 1 4 0 2 2 1 1 0 1 0 0 1 2 2 0 2 4 0 3 0 3 1 5 4 0 2 1 1 1 5 2 1 1 1 2 0 1 2 1
"quiet" 4 1 7 2 3 0 2 0 6 3 1 0 2 0 2 1 1 0 1 0 0 1 1 3 2 2 1 0 3 0 2 3 1 1 1 1 2 2 5 1 4 1 6 4 2 0 0 0 1 2 3 1 0 3 4 1 0 0 0
"reasonable" 0 1 3 2 0 0 3 0 2 2 0 1 2 0 1 0 3 0 1 0 1 1 1 0 3 1 0 2 1 1 1 0 5 1 1 0 1 1 3 1 2 2 2 1 1 0 0 1 2 2 1 1 0 0 0 1 0 1 1
"scrupulous" 0 2 3 1 1 0 0 0 2 0 0 0 0 0 0 2 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 1 2 1 0 1 0 1 0 0 1 1 1 0 0 0 0 2
"selfish" 1 0 2 2 1 0 1 0 2 0 0 2 2 0 0 1 2 1 0 1 1 0 0 0 1 0 0 0 0 0 2 1 3 1 0 1 0 2 1 1 2 1 3 1 1 1 2 1 0 1 0 1 0 1 2 0 0 1 1
"serious" 0 1 5 1 5 3 4 3 3 0 0 5 1 2 2 0 1 1 0 4 1 3 2 1 3 3 0 2 1 2 2 1 6 5 0 1 4 1 5 1 2 0 5 5 5 2 2 0 1 0 6 2 1 2 2 0 0 1 6
"silent" 0 3 3 1 3 3 1 0 2 1 0 0 2 0 1 2 2 1 1 2 2 1 0 0 2 3 1 0 0 1 2 1 3 3 0 3 1 1 5 1 3 1 5 2 2 3 1 0 0 6 0 2 0 3 1 0 0 0 3
"simple" 1 1 3 2 1 1 1 0 2 0 1 2 2 0 2 4 0 1 1 3 1 1 0 0 1 0 0 1 1 0 1 1 3 2 1 0 2 1 4 1 0 0 4 0 1 1 1 1 1 2 2 0 0 0 0 0 0 0 3
"solemn" 0 0 0 1 2 0 0 1 2 0 1 0 3 1 1 1 2 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 2 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0
"steady" 3 0 2 2 4 1 3 1 2 3 2 0 1 1 1 1 3 1 0 1 1 1 1 0 1 3 0 0 2 0 0 2 1 2 0 1 1 2 2 2 3 2 3 4 1 3 0 1 1 2 3 0 1 0 0 1 1 1 3
"tender" 1 0 3 0 1 0 2 1 3 1 0 1 2 0 0 0 0 0 0 1 0 2 0 0 1 2 0 0 0 0 0 0 1 0 1 1 2 0 2 0 1 0 4 0 2 4 0 0 2 2 1 0 0 0 0 1 0 0 1
"unkind" 1 1 0 1 3 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 1 2 2
"unreasonable" 1 1 2 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 3 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 2 0 1 0 0 0 0 0 0 0 1 1 0 1 0 2 2
"vain" 0 1 2 0 2 0 2 1 0 0 0 0 2 0 0 0 2 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 2 3 0 0 0 0 1 0 1 2 2 0 2 0 1 0 1 1 0 0 0 1 0 2 2 0 2
"warm" 0 4 6 2 4 0 5 0 0 1 2 1 2 1 1 2 1 3 0 2 1 2 1 0 1 3 2 0 0 1 0 0 5 7 1 1 2 2 5 1 1 0 6 3 1 0 1 2 1 6 3 3 0 3 1 2 2 2 0
