"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abrupt",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","active",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","agreeable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","amiable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","anxious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","awkward",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","bold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","brave",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","bright",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","brisk",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","calm",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","capable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","careful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","careless",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","certain",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","cheerful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","coarse",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","cold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","complicated",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","complimentary",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","confident",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","confused",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","considerate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","constant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","cool",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","cruel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","curious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","deep",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31","devilish",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32","direct",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","distant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","dull",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35","eager",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36","earnest",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","elegant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","exact",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","expressive",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40","faithful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41","fearful",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42","feminine",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43","fierce",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44","foolish",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45","formal",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","friendly",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","gallant",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","generous",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49","genteel",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","gentle",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","gloomy",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
