"certain" "cold" "constant" "determined" "domestic" "easy" "general" "handsome" "natural" "open" "particular" "second" "sensible" "serious" "severe" "silent" "strong" "sure" "true"
"certain" 0 3 1 2 3 3 4 4 6 4 5 2 3 3 2 2 3 6 2
"cold" 3 0 1 4 2 2 4 1 4 3 3 2 4 2 2 2 5 5 0
"constant" 1 1 0 0 3 3 5 1 1 0 3 4 3 1 2 1 4 5 0
"determined" 2 4 0 0 3 1 3 0 2 1 1 3 3 4 0 2 4 8 2
"domestic" 3 2 3 3 0 1 5 3 3 2 2 3 5 2 1 0 7 5 1
"easy" 3 2 3 1 1 0 4 1 4 5 3 1 4 0 0 2 4 4 2
"general" 4 4 5 3 5 4 0 5 9 6 7 7 6 3 2 6 4 14 3
"handsome" 4 1 1 0 3 1 5 0 3 3 3 3 6 1 2 1 4 8 2
"natural" 6 4 1 2 3 4 9 3 0 7 6 3 5 4 2 3 5 9 1
"open" 4 3 0 1 2 5 6 3 7 0 4 1 6 4 2 3 4 9 3
"particular" 5 3 3 1 2 3 7 3 6 4 0 4 5 0 4 5 4 8 1
"second" 2 2 4 3 3 1 7 3 3 1 4 0 6 2 2 4 4 8 4
"sensible" 3 4 3 3 5 4 6 6 5 6 5 6 0 5 4 1 7 8 4
"serious" 3 2 1 4 2 0 3 1 4 4 0 2 5 0 2 0 4 7 3
"severe" 2 2 2 0 1 0 2 2 2 2 4 2 4 2 0 5 3 6 2
"silent" 2 2 1 2 0 2 6 1 3 3 5 4 1 0 5 0 3 5 2
"strong" 3 5 4 4 7 4 4 4 5 4 4 4 7 4 3 3 0 8 4
"sure" 6 5 5 8 5 4 14 8 9 9 8 8 8 7 6 5 8 0 3
"true" 2 0 0 2 1 2 3 2 1 3 1 4 4 3 2 2 4 3 0
