"certain" "cold" "easy" "fresh" "general" "gentle" "handsome" "heavy" "honest" "kind" "loud" "natural" "open" "original" "particular" "pleasant" "proud" "quiet" "second" "serious" "silent" "strong" "sure" "true" "violent"
"certain" 0 6 8 4 8 3 3 7 3 8 5 12 13 6 9 8 5 12 11 11 5 14 34 9 8
"cold" 6 0 2 6 6 8 5 9 11 7 7 3 16 6 10 6 1 10 8 2 8 11 19 9 8
"easy" 8 2 0 6 7 6 5 3 5 3 2 6 6 2 8 6 5 5 3 6 3 7 9 3 2
"fresh" 4 6 6 0 9 5 4 5 3 5 7 6 7 5 4 10 3 8 2 2 5 6 13 3 6
"general" 8 6 7 9 0 6 3 10 5 6 10 12 5 7 14 12 6 5 9 5 7 17 21 14 6
"gentle" 3 8 6 5 6 0 2 1 5 2 4 5 8 4 5 9 5 4 6 1 4 5 10 4 5
"handsome" 3 5 5 4 3 2 0 4 2 3 4 6 5 3 4 3 3 3 3 2 6 8 18 4 4
"heavy" 7 9 3 5 10 1 4 0 4 3 9 5 9 4 7 6 2 5 6 2 3 11 9 7 6
"honest" 3 11 5 3 5 5 2 4 0 5 6 4 9 3 6 3 4 3 3 0 8 8 16 4 6
"kind" 8 7 3 5 6 2 3 3 5 0 6 6 8 1 9 9 4 7 2 2 2 6 15 5 4
"loud" 5 7 2 7 10 4 4 9 6 6 0 4 10 5 4 7 0 10 7 3 8 6 16 9 5
"natural" 12 3 6 6 12 5 6 5 4 6 4 0 8 2 5 8 3 11 2 5 6 10 24 9 3
"open" 13 16 6 7 5 8 5 9 9 8 10 8 0 10 11 13 9 15 8 7 9 15 17 7 13
"original" 6 6 2 5 7 4 3 4 3 1 5 2 10 0 7 6 3 3 7 3 5 8 8 4 5
"particular" 9 10 8 4 14 5 4 7 6 9 4 5 11 7 0 8 7 4 9 8 9 14 20 5 5
"pleasant" 8 6 6 10 12 9 3 6 3 9 7 8 13 6 8 0 8 12 9 3 4 10 20 9 7
"proud" 5 1 5 3 6 5 3 2 4 4 0 3 9 3 7 8 0 1 5 8 5 12 14 9 8
"quiet" 12 10 5 8 5 4 3 5 3 7 10 11 15 3 4 12 1 0 4 2 6 11 16 10 3
"second" 11 8 3 2 9 6 3 6 3 2 7 2 8 7 9 9 5 4 0 7 7 13 16 9 5
"serious" 11 2 6 2 5 1 2 2 0 2 3 5 7 3 8 3 8 2 7 0 0 9 17 6 5
"silent" 5 8 3 5 7 4 6 3 8 2 8 6 9 5 9 4 5 6 7 0 0 8 14 7 12
"strong" 14 11 7 6 17 5 8 11 8 6 6 10 15 8 14 10 12 11 13 9 8 0 26 15 8
"sure" 34 19 9 13 21 10 18 9 16 15 16 24 17 8 20 20 14 16 16 17 14 26 0 24 18
"true" 9 9 3 3 14 4 4 7 4 5 9 9 7 4 5 9 9 10 9 6 7 15 24 0 8
"violent" 8 8 2 6 6 5 4 6 6 4 5 3 13 5 5 7 8 3 5 5 12 8 18 8 0
