"close" "fresh" "honest" "open" "second" "simple" "soft" "sure" "sweet" "true" "wise"
"close" 0 0 1 1 0 2 0 0 0 1 1
"fresh" 0 0 0 0 1 0 3 0 1 3 2
"honest" 1 0 0 2 0 2 1 1 1 2 0
"open" 1 0 2 0 1 1 0 1 2 6 2
"second" 0 1 0 1 0 0 1 0 1 2 2
"simple" 2 0 2 1 0 0 1 0 1 3 1
"soft" 0 3 1 0 1 1 0 0 2 3 2
"sure" 0 0 1 1 0 0 0 0 0 0 1
"sweet" 0 1 1 2 1 1 2 0 0 4 1
"true" 1 3 2 6 2 3 3 0 4 0 4
"wise" 1 2 0 2 2 1 2 1 1 4 0
