"certain" "cheerful" "close" "cold" "delicate" "earnest" "easy" "free" "fresh" "general" "gentle" "gloomy" "heavy" "kind" "lonely" "loud" "open" "particular" "pleasant" "quick" "quiet" "rapid" "sad" "second" "silent" "soft" "solemn" "strong" "sudden" "sure" "sweet" "true" "violent" "weak"
"certain" 0 2 2 12 3 1 1 1 3 3 3 3 4 3 2 3 5 4 2 1 8 4 1 6 3 2 1 10 4 6 4 3 4 0
"cheerful" 2 0 1 3 0 3 1 0 2 0 2 1 4 1 0 0 5 0 2 1 1 0 1 1 4 4 2 4 2 8 2 2 1 1
"close" 2 1 0 7 1 2 2 2 3 2 2 3 5 0 4 5 6 3 2 2 4 0 0 5 5 2 4 5 2 4 4 1 3 2
"cold" 12 3 7 0 1 4 2 4 4 4 8 6 9 5 7 10 10 7 1 4 8 5 4 7 7 3 0 12 5 11 7 5 6 5
"delicate" 3 0 1 1 0 1 0 1 1 1 2 3 1 1 0 0 1 2 4 1 2 1 2 0 2 1 0 5 4 1 1 2 2 1
"earnest" 1 3 2 4 1 0 1 3 2 0 3 1 5 1 3 1 4 0 2 1 1 1 2 0 4 0 0 5 4 4 3 5 2 0
"easy" 1 1 2 2 0 1 0 4 1 3 3 0 2 2 0 2 4 4 1 0 0 0 0 2 1 3 1 2 1 2 1 1 0 2
"free" 1 0 2 4 1 3 4 0 3 2 2 0 0 1 2 3 3 3 1 0 3 2 1 1 3 2 2 3 4 4 0 2 2 1
"fresh" 3 2 3 4 1 2 1 3 0 1 2 3 4 1 2 2 5 2 2 1 2 3 0 4 3 3 1 5 1 6 2 4 2 2
"general" 3 0 2 4 1 0 3 2 1 0 3 1 2 1 1 1 3 6 1 1 1 1 1 2 2 1 2 3 1 0 0 4 1 1
"gentle" 3 2 2 8 2 3 3 2 2 3 0 1 4 8 3 1 2 3 6 3 5 1 4 2 4 8 4 6 3 6 9 3 3 5
"gloomy" 3 1 3 6 3 1 0 0 3 1 1 0 6 1 2 4 7 1 2 3 3 1 2 2 1 0 0 4 0 0 0 2 2 2
"heavy" 4 4 5 9 1 5 2 0 4 2 4 6 0 3 5 8 11 4 3 5 5 5 1 6 11 5 3 7 4 7 1 7 7 3
"kind" 3 1 0 5 1 1 2 1 1 1 8 1 3 0 1 1 0 0 1 1 6 1 3 1 3 3 1 4 0 3 5 2 2 3
"lonely" 2 0 4 7 0 3 0 2 2 1 3 2 5 1 0 2 4 1 1 2 2 3 1 3 2 1 2 3 2 0 1 2 3 1
"loud" 3 0 5 10 0 1 2 3 2 1 1 4 8 1 2 0 6 2 0 3 3 2 1 3 5 0 1 5 3 5 1 2 6 2
"open" 5 5 6 10 1 4 4 3 5 3 2 7 11 0 4 6 0 4 3 5 3 7 0 4 8 4 1 9 7 8 1 6 3 4
"particular" 4 0 3 7 2 0 4 3 2 6 3 1 4 0 1 2 4 0 1 2 3 1 1 5 3 2 0 8 5 4 1 5 0 2
"pleasant" 2 2 2 1 4 2 1 1 2 1 6 2 3 1 1 0 3 1 0 2 4 0 2 1 2 3 2 4 3 3 2 3 1 1
"quick" 1 1 2 4 1 1 0 0 1 1 3 3 5 1 2 3 5 2 2 0 1 4 1 3 6 2 1 4 2 4 1 2 2 0
"quiet" 8 1 4 8 2 1 0 3 2 1 5 3 5 6 2 3 3 3 4 1 0 1 4 3 4 3 4 10 2 7 3 7 3 4
"rapid" 4 0 0 5 1 1 0 2 3 1 1 1 5 1 3 2 7 1 0 4 1 0 1 2 4 1 0 1 6 0 1 1 2 1
"sad" 1 1 0 4 2 2 0 1 0 1 4 2 1 3 1 1 0 1 2 1 4 1 0 1 0 2 1 4 1 3 2 2 2 1
"second" 6 1 5 7 0 0 2 1 4 2 2 2 6 1 3 3 4 5 1 3 3 2 1 0 3 2 1 3 3 3 1 1 4 3
"silent" 3 4 5 7 2 4 1 3 3 2 4 1 11 3 2 5 8 3 2 6 4 4 0 3 0 4 2 9 7 4 2 6 3 0
"soft" 2 4 2 3 1 0 3 2 3 1 8 0 5 3 1 0 4 2 3 2 3 1 2 2 4 0 6 3 2 6 6 1 0 3
"solemn" 1 2 4 0 0 0 1 2 1 2 4 0 3 1 2 1 1 0 2 1 4 0 1 1 2 6 0 3 1 5 4 2 2 3
"strong" 10 4 5 12 5 5 2 3 5 3 6 4 7 4 3 5 9 8 4 4 10 1 4 3 9 3 3 0 6 12 5 8 7 3
"sudden" 4 2 2 5 4 4 1 4 1 1 3 0 4 0 2 3 7 5 3 2 2 6 1 3 7 2 1 6 0 3 1 3 4 0
"sure" 6 8 4 11 1 4 2 4 6 0 6 0 7 3 0 5 8 4 3 4 7 0 3 3 4 6 5 12 3 0 7 6 7 2
"sweet" 4 2 4 7 1 3 1 0 2 0 9 0 1 5 1 1 1 1 2 1 3 1 2 1 2 6 4 5 1 7 0 2 3 2
"true" 3 2 1 5 2 5 1 2 4 4 3 2 7 2 2 2 6 5 3 2 7 1 2 1 6 1 2 8 3 6 2 0 2 1
"violent" 4 1 3 6 2 2 0 2 2 1 3 2 7 2 3 6 3 0 1 2 3 2 2 4 3 0 2 7 4 7 3 2 0 4
"weak" 0 1 2 5 1 0 2 1 2 1 5 2 3 3 1 2 4 2 1 0 4 1 1 3 0 3 3 3 0 2 2 1 4 0
