"certain" "general" "gentle" "heavy" "kind" "natural" "open" "particular" "pleasant" "quiet" "second" "silent" "strong" "sure" "sweet" "true" "unhappy"
"certain" 0 21 7 8 11 11 14 8 5 14 7 6 11 31 8 11 4
"general" 21 0 5 5 8 8 9 9 10 14 8 6 16 26 11 5 5
"gentle" 7 5 0 3 6 7 3 4 5 11 3 6 3 10 7 6 6
"heavy" 8 5 3 0 4 7 10 4 5 7 5 5 6 13 2 4 4
"kind" 11 8 6 4 0 7 7 5 6 8 6 10 10 27 4 8 7
"natural" 11 8 7 7 7 0 7 11 7 11 14 8 11 31 7 4 8
"open" 14 9 3 10 7 7 0 4 5 7 3 8 6 27 9 4 7
"particular" 8 9 4 4 5 11 4 0 7 11 10 2 10 20 3 6 3
"pleasant" 5 10 5 5 6 7 5 7 0 12 5 8 5 21 9 8 2
"quiet" 14 14 11 7 8 11 7 11 12 0 8 11 14 32 11 12 15
"second" 7 8 3 5 6 14 3 10 5 8 0 3 7 20 4 7 7
"silent" 6 6 6 5 10 8 8 2 8 11 3 0 11 23 5 8 7
"strong" 11 16 3 6 10 11 6 10 5 14 7 11 0 28 4 6 9
"sure" 31 26 10 13 27 31 27 20 21 32 20 23 28 0 20 17 20
"sweet" 8 11 7 2 4 7 9 3 9 11 4 5 4 20 0 4 3
"true" 11 5 6 4 8 4 4 6 8 12 7 8 6 17 4 0 6
"unhappy" 4 5 6 4 7 8 7 3 2 15 7 7 9 20 3 6 0
