"affectionate" "certain" "cheerful" "cold" "curious" "delicate" "earnest" "easy" "expressive" "free" "fresh" "friendly" "general" "generous" "handsome" "heavy" "natural" "open" "proud" "quick" "quiet" "second" "sensible" "silent" "slow" "solemn" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "true"
"affectionate" 0 2 0 1 2 0 3 2 2 1 1 2 2 2 2 1 2 3 0 0 2 2 0 2 2 0 1 2 0 1 6 0 2
"certain" 2 0 1 1 2 1 3 4 0 1 3 3 5 1 1 5 3 8 1 1 2 3 1 6 2 1 1 6 2 3 5 5 7
"cheerful" 0 1 0 1 0 0 1 1 0 0 3 1 0 0 0 2 1 0 2 0 2 0 1 1 0 2 2 3 3 1 2 0 2
"cold" 1 1 1 0 1 3 1 1 0 1 1 3 2 1 2 3 1 7 3 0 2 2 2 2 3 1 1 3 1 0 3 1 4
"curious" 2 2 0 1 0 0 2 1 2 1 1 0 2 1 1 3 1 5 1 1 4 1 0 1 2 1 1 1 1 1 3 1 5
"delicate" 0 1 0 3 0 0 0 2 0 0 0 1 2 2 0 0 0 1 1 1 1 0 3 0 0 1 2 3 1 0 3 1 1
"earnest" 3 3 1 1 2 0 0 2 1 1 3 0 2 1 3 2 3 2 0 0 3 2 0 0 1 1 1 2 1 0 3 1 2
"easy" 2 4 1 1 1 2 2 0 1 1 1 1 4 5 1 4 3 6 2 3 4 0 2 1 2 1 2 3 0 1 7 2 4
"expressive" 2 0 0 0 2 0 1 1 0 0 0 0 2 0 1 0 2 3 2 0 1 2 1 1 1 2 0 0 0 0 4 1 2
"free" 1 1 0 1 1 0 1 1 0 0 1 3 3 0 1 1 1 3 1 1 1 1 0 2 1 0 0 1 2 0 2 0 2
"fresh" 1 3 3 1 1 0 3 1 0 1 0 1 1 1 2 3 1 2 2 1 3 2 0 0 0 1 3 2 1 1 2 1 3
"friendly" 2 3 1 3 0 1 0 1 0 3 1 0 1 0 3 4 2 3 1 2 0 1 0 2 1 1 0 3 1 0 3 0 4
"general" 2 5 0 2 2 2 2 4 2 3 1 1 0 0 2 0 3 4 2 1 1 2 2 4 2 1 1 2 0 1 3 2 1
"generous" 2 1 0 1 1 2 1 5 0 0 1 0 0 0 0 1 2 1 1 1 4 0 2 0 1 1 2 2 0 0 5 1 2
"handsome" 2 1 0 2 1 0 3 1 1 1 2 3 2 0 0 2 1 2 1 2 1 2 0 0 1 0 0 2 0 0 3 0 3
"heavy" 1 5 2 3 3 0 2 4 0 1 3 4 0 1 2 0 3 5 1 1 3 1 0 1 3 1 0 3 3 0 4 0 7
"natural" 2 3 1 1 1 0 3 3 2 1 1 2 3 2 1 3 0 2 5 0 5 1 0 3 0 1 2 0 2 1 7 1 3
"open" 3 8 0 7 5 1 2 6 3 3 2 3 4 1 2 5 2 0 5 1 5 6 1 5 3 1 3 6 3 3 9 3 5
"proud" 0 1 2 3 1 1 0 2 2 1 2 1 2 1 1 1 5 5 0 0 4 0 1 3 0 1 3 1 1 2 5 1 2
"quick" 0 1 0 0 1 1 0 3 0 1 1 2 1 1 2 1 0 1 0 0 4 1 0 0 0 1 0 1 1 0 3 0 2
"quiet" 2 2 2 2 4 1 3 4 1 1 3 0 1 4 1 3 5 5 4 4 0 0 1 1 0 1 2 6 2 1 8 0 4
"second" 2 3 0 2 1 0 2 0 2 1 2 1 2 0 2 1 1 6 0 1 0 0 0 1 1 2 0 3 0 1 4 2 0
"sensible" 0 1 1 2 0 3 0 2 1 0 0 0 2 2 0 0 0 1 1 0 1 0 0 0 1 2 2 2 1 0 2 1 2
"silent" 2 6 1 2 1 0 0 1 1 2 0 2 4 0 0 1 3 5 3 0 1 1 0 0 1 1 1 0 0 2 3 0 5
"slow" 2 2 0 3 2 0 1 2 1 1 0 1 2 1 1 3 0 3 0 0 0 1 1 1 0 1 0 0 0 1 2 1 0
"solemn" 0 1 2 1 1 1 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 2 2 1 1 0 0 2 1 0 3 2 1
"steady" 1 1 2 1 1 2 1 2 0 0 3 0 1 2 0 0 2 3 3 0 2 0 2 1 0 0 0 4 3 1 3 0 2
"strong" 2 6 3 3 1 3 2 3 0 1 2 3 2 2 2 3 0 6 1 1 6 3 2 0 0 2 4 0 6 0 4 2 8
"sudden" 0 2 3 1 1 1 1 0 0 2 1 1 0 0 0 3 2 3 1 1 2 0 1 0 0 1 3 6 0 2 4 0 5
"sufficient" 1 3 1 0 1 0 0 1 0 0 1 0 1 0 0 0 1 3 2 0 1 1 0 2 1 0 1 0 2 0 4 1 0
"sure" 6 5 2 3 3 3 3 7 4 2 2 3 3 5 3 4 7 9 5 3 8 4 2 3 2 3 3 4 4 4 0 2 7
"sweet" 0 5 0 1 1 1 1 2 1 0 1 0 2 1 0 0 1 3 1 0 0 2 1 0 1 2 0 2 0 1 2 0 3
"true" 2 7 2 4 5 1 2 4 2 2 3 4 1 2 3 7 3 5 2 2 4 0 2 5 0 1 2 8 5 0 7 3 0
