"calm" "certain" "close" "constant" "easy" "faithful" "fresh" "general" "grave" "handsome" "heavy" "honest" "open" "particular" "pleasant" "quiet" "religious" "sad" "second" "serious" "smooth" "strong" "sudden" "sufficient" "sure" "thankful" "true" "violent" "willing" "wise"
"calm" 0 1 2 0 2 1 7 1 2 0 1 0 5 1 2 3 1 2 5 2 3 7 4 1 3 1 3 2 1 2
"certain" 1 0 2 3 1 2 1 1 0 1 2 2 1 5 1 1 2 2 5 3 0 1 1 2 9 3 6 1 2 3
"close" 2 2 0 1 6 0 4 1 1 1 1 2 1 2 3 0 0 1 3 1 2 5 1 0 4 2 3 1 1 2
"constant" 0 3 1 0 2 0 2 3 0 1 0 0 0 2 1 0 1 1 3 2 1 4 1 3 4 0 2 1 0 1
"easy" 2 1 6 2 0 3 3 2 4 4 3 3 2 6 4 1 2 2 4 5 1 8 3 2 9 6 12 2 6 2
"faithful" 1 2 0 0 3 0 1 2 0 1 0 3 0 1 1 3 1 0 2 0 0 2 0 1 3 1 3 0 3 0
"fresh" 7 1 4 2 3 1 0 0 1 1 2 2 4 2 5 3 0 1 4 1 4 12 2 0 5 1 4 2 3 1
"general" 1 1 1 3 2 2 0 0 0 2 0 2 1 2 0 2 1 2 4 0 3 2 0 3 2 3 1 1 2 0
"grave" 2 0 1 0 4 0 1 0 0 1 0 1 1 2 1 0 2 2 1 2 1 2 0 1 1 0 3 0 2 2
"handsome" 0 1 1 1 4 1 1 2 1 0 2 2 1 4 1 2 0 1 2 2 1 4 0 1 4 4 3 1 3 0
"heavy" 1 2 1 0 3 0 2 0 0 2 0 0 2 1 1 0 0 0 2 0 1 3 5 1 3 4 1 2 0 0
"honest" 0 2 2 0 3 3 2 2 1 2 0 0 1 2 0 3 2 0 1 1 1 2 1 1 5 2 3 1 4 0
"open" 5 1 1 0 2 0 4 1 1 1 2 1 0 3 1 2 2 0 5 2 2 5 4 2 3 2 2 3 1 0
"particular" 1 5 2 2 6 1 2 2 2 4 1 2 3 0 2 1 3 4 4 1 2 2 3 5 7 6 5 1 1 2
"pleasant" 2 1 3 1 4 1 5 0 1 1 1 0 1 2 0 0 0 1 2 1 2 6 1 0 3 1 3 0 1 1
"quiet" 3 1 0 0 1 3 3 2 0 2 0 3 2 1 0 0 2 0 3 1 2 3 1 1 3 1 2 2 2 0
"religious" 1 2 0 1 2 1 0 1 2 0 0 2 2 3 0 2 0 2 1 2 0 0 2 2 2 1 2 1 2 1
"sad" 2 2 1 1 2 0 1 2 2 1 0 0 0 4 1 0 2 0 1 1 3 3 0 0 0 1 2 1 1 2
"second" 5 5 3 3 4 2 4 4 1 2 2 1 5 4 2 3 1 1 0 3 1 8 4 2 6 3 1 4 3 2
"serious" 2 3 1 2 5 0 1 0 2 2 0 1 2 1 1 1 2 1 3 0 1 1 1 1 4 2 2 1 1 3
"smooth" 3 0 2 1 1 0 4 3 1 1 1 1 2 2 2 2 0 3 1 1 0 6 0 0 1 2 2 0 1 1
"strong" 7 1 5 4 8 2 12 2 2 4 3 2 5 2 6 3 0 3 8 1 6 0 1 3 5 3 8 3 5 1
"sudden" 4 1 1 1 3 0 2 0 0 0 5 1 4 3 1 1 2 0 4 1 0 1 0 1 4 4 2 2 0 1
"sufficient" 1 2 0 3 2 1 0 3 1 1 1 1 2 5 0 1 2 0 2 1 0 3 1 0 5 3 3 1 1 1
"sure" 3 9 4 4 9 3 5 2 1 4 3 5 3 7 3 3 2 0 6 4 1 5 4 5 0 9 7 0 5 0
"thankful" 1 3 2 0 6 1 1 3 0 4 4 2 2 6 1 1 1 1 3 2 2 3 4 3 9 0 6 2 2 1
"true" 3 6 3 2 12 3 4 1 3 3 1 3 2 5 3 2 2 2 1 2 2 8 2 3 7 6 0 1 4 1
"violent" 2 1 1 1 2 0 2 1 0 1 2 1 3 1 0 2 1 1 4 1 0 3 2 1 0 2 1 0 0 0
"willing" 1 2 1 0 6 3 3 2 2 3 0 4 1 1 1 2 2 1 3 1 1 5 0 1 5 2 4 0 0 0
"wise" 2 3 2 1 2 0 1 0 2 0 0 0 0 2 1 0 1 2 2 3 1 1 1 1 0 1 1 0 0 0
