"busy" "certain" "close" "cold" "earnest" "easy" "free" "general" "gentle" "handsome" "heavy" "kind" "melancholy" "natural" "open" "particular" "pleasant" "proud" "quick" "quiet" "second" "silent" "soft" "solemn" "stately" "strong" "sudden" "sure" "sweet" "true" "weak"
"busy" 0 5 3 8 1 7 4 9 6 2 5 3 2 5 6 3 4 10 1 10 6 4 4 2 0 5 2 11 5 9 4
"certain" 5 0 10 13 6 8 8 13 8 8 7 6 5 9 12 10 9 13 6 8 12 14 6 4 8 14 11 22 7 12 8
"close" 3 10 0 12 0 5 4 7 5 5 5 7 4 7 9 3 1 9 6 4 4 7 1 1 2 5 3 15 4 9 2
"cold" 8 13 12 0 3 7 14 12 12 11 13 6 10 10 16 7 3 16 9 13 13 11 8 10 11 13 6 19 11 11 9
"earnest" 1 6 0 3 0 3 6 4 5 5 5 8 2 7 4 3 2 11 4 6 1 6 4 1 5 6 4 10 3 3 4
"easy" 7 8 5 7 3 0 3 8 5 5 7 5 2 5 8 3 7 3 0 11 5 4 3 4 1 9 3 13 8 5 5
"free" 4 8 4 14 6 3 0 8 6 3 5 4 3 6 14 2 3 7 5 10 7 7 4 7 4 10 1 13 8 5 8
"general" 9 13 7 12 4 8 8 0 8 11 12 3 10 9 17 17 8 19 4 14 10 11 9 8 9 16 7 28 13 10 12
"gentle" 6 8 5 12 5 5 6 8 0 4 7 7 2 8 11 3 4 11 4 12 7 8 9 6 1 8 3 14 11 9 5
"handsome" 2 8 5 11 5 5 3 11 4 0 5 3 1 3 9 2 2 18 2 7 7 8 5 3 9 8 5 10 4 8 2
"heavy" 5 7 5 13 5 7 5 12 7 5 0 7 5 7 7 5 7 9 1 6 4 6 4 5 2 13 1 12 13 10 5
"kind" 3 6 7 6 8 5 4 3 7 3 7 0 2 11 10 7 2 9 4 6 6 10 1 3 3 9 2 20 12 12 8
"melancholy" 2 5 4 10 2 2 3 10 2 1 5 2 0 7 6 3 4 2 3 5 3 6 5 3 3 6 6 13 5 8 2
"natural" 5 9 7 10 7 5 6 9 8 3 7 11 7 0 10 13 6 11 5 7 8 8 5 6 5 8 5 23 8 14 3
"open" 6 12 9 16 4 8 14 17 11 9 7 10 6 10 0 8 7 12 4 13 9 7 4 8 8 15 7 18 12 8 11
"particular" 3 10 3 7 3 3 2 17 3 2 5 7 3 13 8 0 5 7 2 5 9 10 2 4 4 4 3 20 8 9 8
"pleasant" 4 9 1 3 2 7 3 8 4 2 7 2 4 6 7 5 0 7 4 6 6 4 3 2 3 5 2 8 8 7 4
"proud" 10 13 9 16 11 3 7 19 11 18 9 9 2 11 12 7 7 0 12 18 12 14 9 2 13 11 7 25 11 25 7
"quick" 1 6 6 9 4 0 5 4 4 2 1 4 3 5 4 2 4 12 0 6 4 8 5 3 2 5 5 14 2 4 3
"quiet" 10 8 4 13 6 11 10 14 12 7 6 6 5 7 13 5 6 18 6 0 7 11 6 7 7 9 8 21 16 14 7
"second" 6 12 4 13 1 5 7 10 7 7 4 6 3 8 9 9 6 12 4 7 0 8 6 9 2 10 7 20 6 12 3
"silent" 4 14 7 11 6 4 7 11 8 8 6 10 6 8 7 10 4 14 8 11 8 0 7 5 6 10 2 23 8 13 6
"soft" 4 6 1 8 4 3 4 9 9 5 4 1 5 5 4 2 3 9 5 6 6 7 0 4 4 5 3 11 8 6 3
"solemn" 2 4 1 10 1 4 7 8 6 3 5 3 3 6 8 4 2 2 3 7 9 5 4 0 4 7 2 13 6 6 7
"stately" 0 8 2 11 5 1 4 9 1 9 2 3 3 5 8 4 3 13 2 7 2 6 4 4 0 9 6 8 3 5 3
"strong" 5 14 5 13 6 9 10 16 8 8 13 9 6 8 15 4 5 11 5 9 10 10 5 7 9 0 6 20 10 12 12
"sudden" 2 11 3 6 4 3 1 7 3 5 1 2 6 5 7 3 2 7 5 8 7 2 3 2 6 6 0 10 3 5 7
"sure" 11 22 15 19 10 13 13 28 14 10 12 20 13 23 18 20 8 25 14 21 20 23 11 13 8 20 10 0 19 28 12
"sweet" 5 7 4 11 3 8 8 13 11 4 13 12 5 8 12 8 8 11 2 16 6 8 8 6 3 10 3 19 0 12 8
"true" 9 12 9 11 3 5 5 10 9 8 10 12 8 14 8 9 7 25 4 14 12 13 6 6 5 12 5 28 12 0 9
"weak" 4 8 2 9 4 5 8 12 5 2 5 8 2 3 11 8 4 7 3 7 3 6 3 7 3 12 7 12 8 9 0
