"affectionate" "benevolent" "bitter" "busy" "calm" "cheerful" "cold" "constant" "expressive" "familiar" "fearful" "free" "fresh" "general" "gentle" "gloomy" "intense" "kind" "lively" "loud" "majestic" "melancholy" "natural" "nervous" "open" "peaceful" "placid" "pleasant" "quick" "sad" "second" "serene" "silent" "simple" "slow" "soft" "solemn" "sorrowful" "sudden" "sufficient" "sweet" "true" "unhappy" "vain" "violent"
"affectionate" 0 1 0 0 1 1 0 1 0 0 1 1 1 0 2 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 2 0 2 0 1 0 0 1 1 2 0 0
"benevolent" 1 0 1 0 2 3 5 2 3 1 0 1 0 1 3 1 1 1 1 1 0 0 2 1 1 1 1 1 3 2 0 2 1 1 1 1 0 0 0 3 4 3 2 1 1
"bitter" 0 1 0 2 1 0 5 0 1 0 0 3 1 0 4 1 0 2 0 1 2 1 2 0 1 1 1 0 0 2 1 0 3 1 1 0 1 2 1 4 1 7 1 1 0
"busy" 0 0 2 0 2 0 1 0 0 0 1 2 1 1 1 1 1 0 0 0 2 1 2 1 3 2 1 0 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 2 1
"calm" 1 2 1 2 0 0 5 3 2 2 2 3 1 2 1 2 1 1 1 2 1 2 2 2 2 2 1 2 2 2 2 2 3 3 1 2 1 1 2 3 2 0 4 4 3
"cheerful" 1 3 0 0 0 0 2 1 0 2 2 1 3 0 5 0 0 2 0 1 0 2 1 0 1 0 3 2 1 2 0 1 3 1 1 1 2 2 0 2 2 1 2 0 0
"cold" 0 5 5 1 5 2 0 1 2 0 1 3 3 1 8 0 0 2 3 2 0 0 2 4 4 1 1 5 3 2 1 1 4 0 2 0 3 0 0 4 5 3 2 5 2
"constant" 1 2 0 0 3 1 1 0 1 0 0 2 1 0 1 0 0 2 1 1 0 0 0 1 2 0 1 1 2 0 0 1 1 1 0 2 0 0 0 3 1 1 2 0 0
"expressive" 0 3 1 0 2 0 2 1 0 0 0 0 2 1 2 1 0 1 1 0 0 0 2 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 2 1 1 0 2
"familiar" 0 1 0 0 2 2 0 0 0 0 1 2 1 1 1 1 0 0 0 1 0 2 2 0 0 0 1 1 1 1 0 1 1 0 0 0 1 0 2 2 1 1 2 1 1
"fearful" 1 0 0 1 2 2 1 0 0 1 0 0 2 1 2 0 2 0 0 1 0 2 0 0 1 1 0 1 0 0 0 0 3 1 1 1 2 1 0 0 2 0 1 2 1
"free" 1 1 3 2 3 1 3 2 0 2 0 0 1 0 3 1 1 2 1 3 1 1 1 3 2 2 1 0 2 1 0 2 4 3 2 1 2 1 1 5 1 3 1 1 0
"fresh" 1 0 1 1 1 3 3 1 2 1 2 1 0 1 5 1 2 3 1 1 0 1 0 1 1 0 1 1 2 1 0 0 4 0 1 2 3 1 1 2 0 1 2 1 1
"general" 0 1 0 1 2 0 1 0 1 1 1 0 1 0 2 1 2 1 1 0 1 1 3 1 0 1 0 0 2 0 1 0 0 0 1 1 0 0 1 1 2 1 0 0 2
"gentle" 2 3 4 1 1 5 8 1 2 1 2 3 5 2 0 2 2 1 3 1 1 3 1 2 1 1 1 4 4 2 2 1 3 2 1 1 1 2 3 5 6 4 6 1 2
"gloomy" 1 1 1 1 2 0 0 0 1 1 0 1 1 1 2 0 1 1 0 0 3 0 1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 1 3 2 1 1 2 0 2
"intense" 1 1 0 1 1 0 0 0 0 0 2 1 2 2 2 1 0 1 0 1 1 0 2 0 0 1 0 0 2 2 2 1 1 0 1 2 1 0 2 0 1 1 0 1 2
"kind" 0 1 2 0 1 2 2 2 1 0 0 2 3 1 1 1 1 0 0 1 0 0 0 1 2 0 1 0 2 2 0 1 1 0 1 0 0 0 1 3 1 3 1 0 1
"lively" 1 1 0 0 1 0 3 1 1 0 0 1 1 1 3 0 0 0 0 0 0 1 1 2 0 0 0 1 1 0 0 1 0 1 1 2 1 1 0 0 2 1 2 1 1
"loud" 0 1 1 0 2 1 2 1 0 1 1 3 1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 2 0 0 1 2 0 1 1 2 1 0 4 0 0 1 0 0
"majestic" 0 0 2 2 1 0 0 0 0 0 0 1 0 1 1 3 1 0 0 1 0 1 2 0 0 2 1 0 0 0 1 0 2 0 1 1 1 3 1 3 1 1 1 0 1
"melancholy" 0 0 1 1 2 2 0 0 0 2 2 1 1 1 3 0 0 0 1 1 1 0 0 0 2 0 2 2 0 0 1 2 2 1 2 1 1 3 1 2 2 1 0 2 1
"natural" 0 2 2 2 2 1 2 0 2 2 0 1 0 3 1 1 2 0 1 0 2 0 0 1 0 2 1 0 1 1 1 1 0 1 1 1 0 1 2 3 2 2 0 0 3
"nervous" 0 1 0 1 2 0 4 1 1 0 0 3 1 1 2 0 0 1 2 1 0 0 1 0 2 1 0 0 2 0 0 1 1 1 2 0 0 0 0 1 1 1 0 1 1
"open" 0 1 1 3 2 1 4 2 0 0 1 2 1 0 1 0 0 2 0 1 0 2 0 2 0 0 1 2 2 0 1 1 1 0 1 0 0 0 0 4 0 2 0 2 0
"peaceful" 0 1 1 2 2 0 1 0 0 0 1 2 0 1 1 1 1 0 0 0 2 0 2 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 0 2 3 2 0 0 2
"placid" 0 1 1 1 1 3 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 2 1 0 1 1 0 1 0 0 0 1 2 0 0 0 1 1 1 2 0 1 0 1 1
"pleasant" 1 1 0 0 2 2 5 1 0 1 1 0 1 0 4 1 0 0 1 0 0 2 0 0 2 1 1 0 1 2 1 1 2 0 0 3 0 2 1 3 2 0 0 2 1
"quick" 0 3 0 0 2 1 3 2 2 1 0 2 2 2 4 0 2 2 1 2 0 0 1 2 2 0 0 1 0 1 0 2 2 0 1 0 0 0 1 2 1 1 2 0 1
"sad" 1 2 2 0 2 2 2 0 0 1 0 1 1 0 2 1 2 2 0 0 0 0 1 0 0 0 0 2 1 0 0 1 1 1 0 1 1 2 2 0 2 1 2 1 2
"second" 1 0 1 1 2 0 1 0 0 0 0 0 0 1 2 1 2 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 1 2 0 1 1
"serene" 0 2 0 0 2 1 1 1 0 1 0 2 0 0 1 0 1 1 1 1 0 2 1 1 1 1 1 1 2 1 0 0 1 0 0 1 0 1 1 1 2 1 1 2 1
"silent" 1 1 3 1 3 3 4 1 1 1 3 4 4 0 3 1 1 1 0 2 2 2 0 1 1 1 2 2 2 1 0 1 0 0 1 0 4 2 1 3 1 3 3 1 1
"simple" 2 1 1 1 3 1 0 1 0 0 1 3 0 0 2 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 1 0 2 1 1 2 2 3 0 1
"slow" 0 1 1 1 1 1 2 0 1 0 1 2 1 1 1 0 1 1 1 1 1 2 1 2 1 1 0 0 1 0 0 0 1 1 0 0 2 1 0 1 1 2 0 1 1
"soft" 2 1 0 1 2 1 0 2 0 0 1 1 2 1 1 1 2 0 2 1 1 1 1 0 0 1 0 3 0 1 1 1 0 1 0 0 0 2 0 1 2 0 1 1 1
"solemn" 0 0 1 0 1 2 3 0 0 1 2 2 3 0 1 0 1 0 1 2 1 1 0 0 0 0 1 0 0 1 0 0 4 0 2 0 0 1 0 2 0 0 1 2 0
