"affectionate" "certain" "eager" "easy" "fearful" "fresh" "general" "handsome" "kind" "natural" "open" "particular" "quick" "second" "strong" "sudden" "sure" "sweet" "true"
"affectionate" 0 2 3 3 1 0 2 2 2 2 2 0 1 2 2 2 4 1 2
"certain" 2 0 3 1 0 0 2 1 1 1 4 1 2 2 0 1 6 1 1
"eager" 3 3 0 3 1 2 1 3 1 3 2 1 2 3 2 3 5 4 1
"easy" 3 1 3 0 3 2 3 3 2 3 1 3 1 1 2 1 6 1 2
"fearful" 1 0 1 3 0 0 5 3 2 1 4 2 1 4 1 2 1 2 1
"fresh" 0 0 2 2 0 0 3 1 0 2 4 1 3 2 1 2 4 2 0
"general" 2 2 1 3 5 3 0 5 4 5 7 7 3 3 2 6 10 3 3
"handsome" 2 1 3 3 3 1 5 0 2 1 2 4 1 6 3 4 11 1 3
"kind" 2 1 1 2 2 0 4 2 0 2 2 2 1 2 2 1 8 2 1
"natural" 2 1 3 3 1 2 5 1 2 0 0 3 1 3 1 4 4 0 1
"open" 2 4 2 1 4 4 7 2 2 0 0 3 4 5 1 3 4 2 2
"particular" 0 1 1 3 2 1 7 4 2 3 3 0 1 1 2 4 9 2 2
"quick" 1 2 2 1 1 3 3 1 1 1 4 1 0 3 1 4 4 2 0
"second" 2 2 3 1 4 2 3 6 2 3 5 1 3 0 1 3 7 3 2
"strong" 2 0 2 2 1 1 2 3 2 1 1 2 1 1 0 2 7 2 4
"sudden" 2 1 3 1 2 2 6 4 1 4 3 4 4 3 2 0 7 1 5
"sure" 4 6 5 6 1 4 10 11 8 4 4 9 4 7 7 7 0 5 9
"sweet" 1 1 4 1 2 2 3 1 2 0 2 2 2 3 2 1 5 0 1
"true" 2 1 1 2 1 0 3 3 1 1 2 2 0 2 4 5 9 1 0
