"certain" "cold" "easy" "general" "heavy" "honest" "kind" "natural" "open" "particular" "quiet" "second" "silent" "strong" "sure" "true" "weak"
"certain" 0 7 10 18 14 10 10 13 21 14 14 10 9 19 40 24 8
"cold" 7 0 2 7 8 5 5 6 8 5 5 6 4 10 11 6 5
"easy" 10 2 0 4 4 3 1 10 10 6 5 2 4 6 16 8 4
"general" 18 7 4 0 6 4 2 3 8 6 6 6 1 7 16 9 2
"heavy" 14 8 4 6 0 2 3 5 5 3 3 4 3 4 14 7 3
"honest" 10 5 3 4 2 0 3 2 7 2 4 8 6 8 5 8 1
"kind" 10 5 1 2 3 3 0 5 5 3 5 2 3 4 12 5 4
"natural" 13 6 10 3 5 2 5 0 3 5 9 8 3 6 17 8 2
"open" 21 8 10 8 5 7 5 3 0 7 6 11 7 12 29 15 7
"particular" 14 5 6 6 3 2 3 5 7 0 7 3 3 5 12 7 1
"quiet" 14 5 5 6 3 4 5 9 6 7 0 4 5 8 17 8 4
"second" 10 6 2 6 4 8 2 8 11 3 4 0 3 6 12 6 2
"silent" 9 4 4 1 3 6 3 3 7 3 5 3 0 2 13 7 5
"strong" 19 10 6 7 4 8 4 6 12 5 8 6 2 0 24 18 10
"sure" 40 11 16 16 14 5 12 17 29 12 17 12 13 24 0 34 13
"true" 24 6 8 9 7 8 5 8 15 7 8 6 7 18 34 0 10
"weak" 8 5 4 2 3 1 4 2 7 1 4 2 5 10 13 10 0
