"certain" "cheerful" "cold" "curious" "free" "general" "heavy" "honest" "natural" "particular" "practical" "proud" "quick" "quiet" "slow" "strong" "sure" "true"
"certain" 0 3 4 0 1 6 3 2 1 2 0 0 3 6 3 3 4 5
"cheerful" 3 0 4 3 0 0 2 1 4 1 1 1 1 4 2 1 4 4
"cold" 4 4 0 2 2 1 4 0 4 3 2 3 1 3 1 2 6 4
"curious" 0 3 2 0 2 2 2 1 2 3 1 2 0 2 2 2 6 1
"free" 1 0 2 2 0 3 1 3 3 0 1 3 0 3 1 2 4 3
"general" 6 0 1 2 3 0 4 2 4 5 2 0 3 5 5 9 9 6
"heavy" 3 2 4 2 1 4 0 0 2 5 1 1 1 6 3 6 9 4
"honest" 2 1 0 1 3 2 0 0 1 0 0 0 4 5 2 1 3 3
"natural" 1 4 4 2 3 4 2 1 0 0 1 3 1 4 2 2 4 5
"particular" 2 1 3 3 0 5 5 0 0 0 3 2 2 2 1 5 6 1
"practical" 0 1 2 1 1 2 1 0 1 3 0 1 2 2 0 2 7 2
"proud" 0 1 3 2 3 0 1 0 3 2 1 0 0 4 0 1 3 4
"quick" 3 1 1 0 0 3 1 4 1 2 2 0 0 4 1 2 3 3
"quiet" 6 4 3 2 3 5 6 5 4 2 2 4 4 0 3 6 9 10
"slow" 3 2 1 2 1 5 3 2 2 1 0 0 1 3 0 2 4 4
"strong" 3 1 2 2 2 9 6 1 2 5 2 1 2 6 2 0 11 3
"sure" 4 4 6 6 4 9 9 3 4 6 7 3 3 9 4 11 0 9
"true" 5 4 4 1 3 6 4 3 5 1 2 4 3 10 4 3 9 0
