"certain" "cold" "determined" "easy" "general" "kind" "lively" "natural" "open" "particular" "pleasant" "quiet" "serious" "silent" "strong" "sure" "true"
"certain" 0 5 1 2 6 2 2 7 2 4 4 6 3 2 5 15 2
"cold" 5 0 3 4 4 4 4 5 1 1 5 2 1 2 5 11 2
"determined" 1 3 0 2 6 3 2 6 2 1 5 1 1 2 6 9 6
"easy" 2 4 2 0 14 6 2 5 2 4 6 3 4 2 5 9 6
"general" 6 4 6 14 0 9 6 12 7 8 15 9 14 9 16 37 11
"kind" 2 4 3 6 9 0 5 7 4 4 8 1 6 3 9 12 6
"lively" 2 4 2 2 6 5 0 7 4 3 7 1 5 3 8 6 2
"natural" 7 5 6 5 12 7 7 0 6 4 10 5 5 5 10 15 9
"open" 2 1 2 2 7 4 4 6 0 3 5 2 6 4 1 8 3
"particular" 4 1 1 4 8 4 3 4 3 0 2 4 2 3 3 10 6
"pleasant" 4 5 5 6 15 8 7 10 5 2 0 6 5 5 9 22 6
"quiet" 6 2 1 3 9 1 1 5 2 4 6 0 2 3 5 13 4
"serious" 3 1 1 4 14 6 5 5 6 2 5 2 0 6 10 15 7
"silent" 2 2 2 2 9 3 3 5 4 3 5 3 6 0 4 8 4
"strong" 5 5 6 5 16 9 8 10 1 3 9 5 10 4 0 22 7
"sure" 15 11 9 9 37 12 6 15 8 10 22 13 15 8 22 0 15
"true" 2 2 6 6 11 6 2 9 3 6 6 4 7 4 7 15 0
