"certain" "close" "cold" "cruel" "easy" "free" "general" "heavy" "loud" "natural" "open" "particular" "quick" "quiet" "second" "silent" "steady" "strong" "sudden" "sure" "true"
"certain" 0 4 2 1 4 2 7 7 2 6 7 1 0 6 4 4 1 5 2 7 4
"close" 4 0 5 4 2 5 2 4 3 2 9 3 3 6 4 2 3 4 4 4 5
"cold" 2 5 0 2 3 3 2 6 1 4 6 3 2 6 2 2 1 8 3 6 6
"cruel" 1 4 2 0 1 3 0 2 3 0 2 0 3 4 2 1 3 3 2 1 5
"easy" 4 2 3 1 0 2 3 2 0 4 4 1 1 4 0 1 2 5 3 3 2
"free" 2 5 3 3 2 0 2 2 2 2 7 2 2 4 5 3 3 7 2 1 6
"general" 7 2 2 0 3 2 0 6 2 4 2 6 2 2 5 1 2 9 0 3 5
"heavy" 7 4 6 2 2 2 6 0 3 4 8 5 2 3 6 3 4 12 3 5 4
"loud" 2 3 1 3 0 2 2 3 0 0 5 2 4 5 2 1 0 4 0 4 3
"natural" 6 2 4 0 4 2 4 4 0 0 4 2 1 1 4 1 2 7 0 6 1
"open" 7 9 6 2 4 7 2 8 5 4 0 3 2 4 8 4 4 14 5 4 5
"particular" 1 3 3 0 1 2 6 5 2 2 3 0 1 1 6 0 0 4 0 6 1
"quick" 0 3 2 3 1 2 2 2 4 1 2 1 0 3 5 3 3 5 0 5 3
"quiet" 6 6 6 4 4 4 2 3 5 1 4 1 3 0 2 4 2 9 3 6 8
"second" 4 4 2 2 0 5 5 6 2 4 8 6 5 2 0 6 2 8 1 2 4
"silent" 4 2 2 1 1 3 1 3 1 1 4 0 3 4 6 0 3 4 1 2 2
"steady" 1 3 1 3 2 3 2 4 0 2 4 0 3 2 2 3 0 5 2 1 1
"strong" 5 4 8 3 5 7 9 12 4 7 14 4 5 9 8 4 5 0 5 11 12
"sudden" 2 4 3 2 3 2 0 3 0 0 5 0 0 3 1 1 2 5 0 2 2
"sure" 7 4 6 1 3 1 3 5 4 6 4 6 5 6 2 2 1 11 2 0 5
"true" 4 5 6 5 2 6 5 4 3 1 5 1 3 8 4 2 1 12 2 5 0
