"certain" "cheerful" "close" "cold" "easy" "free" "fresh" "general" "gentle" "grateful" "heavy" "honest" "kind" "lively" "melancholy" "natural" "open" "particular" "pleasant" "proud" "quiet" "second" "serious" "silent" "strong" "sure" "sweet" "true"
"certain" 0 17 10 12 18 14 6 21 11 11 9 10 11 8 12 16 14 26 21 11 15 11 10 11 29 37 11 20
"cheerful" 17 0 4 4 4 5 5 7 8 8 3 4 1 7 8 4 6 6 13 4 7 5 5 6 9 10 1 10
"close" 10 4 0 5 7 3 3 10 5 1 2 3 3 4 4 6 11 10 9 2 5 6 0 5 8 9 4 8
"cold" 12 4 5 0 9 7 6 9 6 6 9 3 9 3 6 7 8 7 7 0 12 3 3 11 11 17 4 7
"easy" 18 4 7 9 0 7 4 12 5 8 10 7 7 3 9 7 15 13 9 7 13 8 3 10 18 22 3 14
"free" 14 5 3 7 7 0 8 9 4 5 10 4 7 3 5 5 6 8 5 4 8 4 3 3 14 16 3 8
"fresh" 6 5 3 6 4 8 0 6 6 3 3 1 2 6 2 6 6 2 8 5 5 3 0 7 9 8 4 6
"general" 21 7 10 9 12 9 6 0 5 7 6 2 6 7 9 11 17 22 17 5 10 9 8 7 22 24 9 12
"gentle" 11 8 5 6 5 4 6 5 0 3 5 4 5 6 3 5 11 6 10 6 13 3 2 11 12 18 6 12
"grateful" 11 8 1 6 8 5 3 7 3 0 5 4 5 1 4 3 7 6 7 4 6 4 2 4 14 12 3 6
"heavy" 9 3 2 9 10 10 3 6 5 5 0 3 7 3 6 7 9 10 9 2 12 8 5 12 13 17 4 7
"honest" 10 4 3 3 7 4 1 2 4 4 3 0 8 1 2 4 6 3 4 2 7 4 1 8 10 11 3 10
"kind" 11 1 3 9 7 7 2 6 5 5 7 8 0 1 6 5 7 8 6 1 7 4 1 3 11 15 6 10
"lively" 8 7 4 3 3 3 6 7 6 1 3 1 1 0 3 6 6 11 9 5 7 5 3 4 8 14 4 6
"melancholy" 12 8 4 6 9 5 2 9 3 4 6 2 6 3 0 4 8 7 13 3 5 1 1 2 8 8 3 2
"natural" 16 4 6 7 7 5 6 11 5 3 7 4 5 6 4 0 6 12 9 7 7 4 3 7 11 16 6 8
"open" 14 6 11 8 15 6 6 17 11 7 9 6 7 6 8 6 0 19 14 4 16 10 7 10 14 27 9 5
"particular" 26 6 10 7 13 8 2 22 6 6 10 3 8 11 7 12 19 0 17 7 14 12 9 6 19 25 7 12
"pleasant" 21 13 9 7 9 5 8 17 10 7 9 4 6 9 13 9 14 17 0 9 16 7 6 6 11 32 9 11
"proud" 11 4 2 0 7 4 5 5 6 4 2 2 1 5 3 7 4 7 9 0 3 3 5 1 7 16 3 7
"quiet" 15 7 5 12 13 8 5 10 13 6 12 7 7 7 5 7 16 14 16 3 0 6 4 16 10 25 7 7
"second" 11 5 6 3 8 4 3 9 3 4 8 4 4 5 1 4 10 12 7 3 6 0 4 6 12 14 7 5
"serious" 10 5 0 3 3 3 0 8 2 2 5 1 1 3 1 3 7 9 6 5 4 4 0 2 8 12 6 4
"silent" 11 6 5 11 10 3 7 7 11 4 12 8 3 4 2 7 10 6 6 1 16 6 2 0 16 17 5 12
"strong" 29 9 8 11 18 14 9 22 12 14 13 10 11 8 8 11 14 19 11 7 10 12 8 16 0 31 9 16
"sure" 37 10 9 17 22 16 8 24 18 12 17 11 15 14 8 16 27 25 32 16 25 14 12 17 31 0 18 27
"sweet" 11 1 4 4 3 3 4 9 6 3 4 3 6 4 3 6 9 7 9 3 7 7 6 5 9 18 0 7
"true" 20 10 8 7 14 8 6 12 12 6 7 10 10 6 2 8 5 12 11 7 7 5 4 12 16 27 7 0
