"cheerful" "cold" "easy" "general" "handsome" "kind" "natural" "open" "particular" "pleasant" "quiet" "sad" "second" "strong" "sure" "true"
"cheerful" 0 6 6 12 8 5 8 6 2 8 3 5 3 6 14 8
"cold" 6 0 6 7 3 8 6 4 5 6 4 7 5 4 20 6
"easy" 6 6 0 8 8 4 7 3 5 6 3 4 3 8 16 4
"general" 12 7 8 0 13 14 12 10 10 11 6 6 11 11 33 11
"handsome" 8 3 8 13 0 7 6 4 7 8 5 3 5 5 13 7
"kind" 5 8 4 14 7 0 14 5 11 6 5 8 4 10 34 10
"natural" 8 6 7 12 6 14 0 3 15 6 9 8 7 11 24 8
"open" 6 4 3 10 4 5 3 0 3 7 5 2 5 4 15 9
"particular" 2 5 5 10 7 11 15 3 0 5 4 7 9 6 21 8
"pleasant" 8 6 6 11 8 6 6 7 5 0 4 6 4 4 21 10
"quiet" 3 4 3 6 5 5 9 5 4 4 0 5 4 9 14 7
"sad" 5 7 4 6 3 8 8 2 7 6 5 0 3 5 12 6
"second" 3 5 3 11 5 4 7 5 9 4 4 3 0 5 12 3
"strong" 6 4 8 11 5 10 11 4 6 4 9 5 5 0 21 7
"sure" 14 20 16 33 13 34 24 15 21 21 14 12 12 21 0 28
"true" 8 6 4 11 7 10 8 9 8 10 7 6 3 7 28 0
