"certain" "cheerful" "close" "cold" "earnest" "easy" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "grateful" "heavy" "honest" "humble" "kind" "natural" "noisy" "open" "original" "particular" "pleasant" "quick" "quiet" "sad" "second" "silent" "slow" "solemn" "strong" "sudden" "sure" "sweet" "thoughtful" "timid" "true" "weak"
"certain" 0 10 4 10 5 12 3 13 5 4 6 10 3 5 8 6 3 6 7 2 8 9 12 9 6 6 3 8 6 4 4 15 3 18 6 5 3 9 6
"cheerful" 10 0 3 11 5 8 3 8 3 4 2 5 5 5 4 3 2 2 5 2 12 3 7 13 2 9 7 5 8 4 3 8 4 10 3 6 3 5 4
"close" 4 3 0 12 4 7 3 6 3 4 3 6 5 2 5 5 5 5 4 2 11 4 4 5 6 9 3 3 7 4 5 6 5 6 2 1 4 5 5
"cold" 10 11 12 0 6 7 2 7 8 8 7 10 8 8 8 5 8 5 6 4 19 13 7 8 6 13 5 4 12 8 8 16 5 14 7 6 2 4 7
"earnest" 5 5 4 6 0 4 2 1 2 4 3 6 5 2 2 2 4 7 4 3 5 2 5 7 3 9 1 5 4 1 1 6 7 10 1 3 4 6 2
"easy" 12 8 7 7 4 0 4 6 4 5 1 8 5 2 3 3 4 1 5 3 11 4 10 9 2 12 2 6 5 5 3 13 6 10 1 4 8 8 5
"familiar" 3 3 3 2 2 4 0 4 4 1 3 3 2 1 2 2 4 3 4 3 7 3 2 3 1 4 3 1 5 3 1 7 3 4 0 4 2 3 1
"free" 13 8 6 7 1 6 4 0 8 4 3 7 2 5 8 2 7 5 3 4 12 5 7 9 1 7 5 6 5 7 3 8 4 13 7 4 2 3 2
"fresh" 5 3 3 8 2 4 4 8 0 2 4 3 2 6 6 0 6 4 7 3 6 3 5 3 3 4 1 2 3 9 5 5 4 11 3 2 4 7 2
"friendly" 4 4 4 8 4 5 1 4 2 0 4 5 1 1 0 2 3 2 5 1 3 2 10 6 2 2 0 2 3 1 2 11 5 10 1 1 0 4 1
"general" 6 2 3 7 3 1 3 3 4 4 0 5 1 3 4 4 5 3 4 2 5 3 4 2 4 3 2 1 2 1 4 6 4 9 1 1 3 3 2
"gentle" 10 5 6 10 6 8 3 7 3 5 5 0 5 4 3 3 5 6 2 3 8 2 6 4 1 7 3 3 10 3 3 9 2 12 3 3 4 4 2
"gloomy" 3 5 5 8 5 5 2 2 2 1 1 5 0 2 4 3 1 5 3 2 7 2 0 4 1 5 5 1 5 5 2 5 2 6 1 4 3 3 1
"grateful" 5 5 2 8 2 2 1 5 6 1 3 4 2 0 5 1 3 5 1 1 8 3 3 3 5 3 4 2 5 6 1 3 3 5 2 3 2 2 3
"heavy" 8 4 5 8 2 3 2 8 6 0 4 3 4 5 0 1 6 6 5 3 14 4 4 4 2 5 2 3 6 7 2 4 1 6 4 4 4 2 3
"honest" 6 3 5 5 2 3 2 2 0 2 4 3 3 1 1 0 2 3 3 0 13 3 6 6 3 4 6 0 3 3 2 4 3 14 2 1 1 6 1
"humble" 3 2 5 8 4 4 4 7 6 3 5 5 1 3 6 2 0 5 4 8 9 4 5 4 1 9 1 2 4 5 3 5 3 10 1 1 4 9 3
"kind" 6 2 5 5 7 1 3 5 4 2 3 6 5 5 6 3 5 0 5 3 9 3 4 7 6 9 5 4 10 3 1 4 2 16 2 4 4 5 3
"natural" 7 5 4 6 4 5 4 3 7 5 4 2 3 1 5 3 4 5 0 4 10 5 8 6 5 6 0 7 6 1 0 9 4 12 2 3 3 3 1
"noisy" 2 2 2 4 3 3 3 4 3 1 2 3 2 1 3 0 8 3 4 0 6 1 4 4 2 6 2 2 3 6 2 7 3 5 2 0 4 5 1
"open" 8 12 11 19 5 11 7 12 6 3 5 8 7 8 14 13 9 9 10 6 0 12 13 15 3 15 10 5 13 10 7 13 8 23 6 7 7 10 8
"original" 9 3 4 13 2 4 3 5 3 2 3 2 2 3 4 3 4 3 5 1 12 0 7 6 4 7 0 3 6 4 5 9 3 8 3 2 0 2 2
"particular" 12 7 4 7 5 10 2 7 5 10 4 6 0 3 4 6 5 4 8 4 13 7 0 10 4 6 3 7 7 1 1 15 6 14 4 4 3 9 3
"pleasant" 9 13 5 8 7 9 3 9 3 6 2 4 4 3 4 6 4 7 6 4 15 6 10 0 6 11 6 8 9 2 1 11 6 15 5 4 5 8 7
"quick" 6 2 6 6 3 2 1 1 3 2 4 1 1 5 2 3 1 6 5 2 3 4 4 6 0 4 1 0 5 6 0 4 3 7 3 4 3 4 1
"quiet" 6 9 9 13 9 12 4 7 4 2 3 7 5 3 5 4 9 9 6 6 15 7 6 11 4 0 7 3 13 8 8 14 8 22 5 4 8 9 8
"sad" 3 7 3 5 1 2 3 5 1 0 2 3 5 4 2 6 1 5 0 2 10 0 3 6 1 7 0 0 6 5 2 9 2 11 2 2 1 8 3
"second" 8 5 3 4 5 6 1 6 2 2 1 3 1 2 3 0 2 4 7 2 5 3 7 8 0 3 0 0 2 1 1 5 3 6 2 2 3 2 1
"silent" 6 8 7 12 4 5 5 5 3 3 2 10 5 5 6 3 4 10 6 3 13 6 7 9 5 13 6 2 0 3 6 10 4 15 8 9 5 7 8
"slow" 4 4 4 8 1 5 3 7 9 1 1 3 5 6 7 3 5 3 1 6 10 4 1 2 6 8 5 1 3 0 4 5 1 9 2 2 2 5 4
"solemn" 4 3 5 8 1 3 1 3 5 2 4 3 2 1 2 2 3 1 0 2 7 5 1 1 0 8 2 1 6 4 0 3 1 8 5 2 0 4 1
"strong" 15 8 6 16 6 13 7 8 5 11 6 9 5 3 4 4 5 4 9 7 13 9 15 11 4 14 9 5 10 5 3 0 6 20 7 3 5 10 7
"sudden" 3 4 5 5 7 6 3 4 4 5 4 2 2 3 1 3 3 2 4 3 8 3 6 6 3 8 2 3 4 1 1 6 0 6 2 1 3 9 1
"sure" 18 10 6 14 10 10 4 13 11 10 9 12 6 5 6 14 10 16 12 5 23 8 14 15 7 22 11 6 15 9 8 20 6 0 11 5 6 20 10
"sweet" 6 3 2 7 1 1 0 7 3 1 1 3 1 2 4 2 1 2 2 2 6 3 4 5 3 5 2 2 8 2 5 7 2 11 0 4 2 1 2
"thoughtful" 5 6 1 6 3 4 4 4 2 1 1 3 4 3 4 1 1 4 3 0 7 2 4 4 4 4 2 2 9 2 2 3 1 5 4 0 3 1 3
"timid" 3 3 4 2 4 8 2 2 4 0 3 4 3 2 4 1 4 4 3 4 7 0 3 5 3 8 1 3 5 2 0 5 3 6 2 3 0 2 2
"true" 9 5 5 4 6 8 3 3 7 4 3 4 3 2 2 6 9 5 3 5 10 2 9 8 4 9 8 2 7 5 4 10 9 20 1 1 2 0 6
"weak" 6 4 5 7 2 5 1 2 2 1 2 2 1 3 3 1 3 3 1 1 8 2 3 7 1 8 3 1 8 4 1 7 1 10 2 3 2 6 0
