"cruel" "easy" "free" "general" "generous" "grateful" "impertinent" "particular" "sensible" "silent" "sure" "sweet" "true" "unhappy" "violent" "weak"
"cruel" 0 7 4 5 4 1 7 3 4 8 13 4 6 6 5 6
"easy" 7 0 4 4 5 4 3 6 2 7 10 0 6 6 3 1
"free" 4 4 0 2 4 3 4 3 3 5 11 1 5 1 6 2
"general" 5 4 2 0 4 3 7 7 3 6 21 7 5 7 3 3
"generous" 4 5 4 4 0 4 4 1 3 5 9 4 3 6 5 4
"grateful" 1 4 3 3 4 0 4 5 4 8 12 6 0 8 3 4
"impertinent" 7 3 4 7 4 4 0 2 4 6 13 3 2 3 4 2
"particular" 3 6 3 7 1 5 2 0 2 7 14 4 2 8 5 0
"sensible" 4 2 3 3 3 4 4 2 0 5 11 5 4 3 3 5
"silent" 8 7 5 6 5 8 6 7 5 0 19 4 7 5 3 4
"sure" 13 10 11 21 9 12 13 14 11 19 0 12 12 16 14 10
"sweet" 4 0 1 7 4 6 3 4 5 4 12 0 5 4 2 5
"true" 6 6 5 5 3 0 2 2 4 7 12 5 0 2 1 2
"unhappy" 6 6 1 7 6 8 3 8 3 5 16 4 2 0 5 4
"violent" 5 3 6 3 5 3 4 5 3 3 14 2 1 5 0 2
"weak" 6 1 2 3 4 4 2 0 5 4 10 5 2 4 2 0
