"busy" "certain" "close" "cold" "cruel" "curious" "delicate" "easy" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "gracious" "handsome" "heavy" "kind" "natural" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "second" "sensible" "silent" "slow" "strong" "sudden" "sure" "true" "unhappy" "weak"
"busy" 0 6 4 2 1 1 4 4 3 2 2 1 3 1 2 3 0 5 3 3 3 3 2 1 4 5 6 7 0 2 1 4 1 9 7 2 5
"certain" 6 0 12 11 4 13 8 14 6 12 7 7 17 6 2 6 11 11 12 14 15 8 8 9 11 10 14 13 7 3 6 16 9 27 15 2 10
"close" 4 12 0 5 1 3 2 4 3 4 5 0 5 3 4 2 4 4 3 5 10 6 4 3 1 1 3 9 2 4 3 10 4 9 7 0 4
"cold" 2 11 5 0 3 5 3 7 3 1 4 2 3 3 2 2 2 3 8 5 11 3 2 5 2 4 8 6 3 3 3 13 1 10 6 0 7
"cruel" 1 4 1 3 0 1 4 4 4 2 0 2 3 1 2 1 2 6 5 5 7 1 2 0 3 5 3 2 3 5 1 10 4 8 10 4 3
"curious" 1 13 3 5 1 0 3 10 5 2 3 2 3 1 3 1 4 4 2 4 8 2 0 6 2 3 7 4 2 1 1 4 4 11 4 2 2
"delicate" 4 8 2 3 4 3 0 3 4 0 2 1 7 1 1 3 3 2 5 7 6 2 5 5 4 4 8 12 0 2 3 6 2 8 9 3 2
"easy" 4 14 4 7 4 10 3 0 2 4 6 6 9 1 5 3 10 6 3 10 9 4 4 7 6 5 6 11 4 6 4 7 4 9 8 5 4
"familiar" 3 6 3 3 4 5 4 2 0 4 4 2 2 0 3 3 3 3 5 4 4 3 3 2 2 2 6 6 0 3 3 7 0 7 7 2 1
"free" 2 12 4 1 2 2 0 4 4 0 4 7 5 5 1 3 5 10 8 9 13 3 11 5 11 6 9 4 4 4 3 11 1 17 13 3 9
"fresh" 2 7 5 4 0 3 2 6 4 4 0 2 4 1 2 1 3 2 3 4 2 4 3 2 1 3 7 4 0 5 3 7 3 5 5 3 2
"friendly" 1 7 0 2 2 2 1 6 2 7 2 0 3 1 1 1 4 4 2 2 4 0 1 2 3 8 4 2 2 4 4 4 2 5 6 1 0
"general" 3 17 5 3 3 3 7 9 2 5 4 3 0 3 4 4 6 8 7 11 8 5 7 6 11 3 7 9 6 6 6 13 4 22 8 1 5
"gentle" 1 6 3 3 1 1 1 1 0 5 1 1 3 0 3 1 1 5 4 2 3 2 1 0 4 2 4 2 3 2 4 3 2 7 2 3 5
"gloomy" 2 2 4 2 2 3 1 5 3 1 2 1 4 3 0 1 2 4 2 2 6 2 2 2 3 2 4 2 4 3 4 10 2 2 3 1 0
"gracious" 3 6 2 2 1 1 3 3 3 3 1 1 4 1 1 0 4 3 8 3 4 6 5 2 3 2 4 4 5 2 2 4 1 4 7 1 4
"handsome" 0 11 4 2 2 4 3 10 3 5 3 4 6 1 2 4 0 3 4 5 5 2 4 3 6 3 3 9 6 4 4 7 1 8 7 1 3
"heavy" 5 11 4 3 6 4 2 6 3 10 2 4 8 5 4 3 3 0 6 8 7 4 8 2 8 6 5 4 5 10 3 13 6 12 7 2 7
"kind" 3 12 3 8 5 2 5 3 5 8 3 2 7 4 2 8 4 6 0 7 5 3 6 6 4 4 13 5 7 2 2 9 2 17 12 3 4
"natural" 3 14 5 5 5 4 7 10 4 9 4 2 11 2 2 3 5 8 7 0 10 2 9 6 6 7 10 9 2 2 9 12 2 19 12 4 7
"open" 3 15 10 11 7 8 6 9 4 13 2 4 8 3 6 4 5 7 5 10 0 6 7 7 7 6 10 7 5 3 7 21 5 21 11 3 8
"original" 3 8 6 3 1 2 2 4 3 3 4 0 5 2 2 6 2 4 3 2 6 0 6 2 3 3 4 3 1 2 3 4 1 5 5 0 3
"particular" 2 8 4 2 2 0 5 4 3 11 3 1 7 1 2 5 4 8 6 9 7 6 0 6 4 7 7 9 6 4 5 12 0 10 6 3 4
"pleasant" 1 9 3 5 0 6 5 7 2 5 2 2 6 0 2 2 3 2 6 6 7 2 6 0 2 6 10 1 4 4 2 7 3 11 6 2 1
"proud" 4 11 1 2 3 2 4 6 2 11 1 3 11 4 3 3 6 8 4 6 7 3 4 2 0 1 6 5 3 2 2 5 2 18 9 4 7
"quick" 5 10 1 4 5 3 4 5 2 6 3 8 3 2 2 2 3 6 4 7 6 3 7 6 1 0 5 2 3 1 6 7 4 11 9 1 1
"quiet" 6 14 3 8 3 7 8 6 6 9 7 4 7 4 4 4 3 5 13 10 10 4 7 10 6 5 0 6 5 7 3 15 5 18 14 3 8
"second" 7 13 9 6 2 4 12 11 6 4 4 2 9 2 2 4 9 4 5 9 7 3 9 1 5 2 6 0 3 6 0 13 2 9 7 3 5
"sensible" 0 7 2 3 3 2 0 4 0 4 0 2 6 3 4 5 6 5 7 2 5 1 6 4 3 3 5 3 0 4 0 6 2 6 6 1 4
"silent" 2 3 4 3 5 1 2 6 3 4 5 4 6 2 3 2 4 10 2 2 3 2 4 4 2 1 7 6 4 0 3 10 6 8 2 3 1
"slow" 1 6 3 3 1 1 3 4 3 3 3 4 6 4 4 2 4 3 2 9 7 3 5 2 2 6 3 0 0 3 0 5 0 6 6 1 7
"strong" 4 16 10 13 10 4 6 7 7 11 7 4 13 3 10 4 7 13 9 12 21 4 12 7 5 7 15 13 6 10 5 0 5 17 10 2 13
"sudden" 1 9 4 1 4 4 2 4 0 1 3 2 4 2 2 1 1 6 2 2 5 1 0 3 2 4 5 2 2 6 0 5 0 7 4 2 2
"sure" 9 27 9 10 8 11 8 9 7 17 5 5 22 7 2 4 8 12 17 19 21 5 10 11 18 11 18 9 6 8 6 17 7 0 25 5 8
"true" 7 15 7 6 10 4 9 8 7 13 5 6 8 2 3 7 7 7 12 12 11 5 6 6 9 9 14 7 6 2 6 10 4 25 0 4 5
"unhappy" 2 2 0 0 4 2 3 5 2 3 3 1 1 3 1 1 1 2 3 4 3 0 3 2 4 1 3 3 1 3 1 2 2 5 4 0 1
"weak" 5 10 4 7 3 2 2 4 1 9 2 0 5 5 0 4 3 7 4 7 8 3 4 1 7 1 8 5 4 1 7 13 2 8 5 1 0
