"","x"
"1","absentmi"
"2","abstinen"
"3","abusive"
"4","acceptan"
"5","accessib"
"6","accommod"
"7","accompli"
"8","acquiesc"
"9","acquisit"
"10","adaptabl"
"11","adaptive"
"12","adjustab"
"13","adultero"
"14","adventur"
"15","affected"
"16","affectio"
"17","affirmat"
"18","aggressi"
"19","agitable"
"20","agitativ"
"21","agreeabl"
"22","aimful"
"23","aimless"
"24","alarmabl"
"25","alert"
"26","altruist"
"27","ambitiou"
"28","amorous"
"29","analytic"
"30","antagoni"
"31","anticipa"
"32","antisoci"
"33","apatheti"
"34","apprecia"
"35","approach"
"36","arbitrar"
"37","arbitrat"
"38","argument"
"39","aristocr"
"40","arrogant"
"41","articula"
"42","artistic"
"43","ascendan"
"44","asocial"
"45","assertiv"
"46","assured"
"47","astute"
"48","audaciou"
"49","austere"
"50","authorit"
"51","autocrat"
"52","autonomo"
"53","aweless"
"54","balky"
"55","belliger"
"56","bendable"
"57","benefice"
"58","benevole"
"59","biased"
"60","bigheade"
"61","bigheart"
"62","bigmouth"
"63","bigoted"
"64","blase"
"65","blasphem"
"66","bluntwit"
"67","blustery"
"68","boastles"
"69","boistero"
"70","bookish"
"71","boorish"
"72","bossy"
"73","bountifu"
"74","brainy"
"75","brash"
"76","brave"
"77","brawlsom"
"78","brazen"
"79","bristly"
"80","broadmin"
"81","broadspo"
"82","broody"
"83","brusque"
"84","bubbly"
"85","bullhead"
"86","bullish"
"87","bullying"
"88","business"
"89","busyish"
"90","cagy"
"91","calculab"
"92","calculat"
"93","callous"
"94","canny"
"95","cantanke"
"96","capricio"
"97","carefree"
"98","careworn"
"99","catty"
"100","cavalier"
"101","censoria"
"102","cerebral"
"103","ceremoni"
"104","changeab"
"105","changele"
"106","charitab"
"107","cherubic"
"108","chic"
"109","childlik"
"110","chipper"
"111","chitchat"
"112","chivalro"
"113","choosy"
"114","circumsp"
"115","civilize"
"116","clairvoy"
"117","clannish"
"118","clearcut"
"119","clearhea"
"120","clearsig"
"121","clearthi"
"122","clingy"
"123","cliquish"
"124","closedmi"
"125","closefis"
"126","closemou"
"127","clownish"
"128","cocky"
"129","coercive"
"130","coldhear"
"131","combativ"
"132","communic"
"133","companio"
"134","compassl"
"135","compasst"
"136","competit"
"137","complace"
"138","complain"
"139","complais"
"140","complex"
"141","complian"
"142","complica"
"143","complime"
"144","compulsi"
"145","comradel"
"146","conceite"
"147","conceitl"
"148","concilia"
"149","concise"
"150","condesce"
"151","confiden"
"152","confusab"
"153","congenia"
"154","consciel"
"155","consciet"
"156","conserva"
