"","x"
"1","absentmi"
"2","abstinen"
"3","acceptan"
"4","accessib"
"5","accommod"
"6","accompli"
"7","acid"
"8","acquiesc"
"9","acquisit"
"10","adaptabl"
"11","adaptive"
"12","adjustab"
"13","adultero"
"14","adventur"
"15","affectio"
"16","affirmat"
"17","aggressi"
"18","agitable"
"19","agitativ"
"20","agreeabl"
"21","aimful"
"22","aimless"
"23","alarmabl"
"24","alert"
"25","altruist"
"26","ambitiou"
"27","amicable"
"28","analytic"
"29","angelic"
"30","antagoni"
"31","anticipa"
"32","antisoci"
"33","apatheti"
"34","apprecia"
"35","approach"
"36","arbitrar"
"37","arbitrat"
"38","argument"
"39","aristocr"
"40","arrogant"
"41","articula"
"42","artistic"
"43","ascendan"
"44","asocial"
"45","assertiv"
"46","assured"
"47","astute"
"48","audaciou"
"49","austere"
"50","authorit"
"51","autocrat"
"52","autonomo"
"53","aweless"
"54","balky"
"55","belliger"
"56","bendable"
"57","benefice"
"58","benevole"
"59","biased"
"60","bigheade"
"61","bigheart"
"62","bigmouth"
"63","bigoted"
"64","blase"
"65","blasphem"
"66","bluntwit"
"67","blustery"
"68","boastles"
"69","boistero"
"70","bookish"
"71","boorish"
"72","bossy"
"73","bountifu"
"74","brainy"
"75","brash"
"76","brave"
"77","brawlsom"
"78","brazen"
"79","breezy"
"80","broadmin"
"81","broadspo"
"82","broody"
"83","brusque"
"84","bubbly"
"85","bullhead"
"86","bullish"
"87","bullying"
"88","business"
"89","busyish"
"90","cagy"
"91","calculab"
"92","calculat"
"93","callous"
"94","cantanke"
"95","capricio"
"96","carefree"
"97","careworn"
"98","catty"
"99","caustic"
"100","cavalier"
"101","censoria"
"102","cerebral"
"103","ceremoni"
"104","changeab"
"105","changele"
"106","charitab"
"107","chatty"
"108","cherubic"
"109","chic"
"110","childlik"
"111","chipper"
"112","chitchat"
"113","chivalro"
"114","choosy"
"115","circumsp"
"116","civilize"
"117","clairvoy"
"118","clannish"
"119","clearcut"
"120","clearhea"
"121","clearsig"
"122","clearthi"
"123","clingy"
"124","cliquish"
"125","closedmi"
"126","closefis"
"127","closemou"
"128","clownish"
"129","cocky"
"130","coercive"
"131","coldhear"
"132","combativ"
"133","communic"
"134","companio"
"135","compassl"
"136","compasst"
"137","competit"
"138","complace"
"139","complain"
"140","complais"
"141","complian"
"142","complica"
"143","complime"
"144","compulsi"
"145","comradel"
"146","conceite"
"147","conceitl"
"148","concilia"
"149","concise"
"150","condesce"
"151","confiden"
"152","confusab"
"153","congenia"
"154","consciel"
"155","consciet"
"156","conserva"
