"","x"
"1","absentmi"
"2","abstinen"
"3","abstract"
"4","acceptan"
"5","accessib"
"6","accommod"
"7","accompli"
"8","accurate"
"9","acid"
"10","acquiesc"
"11","acquisit"
"12","active"
"13","adaptabl"
"14","adaptive"
"15","adjustab"
"16","adultero"
"17","adventur"
"18","affectio"
"19","affirmat"
"20","aggressi"
"21","agitable"
"22","agitativ"
"23","agreeabl"
"24","aimful"
"25","aimless"
"26","alarmabl"
"27","alert"
"28","altruist"
"29","ambitiou"
"30","amorous"
"31","analytic"
"32","angelic"
"33","antagoni"
"34","anticipa"
"35","antisoci"
"36","apatheti"
"37","apprecia"
"38","approach"
"39","arbitrar"
"40","arbitrat"
"41","argument"
"42","aristocr"
"43","arrogant"
"44","articula"
"45","artistic"
"46","ascendan"
"47","asocial"
"48","assertiv"
"49","astute"
"50","audaciou"
"51","austere"
"52","authorit"
"53","autocrat"
"54","autonomo"
"55","aweless"
"56","balky"
"57","bashful"
"58","belliger"
"59","bendable"
"60","benefice"
"61","benevole"
"62","biased"
"63","bigheade"
"64","bigheart"
"65","bigmouth"
"66","bigoted"
"67","bland"
"68","blase"
"69","blasphem"
"70","blunt"
"71","bluntwit"
"72","blustery"
"73","boastful"
"74","boastles"
"75","boistero"
"76","bookish"
"77","boorish"
"78","bossy"
"79","bountifu"
"80","boyish"
"81","brainy"
"82","brash"
"83","brave"
"84","brawlsom"
"85","brazen"
"86","breezy"
"87","bright"
"88","brisk"
"89","bristly"
"90","broadmin"
"91","broadspo"
"92","broody"
"93","brusque"
"94","bubbly"
"95","bullhead"
"96","bullish"
"97","bullying"
"98","buoyant"
"99","business"
"100","busyish"
"101","cagy"
"102","calculab"
"103","calculat"
"104","calm"
"105","canny"
"106","cantanke"
"107","capricio"
"108","carefree"
"109","careworn"
"110","casual"
"111","catty"
"112","caustic"
"113","cautious"
"114","cavalier"
"115","censoria"
"116","cerebral"
"117","ceremoni"
"118","changeab"
"119","changele"
"120","charitab"
"121","chaste"
"122","chatty"
"123","cherubic"
"124","chic"
"125","childlik"
"126","chipper"
"127","chitchat"
"128","chivalro"
"129","choosy"
"130","circumsp"
"131","civilize"
"132","clairvoy"
"133","clannish"
"134","clearcut"
"135","clearhea"
"136","clearsig"
"137","clearthi"
"138","clever"
"139","clingy"
"140","cliquish"
"141","closedmi"
"142","closefis"
"143","closemou"
"144","clownish"
"145","clumsy"
"146","coarse"
"147","cocky"
"148","coercive"
"149","coherent"
"150","coldhear"
"151","combativ"
"152","communic"
"153","companio"
"154","compassl"
"155","compasst"
"156","competit"
