"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","certain",771,26,46,59,68,58,44,14,72,99,26,46,19,110,33,51
"2","quiet",711,31,63,81,66,44,39,28,63,49,17,46,30,58,42,54
"3","cold",613,22,38,47,32,70,36,12,35,45,17,54,54,32,65,54
"4","bright",529,21,46,52,48,59,25,8,50,48,24,19,14,47,33,35
"5","natural",488,19,29,61,48,50,25,13,44,50,11,37,4,42,25,30
"6","silent",463,16,44,29,44,53,14,9,32,50,15,36,28,35,21,37
"7","deep",460,19,38,27,28,63,13,7,23,56,10,34,33,38,37,34
"8","pleasant",444,11,25,52,43,25,20,7,30,70,6,43,14,22,43,33
"9","proud",357,5,24,25,35,80,23,7,37,27,8,31,10,21,19,5
"10","anxious",332,14,18,33,31,21,12,9,29,28,3,40,23,18,27,26
"11","original",322,17,40,9,13,37,2,2,44,5,5,41,2,41,8,56
"12","loud",307,13,29,10,9,11,5,7,17,21,2,62,32,6,70,13
"13","curious",302,10,12,54,24,21,21,9,32,25,10,14,8,19,28,15
"14","dull",287,7,30,23,30,30,13,3,28,24,7,28,10,18,4,32
"15","wild",285,23,23,21,32,34,15,10,21,19,10,19,12,13,14,19
"16","quick",281,14,19,24,19,33,6,12,31,26,10,23,15,22,7,20
"17","honest",279,18,26,13,17,21,11,7,16,28,5,30,8,46,10,23
"18","gentle",262,9,23,13,28,35,6,6,14,28,3,17,22,12,24,22
"19","distant",242,10,28,27,27,25,13,6,18,22,4,9,8,7,11,27
"20","cheerful",240,5,28,28,30,17,9,6,10,23,3,15,7,17,17,25
"21","warm",233,5,15,22,19,27,9,3,12,16,4,25,11,19,27,19
"22","friendly",219,6,13,22,27,18,9,4,18,18,11,5,6,28,15,19
