"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"78","bitter",102,5,9,6,8,11,6,1,5,12,3,16,7,6,2,5
"79","bland",20,0,2,2,2,2,0,0,1,4,1,0,0,3,3,0
"80","blase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","blasphem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","blunt",29,1,3,1,1,6,2,0,3,2,0,1,3,4,1,1
"83","bluntwit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","blustery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","boastful",17,3,0,1,1,0,0,1,1,2,0,1,0,5,1,1
"86","boastles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","boistero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","bold",159,4,33,8,15,20,4,3,6,25,1,11,4,11,8,6
"89","bookish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","boorish",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"91","bossy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","bountifu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","boyish",24,0,1,2,4,3,4,0,0,1,1,3,0,3,1,1
"94","brainy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","brash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","brave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","brawlsom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","brazen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","breezy",6,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1
"100","bright",529,21,46,52,48,59,25,8,50,48,24,19,14,47,33,35
"101","brisk",55,2,9,2,4,2,0,0,4,9,4,3,1,8,6,1
"102","bristly",3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"103","broadmin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","broadspo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","broody",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","brusque",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","brutal",12,0,1,1,1,1,3,0,0,2,0,1,0,0,2,0
"108","bubbly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","bullhead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","bullish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","bullying",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112","buoyant",7,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0
"113","business",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","busyish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","cagy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","calculab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
