"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","certain",935,26,46,59,13,68,58,23,20,4,44,14,72,16,99,26,46,8,19,110,7,33,45,28,51,0
"2","quiet",807,31,63,81,6,66,44,18,13,3,39,28,63,24,49,17,46,7,30,58,12,42,6,6,54,1
"3","cold",741,22,38,47,8,32,70,36,8,25,36,12,35,12,45,17,54,9,54,32,6,65,10,11,54,3
"4","natural",664,19,29,61,5,48,50,38,17,20,25,13,44,32,50,11,37,9,4,42,15,25,18,21,30,1
"5","silent",626,16,44,29,2,44,53,21,36,11,14,9,32,17,50,15,36,8,28,35,9,21,26,33,37,0
"6","pleasant",572,11,25,52,10,43,25,27,2,10,20,7,30,25,70,6,43,10,14,22,10,43,17,14,33,3
"7","bright",554,21,46,52,3,48,59,2,0,5,25,8,50,3,48,24,19,6,14,47,4,33,1,0,35,1
"8","deep",526,19,38,27,7,28,63,11,9,14,13,7,23,9,56,10,34,4,33,38,7,37,2,3,34,0
"9","anxious",483,14,18,33,7,31,21,27,6,4,12,9,29,31,28,3,40,18,23,18,12,27,24,22,26,0
"10","proud",412,5,24,25,0,35,80,4,15,1,23,7,37,5,27,8,31,2,10,21,5,19,16,6,5,1
"11","wild",371,23,23,21,41,32,34,3,3,12,15,10,21,3,19,10,19,6,12,13,5,14,8,3,19,2
"12","quick",365,14,19,24,2,19,33,20,11,8,6,12,31,12,26,10,23,8,15,22,6,7,8,7,20,2
"13","loud",356,13,29,10,6,9,11,4,19,6,5,7,17,4,21,2,62,4,32,6,0,70,2,4,13,0
"14","serious",351,3,12,15,6,23,15,24,15,3,12,4,12,33,21,7,36,4,6,24,12,14,21,21,7,1
"15","gentle",346,9,23,13,1,28,35,11,7,27,6,6,14,14,28,3,17,6,22,12,4,24,5,5,22,4
"16","original",338,17,40,9,1,13,37,4,0,2,2,2,44,3,5,5,41,1,2,41,1,8,4,0,56,0
"17","curious",329,10,12,54,3,24,21,3,5,1,21,9,32,3,25,10,14,1,8,19,2,28,5,1,15,3
"18","proper",327,4,11,12,26,6,10,35,13,2,3,6,23,21,15,0,27,7,10,7,13,23,16,21,14,2
"19","dull",323,7,30,23,5,30,30,6,7,2,13,3,28,0,24,7,28,3,10,18,1,4,3,6,32,3
"20","cheerful",322,5,28,28,5,30,17,20,8,10,9,6,10,10,23,3,15,5,7,17,7,17,7,10,25,0
"21","honest",320,18,26,13,14,17,21,2,2,1,11,7,16,6,28,5,30,4,8,46,1,10,1,6,23,4
"22","vain",316,16,18,10,6,25,15,20,26,13,10,3,18,15,14,2,15,12,5,16,15,14,15,5,7,1
"23","warm",312,5,15,22,1,19,27,23,6,6,9,3,12,14,16,4,25,3,11,19,11,27,4,11,19,0
"24","distant",288,10,28,27,1,27,25,8,6,10,13,6,18,5,22,4,9,3,8,7,3,11,4,6,27,0
"25","violent",278,6,13,11,11,9,15,1,25,6,13,3,9,1,13,5,41,4,24,7,1,25,10,10,13,2
"26","amiable",266,2,7,20,0,15,14,25,14,11,4,2,11,14,14,3,16,5,6,9,6,21,27,13,7,0
"27","friendly",262,6,13,22,2,27,18,10,2,0,9,4,18,10,18,11,5,1,6,28,7,15,6,4,19,1
"28","solemn",251,7,17,10,2,15,34,5,6,6,4,2,9,6,29,9,16,5,10,9,0,31,3,2,14,0
"29","cruel",240,12,18,11,2,22,17,4,29,3,6,3,17,5,15,6,18,3,5,14,5,4,3,7,11,0
"30","gracious",239,8,19,18,0,16,21,2,7,0,5,2,23,1,35,4,16,1,7,23,0,8,6,5,9,3
"31","constant",221,2,14,15,9,11,16,5,1,4,9,1,9,11,14,2,17,8,3,3,9,14,10,20,13,1
"32","narrow",214,10,16,21,1,14,8,3,1,1,5,7,28,4,18,5,8,2,16,11,1,15,1,4,13,1
"33","lively",203,1,8,5,3,14,13,9,8,8,6,0,10,11,26,3,8,6,7,10,4,18,15,9,1,0
"34","rough",200,11,21,17,2,24,13,1,0,1,8,6,14,3,14,4,9,0,9,15,1,12,1,0,10,4
"35","humble",199,1,11,7,3,7,14,8,14,0,5,5,17,4,17,2,16,3,7,9,2,13,8,3,22,1
"36","simple",196,4,5,15,2,12,17,14,10,6,4,4,8,9,25,0,7,9,5,5,2,3,1,14,11,4
"37","steady",194,13,14,14,1,13,20,11,0,2,7,6,14,10,9,6,7,5,4,9,5,9,10,1,4,0
"38","eager",192,5,7,8,8,7,11,15,15,3,4,2,2,13,6,1,8,10,9,6,9,6,11,15,8,3
"39","gloomy",191,11,12,18,0,8,11,1,1,9,8,1,16,3,12,8,13,4,11,17,1,5,1,2,18,0
"40","earnest",187,5,15,11,4,18,17,4,5,3,0,4,8,7,9,1,9,1,9,8,4,7,9,15,12,2
"41","bold",184,4,33,8,3,15,20,0,12,2,4,3,6,1,25,1,11,4,4,11,1,8,0,1,6,1
"42","moral",182,5,17,7,0,6,15,1,0,3,4,10,13,4,34,5,14,0,4,15,1,11,3,0,10,0
"43","careful",178,4,13,18,1,10,9,2,3,0,7,3,14,2,11,2,17,0,6,11,3,22,3,4,13,0
"44","capable",169,5,1,13,4,11,9,5,9,14,4,2,7,17,7,2,5,3,3,10,6,1,13,13,4,1
