"beautiful" "best" "calm" "capable" "cheerful" "different" "extreme" "fair" "familiar" "free" "gentle" "greatest" "happy" "mighty" "natural" "pleasant" "superior"
"beautiful" 0 0 2 3 3 4 4 5 1 1 4 3 7 0 2 2 0
"best" 0 0 2 2 1 2 1 1 3 1 2 1 3 0 0 2 0
"calm" 2 2 0 1 0 1 1 2 2 3 1 3 6 0 2 2 1
"capable" 3 2 1 0 2 4 4 2 0 3 3 6 6 2 2 2 2
"cheerful" 3 1 0 2 0 3 2 4 2 1 5 3 9 1 1 2 3
"different" 4 2 1 4 3 0 7 5 1 3 6 4 5 3 2 2 1
"extreme" 4 1 1 4 2 7 0 2 1 2 7 6 5 2 2 1 2
"fair" 5 1 2 2 4 5 2 0 1 0 4 2 4 0 1 2 0
"familiar" 1 3 2 0 2 1 1 1 0 2 1 2 4 1 2 1 1
"free" 1 1 3 3 1 3 2 0 2 0 3 3 7 4 1 0 2
"gentle" 4 2 1 3 5 6 7 4 1 3 0 4 7 2 1 4 5
"greatest" 3 1 3 6 3 4 6 2 2 3 4 0 8 2 4 5 3
"happy" 7 3 6 6 9 5 5 4 4 7 7 8 0 6 3 3 4
"mighty" 0 0 0 2 1 3 2 0 1 4 2 2 6 0 0 1 2
"natural" 2 0 2 2 1 2 2 1 2 1 1 4 3 0 0 0 1
"pleasant" 2 2 2 2 2 2 1 2 1 0 4 5 3 1 0 0 1
"superior" 0 0 1 2 3 1 2 0 1 2 5 3 4 2 1 1 0
