"MR3";"MR1";"MR2"
"accustomed";0.327499310453534;0.421000919737304;0.304732315530376
"afraid";0.480719351585063;0.149838873180449;0.350773403682044
"beautiful";0.560257875773816;0.329700450771675;0.307271765548271
"best";0.23877020417688;0.285652695316971;0.72993318906208
"careful";0.57771841172073;0.27842842136857;0.354093701007021
"cheerful";0.384946641777535;0.555449062758418;0.263716370452634
"comfortable";0.285923630282831;0.633688314564146;0.181887023050696
"different";0.515845318582125;0.61688099052265;0.150991691725097
"extraordinary";0.0534611202437525;0.703672581404652;0.182930740968882
"extreme";0.230494657662211;0.483429662168942;0.299906680614793
"fair";0.177271107746631;0.270181245474284;0.683438564969885
"familiar";0.159814599675907;0.444686379334347;0.499838296635034
"free";0.334241779473203;0.519857942887672;0.230316509046267
"friendly";0.158662493832362;0.438327080126304;0.625359705192627
"gentle";0.511648986177536;0.522770686773486;0.260599293325249
"happy";0.6183909230694;0.0369940225277919;0.337542116206339
"honest";0.523655742400238;0.456114373503169;0.0765101160058042
"humble";0.753230279977843;0.240854592480633;0.187489775057305
"legal";0.43364903030434;0.0284038589557313;0.473189399152898
"moral";0.227355318735795;0.565206438951019;0.432430511035743
"natural";0.556093875306776;0.372613201343428;0.243549258635518
"original";0.535991013848821;0.430823628165512;0.332400584229493
"pleasant";0.443533792108939;0.274314535425527;0.218304572878051
"quiet";0.0286490092252265;0.829146010775281;0.178523691578638
"rich";0.463543062267708;0.443241078529676;0.269461747157179
"safe";0.534388610995578;0.0394066239296473;0.115098036283879
"strong";0.640783665101915;0.411858160322436;-0.410919961169758
"thoughtful";0.477594613803971;0.520522803177593;-0.0154118453676401
"uncertain";0.679754443097928;0.20907083352639;0.0794655194944918
"weak";0.402293034267699;0.475418176000462;0.335293394071918
