"afraid" "beautiful" "best" "cheerful" "delighted" "delightful" "different" "extraordinary" "familiar" "friendly" "gentle" "happy" "natural" "pleasant" "proud" "quiet" "strong"
"afraid" 0 17 27 9 10 7 17 9 8 13 13 28 16 15 6 23 13
"beautiful" 17 0 18 7 5 7 8 3 5 6 6 23 6 11 8 13 8
"best" 27 18 0 10 10 6 15 8 7 10 12 32 19 9 10 20 15
"cheerful" 9 7 10 0 5 3 5 3 5 2 3 13 7 4 2 11 6
"delighted" 10 5 10 5 0 4 3 5 2 3 3 15 8 7 4 3 2
"delightful" 7 7 6 3 4 0 2 2 3 2 1 14 8 8 4 3 3
"different" 17 8 15 5 3 2 0 4 7 4 7 15 9 5 7 7 8
"extraordinary" 9 3 8 3 5 2 4 0 5 2 5 9 6 5 4 7 6
"familiar" 8 5 7 5 2 3 7 5 0 4 3 9 5 4 3 9 7
"friendly" 13 6 10 2 3 2 4 2 4 0 4 14 5 7 3 4 6
"gentle" 13 6 12 3 3 1 7 5 3 4 0 12 7 5 3 11 3
"happy" 28 23 32 13 15 14 15 9 9 14 12 0 20 19 14 25 23
"natural" 16 6 19 7 8 8 9 6 5 5 7 20 0 7 4 11 11
"pleasant" 15 11 9 4 7 8 5 5 4 7 5 19 7 0 3 12 5
"proud" 6 8 10 2 4 4 7 4 3 3 3 14 4 3 0 9 8
"quiet" 23 13 20 11 3 3 7 7 9 4 11 25 11 12 9 0 14
"strong" 13 8 15 6 2 3 8 6 7 6 3 23 11 5 8 14 0
