"afraid" "best" "cruel" "determined" "different" "extraordinary" "fair" "free" "generous" "greatest" "happy" "humble" "natural" "proud" "safe" "strong" "weak"
"afraid" 0 4 3 3 2 2 1 2 2 3 6 1 1 1 3 1 3
"best" 4 0 10 3 8 2 5 7 7 7 15 8 6 5 8 5 8
"cruel" 3 10 0 2 6 2 3 4 4 5 7 1 1 4 4 6 6
"determined" 3 3 2 0 2 2 1 2 3 2 1 3 2 2 2 1 1
"different" 2 8 6 2 0 2 3 3 3 4 3 1 2 6 1 1 4
"extraordinary" 2 2 2 2 2 0 4 4 3 4 4 3 2 1 1 3 2
"fair" 1 5 3 1 3 4 0 3 0 1 2 0 1 2 0 1 0
"free" 2 7 4 2 3 4 3 0 4 2 7 3 3 0 2 2 2
"generous" 2 7 4 3 3 3 0 4 0 3 4 3 3 2 1 3 4
"greatest" 3 7 5 2 4 4 1 2 3 0 9 0 1 1 2 3 3
"happy" 6 15 7 1 3 4 2 7 4 9 0 6 4 2 5 2 7
"humble" 1 8 1 3 1 3 0 3 3 0 6 0 3 1 1 0 2
"natural" 1 6 1 2 2 2 1 3 3 1 4 3 0 2 1 2 2
"proud" 1 5 4 2 6 1 2 0 2 1 2 1 2 0 5 2 3
"safe" 3 8 4 2 1 1 0 2 1 2 5 1 1 5 0 2 1
"strong" 1 5 6 1 1 3 1 2 3 3 2 0 2 2 2 0 4
"weak" 3 8 6 1 4 2 0 2 4 3 7 2 2 3 1 4 0
