"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","affectionate",6,1,1,1,1,1,1
"2","afraid",6,1,1,1,1,1,1
"3","agreeable",6,1,1,1,1,1,1
"4","amusing",6,1,1,1,1,1,1
"5","angry",6,1,1,1,1,1,1
"6","anxious",6,1,1,1,1,1,1
"7","ashamed",6,1,1,1,1,1,1
"8","bad",6,1,1,1,1,1,1
"9","beautiful",6,1,1,1,1,1,1
"10","busy",6,1,1,1,1,1,1
"11","calm",6,1,1,1,1,1,1
"12","certain",6,1,1,1,1,1,1
"13","charming",6,1,1,1,1,1,1
"14","cheerful",6,1,1,1,1,1,1
"15","clever",6,1,1,1,1,1,1
"16","cold",6,1,1,1,1,1,1
"17","comfortable",6,1,1,1,1,1,1
"18","concerned",6,1,1,1,1,1,1
"19","cool",6,1,1,1,1,1,1
"20","cruel",6,1,1,1,1,1,1
"21","dangerous",6,1,1,1,1,1,1
"22","decent",6,1,1,1,1,1,1
"23","delighted",6,1,1,1,1,1,1
"24","delightful",6,1,1,1,1,1,1
"25","desirable",6,1,1,1,1,1,1
"26","difficult",6,1,1,1,1,1,1
"27","eager",6,1,1,1,1,1,1
"28","evil",6,1,1,1,1,1,1
"29","excellent",6,1,1,1,1,1,1
"30","extraordinary",6,1,1,1,1,1,1
"31","fair",6,1,1,1,1,1,1
"32","fine",6,1,1,1,1,1,1
"33","foolish",6,1,1,1,1,1,1
"34","fortunate",6,1,1,1,1,1,1
"35","friendly",6,1,1,1,1,1,1
"36","generous",6,1,1,1,1,1,1
"37","gentle",6,1,1,1,1,1,1
"38","glad",6,1,1,1,1,1,1
"39","good",6,1,1,1,1,1,1
"40","good-natured",6,1,1,1,1,1,1
"41","great",6,1,1,1,1,1,1
"42","handsome",6,1,1,1,1,1,1
"43","happy",6,1,1,1,1,1,1
"44","hard",6,1,1,1,1,1,1
"45","honest",6,1,1,1,1,1,1
"46","ignorant",6,1,1,1,1,1,1
"47","impatient",6,1,1,1,1,1,1
"48","important",6,1,1,1,1,1,1
"49","interesting",6,1,1,1,1,1,1
"50","jealous",6,1,1,1,1,1,1
"51","liberal",6,1,1,1,1,1,1
