"distinct";"wonderful"
"impossible";"unreasonable"
"fagged";"hot"
"acute";"feverish"
"ill";"impossible"
"cold";"impossible"
"low";"roomy"
"fearful";"unreasonable"
"small";"sore"
"excellent";"small"
"impossible";"softened"
