"" "broad" "compelling" "enchanted" "poor" "eternal" "rustic" "refined"
"broad" 0 0 0 0 1 0 0
"compelling" 0 0 0 0 0 1 0
"enchanted" 0 0 0 0 0 0 1
"poor" 0 0 0 0 0 1 0
"eternal" 1 0 0 0 0 0 0
"rustic" 0 1 0 1 0 0 0
"refined" 0 0 1 0 0 0 0
