"" "airless" "clerkly" "distinguished" "encouraging" "inexorable" "open" "previous" "small" "obscure" "loud" "nondescript" "scanty" "inveterate" "surprising"
"airless" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"clerkly" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"distinguished" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"encouraging" 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"inexorable" 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"open" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"previous" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"small" 1 0 0 0 0 1 1 0 0 0 0 0 0 1
"obscure" 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"loud" 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"nondescript" 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"scanty" 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"inveterate" 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"surprising" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
