"" "acute" "cold" "distinct" "excellent" "fagged" "fearful" "ill" "impossible" "low" "small" "feverish" "wonderful" "hot" "unreasonable" "softened" "roomy" "sore"
"acute" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"cold" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"distinct" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"excellent" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"fagged" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"fearful" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ill" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"impossible" 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
"low" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"small" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"feverish" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wonderful" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hot" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"unreasonable" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"softened" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"roomy" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"sore" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
