"" "flaxen" "green" "sad" "transparent" "unknown" "young" "main" "slow"
"flaxen" 0 0 0 0 0 1 0 0
"green" 0 0 0 0 0 0 1 0
"sad" 0 0 0 0 0 0 0 1
"transparent" 0 0 0 0 0 1 0 0
"unknown" 0 0 0 0 0 1 0 0
"young" 1 0 0 1 1 0 0 0
"main" 0 1 0 0 0 0 0 0
"slow" 0 0 1 0 0 0 0 0
