"" "dirty" "disagreeable" "educational" "grave" "live" "rash" "magic" "sorry" "short" "lived"
"dirty" 0 0 0 0 0 0 1 0 0 0
"disagreeable" 0 0 0 0 0 0 0 1 0 0
"educational" 0 0 0 0 0 0 0 0 1 0
"grave" 0 0 0 0 0 0 0 0 1 0
"live" 0 0 0 0 0 0 0 0 0 1
"rash" 0 0 0 0 0 0 0 0 1 0
"magic" 1 0 0 0 0 0 0 0 0 0
"sorry" 0 1 0 0 0 0 0 0 0 0
"short" 0 0 1 1 0 1 0 0 0 0
"lived" 0 0 0 0 1 0 0 0 0 0
