"" "animating" "black" "cheerful" "irretrievable" "monotonous" "old" "considerable" "gloomy" "nocturnal" "sorrowful"
"animating" 0 0 0 0 0 0 1 0 0 0
"black" 0 0 0 0 0 0 0 2 1 0
"cheerful" 0 0 0 0 0 3 0 0 0 1
"irretrievable" 0 0 0 0 0 1 0 0 0 0
"monotonous" 0 0 0 0 0 1 0 0 0 0
"old" 0 0 3 1 1 0 0 0 0 1
"considerable" 1 0 0 0 0 0 0 0 0 0
"gloomy" 0 2 0 0 0 0 0 0 0 0
"nocturnal" 0 1 0 0 0 0 0 0 0 0
"sorrowful" 0 0 1 0 0 1 0 0 0 0
