"" "#-anxious" "anxious" "charming" "coercive" "joyous" "large" "poor" "timid" "english" "uncomplaining" "sanguine" "sweet" "thin" "trustworthy"
"#-anxious" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"anxious" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"charming" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"coercive" 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"joyous" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"large" 0 0 0 1 0 0 1 0 0 0 0 1 0 0
"poor" 0 0 1 0 0 1 0 0 0 0 1 1 1 0
"timid" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"english" 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncomplaining" 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"sanguine" 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"sweet" 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"thin" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"trustworthy" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
